
── Step 12b: TE Nested-Walk-Forward-Tuned LightGBM ─────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3A-v2)
ℹ Rubric: FROZEN (unchanged veto, decision rule, fold_map)
✔ TE feature table: 6765 rows | Fold map: 204 folds | Expected test rows: 6599
✔ All model features present in TE feature table

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 36 [2016-W07]: 30 rows | eff: leaves=15 minnode=50 lr=0.02 rds=49 | vol: leaves=7 minnode=10 lr=0.02 rds=180 | 1s
ℹ Fold 37 [2016-W08]: 36 rows | eff: leaves=7 minnode=50 lr=0.05 rds=10 | vol: leaves=15 minnode=100 lr=0.05 rds=45 | 1s
ℹ Fold 38 [2016-W09]: 35 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=50 | 1s
ℹ Fold 39 [2016-W10]: 34 rows | eff: leaves=7 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=95 | 1s
ℹ Fold 40 [2016-W11]: 33 rows | eff: leaves=15 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=36 | 1s
ℹ Fold 41 [2016-W12]: 34 rows | eff: leaves=15 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=86 | 1s
ℹ Fold 42 [2016-W13]: 35 rows | eff: leaves=31 minnode=10 lr=0.02 rds=27 | vol: leaves=7 minnode=100 lr=0.02 rds=150 | 1s
ℹ Fold 43 [2016-W14]: 38 rows | eff: leaves=31 minnode=20 lr=0.05 rds=10 | vol: leaves=15 minnode=100 lr=0.05 rds=45 | 1s
ℹ Fold 44 [2016-W15]: 36 rows | eff: leaves=15 minnode=10 lr=0.02 rds=22 | vol: leaves=15 minnode=100 lr=0.02 rds=103 | 1s
ℹ Fold 45 [2016-W16]: 32 rows | eff: leaves=31 minnode=10 lr=0.02 rds=10 | vol: leaves=15 minnode=100 lr=0.02 rds=128 | 1s
ℹ Fold 46 [2016-W17]: 33 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=15 minnode=100 lr=0.05 rds=60 | 1s
ℹ Fold 47 [2017-W01]: 30 rows | eff: leaves=31 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=50 lr=0.02 rds=130 | 1s
ℹ Fold 48 [2017-W02]: 36 rows | eff: leaves=31 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=68 | 1s
ℹ Fold 49 [2017-W03]: 34 rows | eff: leaves=31 minnode=10 lr=0.02 rds=11 | vol: leaves=31 minnode=20 lr=0.05 rds=35 | 2s
ℹ Fold 50 [2017-W04]: 39 rows | eff: leaves=7 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=63 | 1s
ℹ Fold 51 [2017-W05]: 34 rows | eff: leaves=7 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=50 | 1s
ℹ Fold 52 [2017-W06]: 34 rows | eff: leaves=15 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=50 lr=0.05 rds=80 | 1s
ℹ Fold 53 [2017-W07]: 37 rows | eff: leaves=31 minnode=50 lr=0.02 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=68 | 2s
ℹ Fold 54 [2017-W08]: 33 rows | eff: leaves=31 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=180 | 2s
ℹ Fold 55 [2017-W09]: 27 rows | eff: leaves=7 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=170 | 2s
ℹ Fold 56 [2017-W10]: 29 rows | eff: leaves=7 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=170 | 2s
ℹ Fold 57 [2017-W11]: 30 rows | eff: leaves=7 minnode=50 lr=0.02 rds=10 | vol: leaves=7 minnode=50 lr=0.02 rds=111 | 1s
ℹ Fold 58 [2017-W12]: 36 rows | eff: leaves=7 minnode=20 lr=0.02 rds=25 | vol: leaves=7 minnode=20 lr=0.05 rds=79 | 2s
ℹ Fold 59 [2017-W13]: 37 rows | eff: leaves=63 minnode=20 lr=0.05 rds=16 | vol: leaves=7 minnode=20 lr=0.05 rds=50 | 2s
