
── Step 3A-v2: Nested-Walk-Forward-Tuned LightGBM ──────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout (same as cal split)
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3B)
ℹ Rubric: FROZEN (unchanged veto, decision rule, folds)
✔ Feature table: 11918 rows | Fold map: 204 folds | Expected test rows: 11621
ℹ ARM B: volume features extended with 7 injury-state features

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 35 [2016-W06]: 57 rows | eff: leaves=15 minnode=100 lr=0.02 rds=25 | vol: leaves=7 minnode=20 lr=0.05 rds=108 | 2s
ℹ Fold 36 [2016-W07]: 55 rows | eff: leaves=15 minnode=100 lr=0.02 rds=25 | vol: leaves=7 minnode=20 lr=0.05 rds=107 | 2s
ℹ Fold 37 [2016-W08]: 47 rows | eff: leaves=7 minnode=50 lr=0.05 rds=30 | vol: leaves=7 minnode=20 lr=0.02 rds=308 | 2s
ℹ Fold 38 [2016-W09]: 47 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.02 rds=265 | 2s
ℹ Fold 39 [2016-W10]: 53 rows | eff: leaves=31 minnode=10 lr=0.02 rds=31 | vol: leaves=7 minnode=20 lr=0.05 rds=94 | 2s
ℹ Fold 40 [2016-W11]: 50 rows | eff: leaves=63 minnode=10 lr=0.05 rds=11 | vol: leaves=15 minnode=10 lr=0.05 rds=55 | 2s
ℹ Fold 41 [2016-W12]: 59 rows | eff: leaves=31 minnode=20 lr=0.05 rds=15 | vol: leaves=15 minnode=10 lr=0.05 rds=64 | 2s
ℹ Fold 42 [2016-W13]: 56 rows | eff: leaves=63 minnode=20 lr=0.05 rds=11 | vol: leaves=7 minnode=10 lr=0.02 rds=270 | 3s
ℹ Fold 43 [2016-W14]: 56 rows | eff: leaves=31 minnode=10 lr=0.05 rds=25 | vol: leaves=7 minnode=50 lr=0.02 rds=319 | 3s
ℹ Fold 44 [2016-W15]: 61 rows | eff: leaves=63 minnode=10 lr=0.02 rds=65 | vol: leaves=15 minnode=50 lr=0.02 rds=205 | 3s
ℹ Fold 45 [2016-W16]: 61 rows | eff: leaves=31 minnode=10 lr=0.05 rds=49 | vol: leaves=7 minnode=50 lr=0.02 rds=260 | 3s
ℹ Fold 46 [2016-W17]: 66 rows | eff: leaves=15 minnode=10 lr=0.05 rds=49 | vol: leaves=7 minnode=50 lr=0.02 rds=270 | 3s
ℹ Fold 47 [2017-W01]: 63 rows | eff: leaves=15 minnode=20 lr=0.05 rds=40 | vol: leaves=7 minnode=10 lr=0.05 rds=117 | 3s
ℹ Fold 48 [2017-W02]: 68 rows | eff: leaves=31 minnode=10 lr=0.02 rds=71 | vol: leaves=7 minnode=50 lr=0.05 rds=87 | 3s
ℹ Fold 49 [2017-W03]: 64 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.02 rds=182 | 2s
ℹ Fold 50 [2017-W04]: 67 rows | eff: leaves=63 minnode=10 lr=0.02 rds=49 | vol: leaves=7 minnode=50 lr=0.05 rds=112 | 3s
ℹ Fold 51 [2017-W05]: 56 rows | eff: leaves=15 minnode=10 lr=0.02 rds=78 | vol: leaves=7 minnode=50 lr=0.05 rds=92 | 3s
ℹ Fold 52 [2017-W06]: 53 rows | eff: leaves=31 minnode=20 lr=0.05 rds=29 | vol: leaves=7 minnode=20 lr=0.05 rds=121 | 3s
ℹ Fold 53 [2017-W07]: 60 rows | eff: leaves=63 minnode=10 lr=0.05 rds=22 | vol: leaves=7 minnode=10 lr=0.02 rds=275 | 3s
ℹ Fold 54 [2017-W08]: 52 rows | eff: leaves=63 minnode=10 lr=0.02 rds=38 | vol: leaves=7 minnode=10 lr=0.02 rds=306 | 3s
ℹ Fold 55 [2017-W09]: 56 rows | eff: leaves=7 minnode=50 lr=0.05 rds=42 | vol: leaves=7 minnode=10 lr=0.02 rds=243 | 3s
ℹ Fold 56 [2017-W10]: 60 rows | eff: leaves=7 minnode=50 lr=0.05 rds=42 | vol: leaves=7 minnode=10 lr=0.02 rds=265 | 3s
ℹ Fold 57 [2017-W11]: 59 rows | eff: leaves=31 minnode=10 lr=0.05 rds=19 | vol: leaves=7 minnode=10 lr=0.05 rds=118 | 3s
ℹ Fold 58 [2017-W12]: 64 rows | eff: leaves=63 minnode=20 lr=0.05 rds=15 | vol: leaves=7 minnode=10 lr=0.02 rds=215 | 3s
ℹ Fold 59 [2017-W13]: 64 rows | eff: leaves=7 minnode=100 lr=0.02 rds=80 | vol: leaves=7 minnode=20 lr=0.02 rds=226 | 3s
ℹ Fold 60 [2017-W14]: 62 rows | eff: leaves=7 minnode=20 lr=0.02 rds=106 | vol: leaves=7 minnode=20 lr=0.02 rds=215 | 3s
ℹ Fold 61 [2017-W15]: 68 rows | eff: leaves=7 minnode=10 lr=0.02 rds=125 | vol: leaves=7 minnode=20 lr=0.02 rds=227 | 3s
ℹ Fold 62 [2017-W16]: 63 rows | eff: leaves=7 minnode=10 lr=0.05 rds=40 | vol: leaves=7 minnode=20 lr=0.05 rds=98 | 3s
ℹ Fold 63 [2017-W17]: 63 rows | eff: leaves=63 minnode=10 lr=0.05 rds=22 | vol: leaves=7 minnode=50 lr=0.02 rds=262 | 3s
ℹ Fold 64 [2018-W01]: 61 rows | eff: leaves=7 minnode=50 lr=0.02 rds=105 | vol: leaves=7 minnode=20 lr=0.05 rds=87 | 4s
ℹ Fold 65 [2018-W02]: 64 rows | eff: leaves=7 minnode=10 lr=0.02 rds=174 | vol: leaves=7 minnode=50 lr=0.05 rds=113 | 4s
ℹ Fold 66 [2018-W03]: 60 rows | eff: leaves=7 minnode=20 lr=0.05 rds=55 | vol: leaves=7 minnode=50 lr=0.05 rds=113 | 3s
ℹ Fold 67 [2018-W04]: 59 rows | eff: leaves=7 minnode=100 lr=0.05 rds=46 | vol: leaves=31 minnode=10 lr=0.05 rds=82 | 4s
ℹ Fold 68 [2018-W05]: 56 rows | eff: leaves=7 minnode=100 lr=0.02 rds=136 | vol: leaves=15 minnode=20 lr=0.02 rds=204 | 4s
ℹ Fold 69 [2018-W06]: 57 rows | eff: leaves=7 minnode=100 lr=0.02 rds=135 | vol: leaves=31 minnode=50 lr=0.02 rds=144 | 4s
ℹ Fold 70 [2018-W07]: 54 rows | eff: leaves=7 minnode=50 lr=0.05 rds=77 | vol: leaves=31 minnode=50 lr=0.02 rds=210 | 4s
ℹ Fold 71 [2018-W08]: 49 rows | eff: leaves=7 minnode=50 lr=0.05 rds=77 | vol: leaves=15 minnode=20 lr=0.02 rds=190 | 4s
ℹ Fold 72 [2018-W09]: 53 rows | eff: leaves=7 minnode=10 lr=0.05 rds=39 | vol: leaves=7 minnode=20 lr=0.02 rds=355 | 4s
ℹ Fold 73 [2018-W10]: 54 rows | eff: leaves=7 minnode=20 lr=0.05 rds=52 | vol: leaves=7 minnode=10 lr=0.02 rds=351 | 4s
ℹ Fold 74 [2018-W11]: 46 rows | eff: leaves=7 minnode=20 lr=0.05 rds=53 | vol: leaves=7 minnode=20 lr=0.05 rds=118 | 4s
ℹ Fold 75 [2018-W12]: 56 rows | eff: leaves=7 minnode=20 lr=0.05 rds=44 | vol: leaves=7 minnode=20 lr=0.05 rds=165 | 4s
ℹ Fold 76 [2018-W13]: 64 rows | eff: leaves=7 minnode=20 lr=0.05 rds=44 | vol: leaves=7 minnode=20 lr=0.05 rds=165 | 4s
ℹ Fold 77 [2018-W14]: 60 rows | eff: leaves=7 minnode=20 lr=0.05 rds=51 | vol: leaves=7 minnode=50 lr=0.05 rds=118 | 4s
ℹ Fold 78 [2018-W15]: 60 rows | eff: leaves=7 minnode=10 lr=0.02 rds=107 | vol: leaves=7 minnode=20 lr=0.02 rds=259 | 4s
ℹ Fold 79 [2018-W16]: 62 rows | eff: leaves=7 minnode=20 lr=0.02 rds=125 | vol: leaves=7 minnode=10 lr=0.02 rds=270 | 3s
ℹ Fold 80 [2018-W17]: 64 rows | eff: leaves=7 minnode=10 lr=0.05 rds=35 | vol: leaves=7 minnode=10 lr=0.02 rds=232 | 4s
ℹ Fold 81 [2019-W01]: 63 rows | eff: leaves=7 minnode=10 lr=0.05 rds=35 | vol: leaves=15 minnode=10 lr=0.05 rds=54 | 3s
ℹ Fold 82 [2019-W02]: 61 rows | eff: leaves=7 minnode=10 lr=0.02 rds=83 | vol: leaves=7 minnode=10 lr=0.02 rds=220 | 3s
ℹ Fold 83 [2019-W03]: 59 rows | eff: leaves=7 minnode=20 lr=0.05 rds=81 | vol: leaves=15 minnode=10 lr=0.05 rds=60 | 3s
ℹ Fold 84 [2019-W04]: 57 rows | eff: leaves=7 minnode=10 lr=0.02 rds=143 | vol: leaves=7 minnode=10 lr=0.05 rds=103 | 3s
ℹ Fold 85 [2019-W05]: 57 rows | eff: leaves=7 minnode=10 lr=0.02 rds=136 | vol: leaves=7 minnode=10 lr=0.02 rds=264 | 4s
ℹ Fold 86 [2019-W06]: 50 rows | eff: leaves=7 minnode=20 lr=0.02 rds=95 | vol: leaves=7 minnode=10 lr=0.02 rds=264 | 4s
ℹ Fold 87 [2019-W07]: 51 rows | eff: leaves=7 minnode=10 lr=0.02 rds=130 | vol: leaves=7 minnode=20 lr=0.02 rds=230 | 4s
ℹ Fold 88 [2019-W08]: 53 rows | eff: leaves=7 minnode=20 lr=0.05 rds=28 | vol: leaves=7 minnode=20 lr=0.05 rds=160 | 4s
ℹ Fold 89 [2019-W09]: 49 rows | eff: leaves=7 minnode=10 lr=0.05 rds=52 | vol: leaves=7 minnode=20 lr=0.05 rds=114 | 4s
ℹ Fold 90 [2019-W10]: 47 rows | eff: leaves=7 minnode=10 lr=0.02 rds=90 | vol: leaves=7 minnode=10 lr=0.05 rds=118 | 4s
ℹ Fold 91 [2019-W11]: 57 rows | eff: leaves=7 minnode=10 lr=0.02 rds=100 | vol: leaves=7 minnode=10 lr=0.05 rds=140 | 4s
ℹ Fold 92 [2019-W12]: 55 rows | eff: leaves=7 minnode=10 lr=0.05 rds=34 | vol: leaves=15 minnode=20 lr=0.05 rds=63 | 4s
ℹ Fold 93 [2019-W13]: 59 rows | eff: leaves=7 minnode=10 lr=0.05 rds=47 | vol: leaves=7 minnode=10 lr=0.05 rds=141 | 4s
ℹ Fold 94 [2019-W14]: 63 rows | eff: leaves=7 minnode=10 lr=0.05 rds=30 | vol: leaves=7 minnode=20 lr=0.02 rds=228 | 4s
ℹ Fold 95 [2019-W15]: 61 rows | eff: leaves=31 minnode=10 lr=0.02 rds=40 | vol: leaves=7 minnode=50 lr=0.02 rds=340 | 4s
ℹ Fold 96 [2019-W16]: 62 rows | eff: leaves=31 minnode=10 lr=0.02 rds=40 | vol: leaves=7 minnode=20 lr=0.02 rds=233 | 4s
ℹ Fold 97 [2019-W17]: 59 rows | eff: leaves=7 minnode=10 lr=0.05 rds=32 | vol: leaves=7 minnode=20 lr=0.02 rds=273 | 4s
ℹ Fold 98 [2020-W01]: 69 rows | eff: leaves=7 minnode=10 lr=0.05 rds=33 | vol: leaves=15 minnode=20 lr=0.02 rds=175 | 4s
ℹ Fold 99 [2020-W02]: 62 rows | eff: leaves=7 minnode=10 lr=0.02 rds=85 | vol: leaves=15 minnode=20 lr=0.05 rds=88 | 5s
ℹ Fold 100 [2020-W03]: 56 rows | eff: leaves=7 minnode=10 lr=0.02 rds=102 | vol: leaves=15 minnode=20 lr=0.05 rds=119 | 4s
ℹ Fold 101 [2020-W04]: 60 rows | eff: leaves=7 minnode=10 lr=0.02 rds=97 | vol: leaves=15 minnode=20 lr=0.05 rds=119 | 4s
ℹ Fold 102 [2020-W05]: 53 rows | eff: leaves=7 minnode=50 lr=0.02 rds=75 | vol: leaves=15 minnode=20 lr=0.02 rds=233 | 5s
ℹ Fold 103 [2020-W06]: 59 rows | eff: leaves=15 minnode=100 lr=0.05 rds=16 | vol: leaves=7 minnode=20 lr=0.05 rds=136 | 5s
ℹ Fold 104 [2020-W07]: 52 rows | eff: leaves=15 minnode=50 lr=0.05 rds=19 | vol: leaves=7 minnode=50 lr=0.02 rds=291 | 5s
ℹ Fold 105 [2020-W08]: 55 rows | eff: leaves=15 minnode=20 lr=0.02 rds=42 | vol: leaves=7 minnode=50 lr=0.05 rds=123 | 5s
ℹ Fold 106 [2020-W09]: 59 rows | eff: leaves=15 minnode=20 lr=0.02 rds=42 | vol: leaves=7 minnode=50 lr=0.05 rds=104 | 5s
ℹ Fold 107 [2020-W10]: 52 rows | eff: leaves=63 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=106 | 5s
ℹ Fold 108 [2020-W11]: 56 rows | eff: leaves=7 minnode=10 lr=0.02 rds=65 | vol: leaves=7 minnode=50 lr=0.02 rds=234 | 5s
ℹ Fold 109 [2020-W12]: 62 rows | eff: leaves=7 minnode=20 lr=0.02 rds=127 | vol: leaves=15 minnode=20 lr=0.05 rds=54 | 4s
ℹ Fold 110 [2020-W13]: 60 rows | eff: leaves=7 minnode=10 lr=0.05 rds=52 | vol: leaves=7 minnode=50 lr=0.05 rds=75 | 4s
ℹ Fold 111 [2020-W14]: 65 rows | eff: leaves=7 minnode=10 lr=0.05 rds=52 | vol: leaves=7 minnode=50 lr=0.05 rds=75 | 4s
ℹ Fold 112 [2020-W15]: 54 rows | eff: leaves=7 minnode=10 lr=0.02 rds=66 | vol: leaves=7 minnode=50 lr=0.05 rds=75 | 4s
ℹ Fold 113 [2020-W16]: 55 rows | eff: leaves=15 minnode=50 lr=0.05 rds=13 | vol: leaves=7 minnode=50 lr=0.02 rds=180 | 4s
ℹ Fold 114 [2020-W17]: 58 rows | eff: leaves=7 minnode=10 lr=0.02 rds=145 | vol: leaves=15 minnode=50 lr=0.02 rds=144 | 4s
ℹ Fold 115 [2021-W01]: 59 rows | eff: leaves=63 minnode=100 lr=0.05 rds=29 | vol: leaves=15 minnode=20 lr=0.05 rds=53 | 4s
