gsis_id,esb_id,pfr_id,nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,pred,pred_uncertainty,p_boom,p_bust,p_expected,model_verdict,match_method,gsis_provisional
00-0041100,CAM108646,CameJo01,Josh Cameron,Josh Cameron,WR,Baylor,6,191,JAX,-0.13113924860954285,0.9910181270537508,0.12685360786215552,0.1903151659132279,0.6828312262246166,Baseline,pfr_id,FALSE
00-0040894,BEN601117,BensMa00,Malik Benson,Malik Benson,WR,Oregon,6,195,LVR,-0.08438187837600708,0.9910181270537508,0.13693145802087045,0.17776486371649064,0.6853036782626389,Baseline,name_pos,FALSE
00-0041399,DAN490797,DaniCJ00,CJ Daniels,CJ Daniels,WR,Miami,6,197,LAR,-0.07871907204389572,0.9910181270537508,0.13818814418303324,0.17628114945350606,0.6855307063634607,Baseline,pfr_id,FALSE
00-0040895,HEN199637,HendEm00,Emmanuel Henderson Jr.,Emmanuel Henderson,WR,Kansas,6,199,SEA,0.014202575199306011,0.9910181270537508,0.1599333178617359,0.15306066163033033,0.6870060205079338,Baseline,name_pos,FALSE
00-0041106,WIL189259,WillCJ00,C.J. Williams,C.J. Williams,WR,Stanford,6,203,JAX,-0.08219002187252045,0.9910181270537508,0.13741694374640082,0.17718964245206617,0.6853934138015331,Baseline,name_pos,FALSE
00-0041467,BON235618,BondLe00,Lewis Bond,Lewis Bond,WR,Boston College,6,204,HOU,-0.047382816672325134,0.9910181270537508,0.1452841968462151,0.16821298495407783,0.686502818199707,Baseline,name_pos,FALSE
NA,NA,BurkDe02,Deion Burks,Deion Burks,WR,Oklahoma,7,254,IND,-0.1404840350151062,0.9910181270537508,0.12490303248958451,0.19288718578613545,0.68220978172428,Baseline,pfr_id,FALSE
00-0041491,AND035767,AndeAa00,Aaron Anderson,Aaron Anderson,WR,LSU,NA,NA,CLE,-0.12947675585746765,0.9910181270537508,0.12720283676726665,0.18985980559376017,0.6829373576389732,Baseline,udfa_name,FALSE
00-0041199,LAC692799,NA,Caullin Lacy,Caullin Lacy,WR,Louisville,NA,NA,NYJ,0.011821575462818146,0.9910181270537508,0.15934959978912663,0.1536291154682101,0.6870212847426632,Baseline,udfa_name,FALSE
00-0041004,ROB111721,RobeCh00,Chase Roberts,Chase Roberts,WR,BYU,NA,NA,LV,-0.03353298455476761,0.9910181270537508,0.14849726278984327,0.16472399097782167,0.686778746232335,Baseline,udfa_name,FALSE
00-0041179,HIL834394,HiltCh00,Chris Hilton Jr.,Chris Hilton,WR,LSU,NA,NA,WAS,-0.0782085731625557,0.9910181270537508,0.13830181891417304,0.17614777958635722,0.6855504014994698,Baseline,udfa_name,FALSE
00-0041293,KEY102412,KeyxDa00,Dane Key,Dane Key,WR,Nebraska,NA,NA,DEN,-0.02618718519806862,0.9910181270537508,0.15022057933619407,0.16289263259578218,0.6868867880680238,Baseline,udfa_name,FALSE
00-0041342,BEL270533,NA,Dillon Bell,Dillon Bell,WR,Georgia,NA,NA,MIN,0.08111801743507385,0.9910181270537508,0.17690873887005176,0.1376548150618059,0.6854364460681424,Baseline,udfa_name,FALSE
00-0041158,MCC733954,NA,Donaven McCulley,Donaven McCulley,WR,Michigan,NA,NA,MIA,-0.11490451544523239,0.9910181270537508,0.1302925667822103,0.18589716600403428,0.6838102672137554,Baseline,udfa_name,FALSE
00-0041011,WIL577959,NA,E.J. Williams Jr.,E.J. Williams,WR,Indiana,NA,NA,LV,-0.140578493475914,0.9910181270537508,0.12488342335978155,0.19291329205770283,0.6822032845825157,Baseline,udfa_name,FALSE
00-0041257,RIV458622,RiveEr00,Eric Rivers Jr.,Eric Rivers,WR,Georgia Tech,NA,NA,TB,0.10865484923124313,0.9910181270537508,0.18421352074295005,0.1316334545468579,0.684153024710192,Baseline,udfa_name,FALSE
00-0040912,BEA642403,BeatHa00,Hank Beatty,Hank Beatty,WR,Illinois,NA,NA,TEN,-0.005986804608255625,0.9910181270537508,0.1550280458464916,0.15792507179846213,0.6870468823550462,Baseline,udfa_name,FALSE
00-0041368,WAL505425,WallHa00,Harrison Wallace III,Harrison Wallace,WR,Mississippi,NA,NA,AZ,-0.05665511637926102,0.9910181270537508,0.1431594181038866,0.17057519875695784,0.6862653831391555,Baseline,udfa_name,FALSE
00-0040948,STU618385,MichJ00,J. Michael Sturdivant,J. Michael Sturdivant,WR,Florida,NA,NA,GB,-0.07626695185899734,0.9910181270537508,0.13873474928756094,0.17564110690931758,0.6856241438031215,Baseline,udfa_name,FALSE
00-0040967,DEJ320906,NA,Jacob De Jesus,Jacob De Jesus,WR,California,NA,NA,KC,-0.11072764545679092,0.9910181270537508,0.13118767737495454,0.18477087235196976,0.6840414502730757,Baseline,udfa_name,FALSE
00-0041311,WAL738705,WaltJa00,Jalen Walthall,Jalen Walthall,WR,Incarnate Word,NA,NA,NYJ,0.12651802599430084,0.9910181270537508,0.189051061880262,0.12782601100338248,0.6831229271163555,Baseline,udfa_name,FALSE
00-0041272,MAC704888,MaclJa00,Ja'Mori Maclin,Ja'Mori Maclin,WR,Kentucky,NA,NA,BUF,-0.14840534329414368,0.9910181270537508,0.12326607405231528,0.19508395561222222,0.6816499703354625,Baseline,udfa_name,FALSE
00-0040953,CAL289836,CaldJe01,Jeff Caldwell,Jeff Caldwell,WR,Cincinnati,NA,NA,KC,-0.07222559303045273,0.9910181270537508,0.13963882337019945,0.17458946546971982,0.6857717111600807,Baseline,udfa_name,FALSE
00-0040934,HUD438538,NA,Jordan Hudson,Jordan Hudson,WR,SMU,NA,NA,DAL,0.07810282707214355,0.9910181270537508,0.17612016098626407,0.13832537376631024,0.6855544652474257,Baseline,udfa_name,FALSE
00-0041294,MAN311454,NA,Joseph Manjack,Joseph Manjack IV,WR,TCU,NA,NA,DEN,-0.17517222464084625,0.9910181270537508,0.11784607611049704,0.20261885064761795,0.679535073241885,Baseline,udfa_name,FALSE
00-0041266,MAR178066,NA,Keelan Marion,Keelan Marion,WR,Miami (FL),NA,NA,ATL,0.11099089682102203,0.9910181270537508,0.18484173262820855,0.13113113704146281,0.6840271303303286,Baseline,udfa_name,FALSE
00-0041152,PRE230806,PrenKo00,Kobe Prentice,Kobe Prentice,WR,Baylor,NA,NA,NE,-0.06836139410734177,0.9910181270537508,0.14050700446751233,0.17358767210022893,0.6859053234322587,Baseline,udfa_name,FALSE
00-0041267,MCC339401,NA,Malik McClain,Malik McClain,WR,Arizona State,NA,NA,NYJ,-0.18138597905635834,0.9910181270537508,0.11661234979080283,0.20439258759950252,0.6789950626096947,Baseline,udfa_name,FALSE
00-0041220,WOR699613,NA,Michael Wortham,Michael Wortham,WR,Montana,NA,NA,JAX,-0.0500500425696373,0.9910181270537508,0.1446708306857662,0.16889032200458556,0.6864388473096482,Baseline,udfa_name,FALSE
00-0041317,DEG184731,NA,Nick DeGennaro,Nick Degennaro,WR,James Madison,NA,NA,NE,-0.0556953139603138,0.9910181270537508,0.14337838101830147,0.1703296983631083,0.6862919206185902,Baseline,udfa_name,FALSE
00-0041248,THO309081,ThomNo01,Noah Thomas,Noah Thomas,WR,Georgia,NA,NA,CIN,-0.015935413539409637,0.9910181270537508,0.1526478313385149,0.16035901295534707,0.6869931557061381,Baseline,udfa_name,FALSE
00-0040954,EVA604383,NA,Omari Evans,Omari Evans,WR,Washington,NA,NA,KC,-0.04912564530968666,0.9910181270537508,0.14488321105266824,0.16865537490247912,0.6864614140448526,Baseline,udfa_name,FALSE
00-0041216,PEN095836,PenaTr00,Trebor Pena,Trebor Pena,WR,Penn State,NA,NA,JAX,0.06484459340572357,0.9910181270537508,0.17267912761112889,0.14130031322814407,0.686020559160727,Baseline,udfa_name,FALSE
00-0040919,MON677710,MontTy02,Tyren Montgomery,Tyren Montgomery,WR,John Carroll,NA,NA,TEN,-0.1325407773256302,0.9910181270537508,0.12655971694657359,0.19069956831091303,0.6827407147425134,Baseline,udfa_name,FALSE
00-0041185,ANT322903,AnthVi01,Vinny Anthony II,Vinny Anthony II,WR,Wisconsin,NA,NA,ATL,0.09077470004558563,0.9910181270537508,0.17944928696679008,0.1355221794986337,0.6850285335345763,Baseline,udfa_name,FALSE
00-0041361,PAU534320,NA,Will Pauling,Will Pauling,WR,Notre Dame,NA,NA,SF,-0.08057045936584473,0.9910181270537508,0.13777642325978737,0.17676536768106738,0.6854582090591452,Baseline,udfa_name,FALSE
