player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol
00-0023500,2016,1,14.491269268962911,0.228,0.067,FALSE,FALSE,exante_high,0.21625815498645595,0.1872146118721461,0.22072129974434176,0.2631578947368421,0.2875778385992595,0.1016944700871796,0.09127789046653144,0.1140844483750215,0.14204545454545456,0.145053085113757
00-0023564,2016,1,13.492974447954047,0.2615,0.095,FALSE,FALSE,exante_mid,0.2370857522952876,0.2007042253521127,0.07426472861233008,0.15828677839851024,0.14973977011728007,0.11860290852616191,0.09127789046653144,0.03223743539588693,0.07441016333938294,0.053599134693841415
00-0024242,2016,1,14.341584006256651,0.2265,0.0605,TRUE,TRUE,exante_high,0.21531112656782156,0.1872146118721461,0.21959611182485198,0.2631578947368421,0.2754710232359432,0.09725111918983731,0.08121019108280254,0.10868016971295148,0.13825757575757575,0.15679287096683803
00-0025394,2016,1,17.50756214229237,0.372,0.1545,FALSE,FALSE,exante_high,0.30330495085501213,0.2857142857142857,0.32574994076086505,0.28865979381443296,0.3438426586489057,0.1476174094125363,0.10810810810810811,0.17055415874748167,0.14204545454545456,0.15817133507482703
00-0026019,2016,1,13.307627209359636,0.1945,0.0515,TRUE,TRUE,exante_mid,0.19473148864723155,0.1608187134502924,0.1328909320490683,0.15828677839851024,0.242501678580236,0.09064381790033678,0.08121019108280254,0.07161420920414216,0.07441016333938294,0.1247516086654028
00-0026153,2016,1,14.61368545021332,0.1915,0.0605,FALSE,FALSE,exante_high,0.1927601695382466,0.1608187134502924,0.1929797359437768,0.2222222222222222,0.3899682962433411,0.09725111918983731,0.08121019108280254,0.10868016971295148,0.13825757575757575,0.17609994804471824
00-0026184,2016,1,16.839993156334973,0.367,0.1375,TRUE,TRUE,exante_high,0.30034183153200966,0.2857142857142857,0.3221436494314039,0.28865979381443296,0.28025349431413166,0.1399707523601464,0.10810810810810811,0.1610970634619968,0.14204545454545456,0.1414965288531191
00-0026289,2016,1,17.203202957644137,0.441,0.268,FALSE,FALSE,exante_high,0.3443713976011834,0.38738738738738737,0.3757508466129745,0.38738738738738737,0.21142780351538176,0.191996297641338,0.2345679012345679,0.2255695806383279,0.2345679012345679,0.05212161537268419
00-0026373,2016,1,15.458851805646766,0.3175,0.1375,FALSE,FALSE,exante_high,0.27092693575910637,0.2007042253521127,0.2864135413253882,0.2631578947368421,0.22435492861512984,0.1399707523601464,0.10810810810810811,0.1610970634619968,0.14204545454545456,0.07516527889327441
00-0026796,2016,1,18.60411421322814,0.393,0.159,FALSE,FALSE,exante_high,0.3157557183214794,0.2857142857142857,0.34090988173700226,0.28865979381443296,0.436535341107903,0.14957804092071084,0.10810810810810811,0.17298104650784116,0.14204545454545456,0.2380980082765273
00-0027029,2016,1,16.658437629008546,0.2975,0.096,TRUE,FALSE,exante_high,0.2589417183143453,0.2007042253521127,0.27191132279483166,0.2631578947368421,0.3851667427410075,0.1191548738387319,0.09127789046653144,0.13544457434698315,0.14204545454545456,0.21949736040531487
00-0027155,2016,1,15.602304517634291,0.3375,0.1185,FALSE,FALSE,exante_high,0.28284045703248634,0.2007042253521127,0.3008658244454441,0.2631578947368421,0.20879140553498768,0.1308867509970525,0.09127789046653144,0.14988302416478458,0.14204545454545456,0.10217861148764773
00-0027325,2016,1,12.464588968141603,0.1925,0.045,FALSE,FALSE,exante_mid,0.19341817489381916,0.1608187134502924,0.13540781322553833,0.15828677839851024,0.1765577094119734,0.08546412735168109,0.08121019108280254,0.08458641558815287,0.07441016333938294,0.10331843630559502
00-0027791,2016,1,13.481948232397128,0.3015,0.1635,FALSE,FALSE,exante_mid,0.26134595069845135,0.2007042253521127,0.05428112318521838,0.15828677839851024,0.10914369040783506,0.15151486235620737,0.10810810810810811,0.014866401543753165,0.07441016333938294,0.021112333659778975
00-0027864,2016,1,14.267900858890574,0.2315,0.0665,FALSE,FALSE,exante_high,0.21846252621574352,0.1872146118721461,0.2233424668221606,0.2631578947368421,0.25822827908499074,0.10136120293388079,0.09127789046653144,0.11367860764663336,0.14204545454545456,0.13286164985950735
00-0027966,2016,1,16.738503838672166,0.384,0.1745,FALSE,FALSE,exante_high,0.31041761898352943,0.2857142857142857,0.33440926834806933,0.28865979381443296,0.2450708721965578,0.15615678652719833,0.143646408839779,0.18112916356621234,0.14857142857142858,0.09191399503523258
00-0027994,2016,1,12.137476391038856,0.216,0.0755,FALSE,FALSE,exante_mid,0.2086410854916651,0.1872146118721461,0.10922767907047054,0.15828677839851024,0.12287426748244433,0.107167583515784,0.09127789046653144,0.04385295538518597,0.07441016333938294,0.040025447552844026
00-0028009,2016,1,18.705320360178057,0.4405,0.185,TRUE,TRUE,exante_high,0.34407139507809215,0.38738738738738737,0.37538585766164,0.38738738738738737,0.36417852181964433,0.16047704889935685,0.143646408839779,0.1864833450284801,0.14857142857142858,0.19882645268570504
00-0028064,2016,1,13.251066192422122,0.295,0.1315,FALSE,FALSE,exante_mid,0.257437005097999,0.2007042253521127,0.05704076221388112,0.15828677839851024,0.10343898812577382,0.13716995109614788,0.09127789046653144,0.020463695996204685,0.07441016333938294,0.027638769620142608
00-0028202,2016,1,14.835038520335608,0.2785,0.118,FALSE,FALSE,exante_high,0.24746095861486644,0.2007042253521127,0.25806358400898965,0.2631578947368421,0.22839335774738329,0.130638651116918,0.09127789046653144,0.14957712519218713,0.14204545454545456,0.07185014464069167
00-0029141,2016,1,14.004381328313844,0.2715,0.106,FALSE,FALSE,exante_high,0.2432019908204476,0.2007042253521127,0.2529393921603538,0.2631578947368421,0.17196273936942838,0.12452167569878056,0.09127789046653144,0.1420424078430626,0.14204545454545456,0.057465851433885856
00-0029205,2016,1,11.801540873611282,0.256,0.1105,FALSE,FALSE,exante_mid,0.23370419452163943,0.1872146118721461,0.07766775987819995,0.15828677839851024,0.07340607016110853,0.12685366308768917,0.09127789046653144,0.026176332645069463,0.07441016333938294,0.018039202823553653
00-0029613,2016,1,15.242387469687309,0.287,0.096,FALSE,FALSE,exante_high,0.25261039136913893,0.2007042253521127,0.2642687398846894,0.2631578947368421,0.2519597050672925,0.1191548738387319,0.09127789046653144,0.13544457434698315,0.14204545454545456,0.11988940030566617
00-0029615,2016,1,13.075809026967756,0.201,0.0565,TRUE,FALSE,exante_mid,0.19897574365318957,0.1872146118721461,0.12510867648707014,0.15828677839851024,0.20923679251769484,0.09438628029169657,0.08121019108280254,0.06375022181086662,0.07441016333938294,0.09813935836601007
00-0029854,2016,1,15.211975064836976,0.229,0.0705,TRUE,TRUE,exante_high,0.21688873435153497,0.1872146118721461,0.22147080916965894,0.2631578947368421,0.36471110077781244,0.10399073733649988,0.09127789046653144,0.11688286481720822,0.14204545454545456,0.1840075072921434
