position,comparison,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,verdict
WR,ae_vs_lagusage_pff,1406,116,spearman,0.12450688022932438,0.13678964487507786,0.01228276464575348,-0.023098382536488646,0.04421766168248092,0.02,NEUTRAL
WR,ae_vs_lagusage_pff,1406,116,concordance,0.5402141842421593,0.5431100426182931,0.0028958583761338197,-0.009247689023526948,0.013966282792513213,0.01,NEUTRAL
