player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,fold,alpha_fold,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,it_c,p_start_sim,p_boom_sim,p_start_norm,p_boom_norm,position,med_eff,med_vol,med_tot,fantasy_points_ppr,hit_start,hit_boom
00-0022736,2014,6,8,-0.31774909287923947,-2.541992743033916,-0.01846925849960114,-0.17811488832262184,0.19427170089947987,-0.36178373813445386,0.37794055071131183,-0.5171307145929728,0.5332875271698309,16.125411760354435,12.237436678906668,20.0133868418022,7.828846657032523,24.42197686367635,4.867563617304988,27.38325990340388,1,0.4731885011830933,-0.2978243982144944,-2.518521480772219,1.9228726843432304,-5.188795961673581,4.593147165244591,-7.206855817269685,6.611207020840696,5.25,0.4015,0.1945,0.4046632784515299,0.17729910689466186,RB,NA,NA,NA,2.5,FALSE,FALSE
00-0023500,2014,6,17,-0.46760532388340353,-7.94929050601786,-0.12950994982075884,-0.3245065099550509,0.04788007926705076,-0.508175359766883,0.23154892907888275,-0.6635223362254019,0.3868959055374017,16.498929518285646,12.61095443683788,20.386904599733413,8.202364414963734,24.79549462160756,5.241081375236199,27.756777661335093,1,0.4731885011830933,-2.1367755340094106,-4.865234510782167,0.5916834427633453,-8.146066658078485,3.8725155900596655,-10.62555545099574,6.352004382976919,0.75,0.319,0.1535,0.33559898417514533,0.1433265900254377,RB,NA,NA,NA,3.8000000000000003,FALSE,FALSE
00-0023564,2014,6,11,-0.77346984009292,-8.508168241022119,-0.03822051353365199,-0.21888926884945445,0.15349732037264727,-0.4025581186612864,0.33716617018447925,-0.5579050951198055,0.4925131466429982,9.454767428920896,5.566792347473129,13.342742510368662,1.1582023255989835,17.751332532242806,-1.8030807141285512,20.712615571970343,1,0.4731885011830933,-0.3613660664746031,-2.2345022036004423,1.5117700706512358,-4.4868524523162145,3.764120319367009,-6.189066082482388,5.466333949533182,3.75,0.1445,0.05,0.15445936869760563,0.04174580638722065,RB,NA,NA,NA,9.9,FALSE,FALSE
00-0024204,2014,6,16,-0.03437960513110738,-0.5500736820977181,0.01873559267481811,-0.17114827134922675,0.20123831787287497,-0.35481712116105874,0.38490716768470695,-0.5101640976195777,0.5402541441432259,13.94575209629074,10.057777014842973,17.833727177738506,5.649186992968827,22.24231719961265,2.6879039532412925,25.203600239340187,1,0.4731885011830933,0.2612819308200941,-2.21930272581523,2.7418665874554184,-5.202078701140804,5.724642562780993,-7.456311551394153,7.978875413034341,-2,0.348,0.1735,0.34871945563017515,0.14662645965881177,RB,NA,NA,NA,14.3,FALSE,FALSE
00-0024275,2014,6,5,0.33658829393098133,1.6829414696549063,-0.09845421419101116,-0.27384530259143897,0.09854128663066276,-0.4575141524032709,0.28221013644249476,-0.6128611288617899,0.43755711290101373,13.165209820335416,9.277234738887648,17.053184901783183,4.8686447170135025,21.461774923657327,1.9073616772859676,24.423057963384863,1,0.4731885011830933,-1.2961703875209063,-3.082584277823756,0.49024350278194273,-5.230655467303255,2.6383146922614413,-6.854060201706392,4.261719426664578,0,0.2255,0.079,0.23043123022096204,0.07246662628239826,RB,NA,NA,NA,5,FALSE,FALSE
00-0025399,2014,6,12,0.04394478801017006,0.5273374561220407,-0.08477562117688169,-0.27302251553761103,0.09936407368449068,-0.456691365349443,0.2830329234963227,-0.612038341807962,0.4383798999548416,19.197400981282723,15.309425899834956,23.08537606273049,10.90083587796081,27.493966084604637,7.939552838233276,30.45524912433217,1,0.4731885011830933,-1.6274715931699208,-4.306010928581938,1.0510677422420975,-7.526817264402974,4.2718740780631315,-9.960941552171317,6.7059983658314755,5,0.458,0.2365,0.4663805256619897,0.23280776719785207,RB,NA,NA,NA,7.2,FALSE,FALSE
00-0025637,2014,6,17,-0.10728776665842708,-1.8238920331932604,-0.09024376804152094,-0.26804009213649344,0.10434649708560828,-0.45170894194832545,0.28801534689744024,-0.6070559184068444,0.44336232335595926,14.03122508275025,10.143250001302484,17.919200164198017,5.734659979428338,22.327790186072164,2.7733769397008032,25.289073225799697,1,0.4731885011830933,-1.266230621706084,-3.793338619865102,1.2608773764529342,-6.8320565300960405,4.299595286683872,-9.128567495908046,6.596106252495879,1.25,0.271,0.118,0.2811887160932781,0.10794024926954329,RB,NA,NA,NA,14.9,FALSE,FALSE
00-0026144,2014,6,18,0.03510523738481828,0.6318942729267292,-0.09353428867764936,-0.2779911383621804,0.0943954508599213,-0.4616599881740124,0.2780643006717533,-0.6170069646325314,0.4334112771302723,16.761053148170124,12.873078066722355,20.64902822961789,8.464488044848212,25.05761825149204,5.503205005120677,28.01890129121957,1,0.4731885011830933,-1.5677331837023682,-4.357584995077815,1.2221186276730782,-7.71223888097927,4.576772513574533,-10.24751845054322,7.112052083138482,0,0.3605,0.1695,0.37376217685063573,0.169119742739929,RB,NA,NA,NA,10.6,FALSE,FALSE
00-0026164,2014,6,5,-0.3658188286121003,-1.8290941430605017,-0.04834187594593932,-0.22450551512068168,0.14788107410142004,-0.4081743649325137,0.331549923913252,-0.5635213413910326,0.48689690037177097,13.277099005041142,9.389123923593376,17.165074086488907,4.98053390171923,21.573664108363054,2.0192508619916953,24.534947148090588,1,0.4731885011830933,-0.6418398730236534,-2.4354219195862377,1.1517421735389304,-4.592112449760972,3.3084327037136654,-6.222031250625504,4.938351504578198,-3.5,0.221,0.0965,0.2645070407300118,0.08863985926785516,RB,NA,NA,NA,2.1,FALSE,FALSE
00-0026184,2014,6,30,0.18812113784073495,5.643634135222049,0.02121999874107102,-0.18366691314556569,0.18871967607653603,-0.36733576295739767,0.372388525888368,-0.5226827394159167,0.5277355023468869,20.278912266809225,16.390937185361455,24.16688734825699,11.98234716348731,28.575477370131132,9.021064123759777,31.53676040985867,1,0.4731885011830933,0.43031849277198136,-3.054257970507334,3.914894956051296,-7.244282661280263,8.104919646824227,-10.410893690552076,11.271530676096042,2.25,0.6265,0.3945,0.6035812418002864,0.37622747643676924,RB,NA,NA,NA,37.7,TRUE,TRUE
