cell,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0,0.1)",24,0.0894375,0.08333333333333333,-0.006104166666666674,raw,12+,TE
exante_low,"[0.1,0.2)",296,0.1350625,0.10135135135135136,-0.033711148648648645,raw,12+,TE
exante_low,"[0.2,0.3)",1,0.2015,0,-0.2015,raw,12+,TE
exante_mid,"[0,0.1)",6,0.09491666666666666,0.16666666666666666,0.07175,raw,12+,TE
exante_mid,"[0.1,0.2)",1179,0.16233630195080576,0.15860899067005937,-0.0037273112807463815,raw,12+,TE
exante_mid,"[0.2,0.3)",1630,0.24700429447852762,0.22515337423312884,-0.02185092024539878,raw,12+,TE
exante_mid,"[0.3,0.4)",1317,0.346704252088079,0.3333333333333333,-0.013370918754745664,raw,12+,TE
exante_mid,"[0.4,0.5)",476,0.43644012605042015,0.42016806722689076,-0.01627205882352939,raw,12+,TE
exante_mid,"[0.5,0.6)",33,0.5212878787878787,0.42424242424242425,-0.09704545454545449,raw,12+,TE
exante_high,"[0.3,0.4)",15,0.3778,0.4,0.022199999999999998,raw,12+,TE
exante_high,"[0.4,0.5)",269,0.45902973977695166,0.4275092936802974,-0.031520446096654275,raw,12+,TE
exante_high,"[0.5,0.6)",267,0.5454700374531836,0.5767790262172284,0.031308988764044865,raw,12+,TE
exante_high,"[0.6,0.7)",105,0.6377904761904762,0.6666666666666666,0.02887619047619039,raw,12+,TE
exante_high,"[0.7,0.8)",14,0.7261428571428571,0.5714285714285714,-0.1547142857142857,raw,12+,TE
exante_low,"[0,0.1)",57,0.09024173357385656,0.19298245614035087,0.1027407225664943,platt,12+,TE
exante_low,"[0.1,0.2)",264,0.13064229055176993,0.07954545454545454,-0.051096836006315385,platt,12+,TE
exante_mid,"[0,0.1)",18,0.09251720350356316,0.1111111111111111,0.01859390760754795,platt,12+,TE
exante_mid,"[0.1,0.2)",1405,0.1596626740380228,0.15871886120996442,-9.43812828058388e-4,platt,12+,TE
exante_mid,"[0.2,0.3)",1645,0.2485081042151908,0.24498480243161094,-0.0035233017835798464,platt,12+,TE
exante_mid,"[0.3,0.4)",1213,0.3456742936966001,0.34789777411376754,0.002223480417167467,platt,12+,TE
exante_mid,"[0.4,0.5)",348,0.4352618999914186,0.4367816091954023,0.001519709203983699,platt,12+,TE
