position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,pff_man_catch_pct,pff_zone_catch_pct,opp_man_rate,opp_zone_rate,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
QB,00-0039918,Caleb Williams,CHI,PHI,3,NA,4.87747665801864,0.16070963658312604,0.04621595977655292,0.4788041287708622,0.27246831320866516,4.374264108155809,2,-0.05166427215612761,18.5,-4.5,0.09477660895023225,25.375,3.75,NA,NA,NA,NA,-31.809449218773615,-22.625235343211227,0.5032125498628313,FALSE
QB,00-0040691,Jaxson Dart,NYG,TEN,3,NA,4.8481817789191375,0.13756728668296098,0.01836855268469199,0.42555563919712813,0.21375376338947266,5.878189049686679,2,0.3628547567197413,20.5,2.5,0.18954934632130532,21.375,-4.75,NA,NA,NA,NA,-28.798835251416715,-19.53852107047807,-1.0300072707675412,FALSE
RB,00-0034844,Saquon Barkley,PHI,CHI,3,NA,16.08923239619303,0.23787196638147923,0.04461450299968836,0.4680017878608864,0.2206832496105169,21.376010907950956,2,-0.07444182397095546,23,4.5,-0.025083413819808255,24,6.5,NA,NA,NA,NA,-23.01298214794072,-17.606874661082855,-5.286778511757927,FALSE
QB,00-0039910,Jayden Daniels,WAS,SEA,3,NA,5.687168408671858,0.19758142821567257,0.08891975922677113,0.41694030339462906,0.21158765800954166,6.276221082152421,2,-0.13736515610436456,16.5,-7.5,0.15864955115171564,21.375,-4.75,NA,NA,NA,NA,-21.93588751789565,-12.266789878277052,-0.5890526734805634,FALSE
WR,00-0037664,Alec Pierce,IND,HOU,3,NA,5.4405311654510955,0.08374034433291479,0,0.2764452552686917,0.14439140811455847,6.664916917910488,2,-0.1498037077330908,20.5,-1.5,0.030293894082120562,21.5,-4.5,NA,NA,NA,NA,-19.27049109357769,-14.439140811455847,-1.2243857524593924,FALSE
WR,00-0041037,Denzel Boston,CLE,CAR,3,NA,6.9372453375979966,0.35575567729187446,0.2293914081145585,0.16420474250442157,0.06739976672634504,6.399026927793317,2,0.08206818638997364,20,-2.5,-0.19625929623196336,16.25,-8.5,NA,NA,NA,NA,19.15509347874529,16.199164138821345,0.5382184098046796,FALSE
RB,00-0036223,Jonathan Taylor,IND,HOU,3,NA,25.650289926076,0.7439745775142412,0.4926300045635692,0.5564338397249906,0.31621727624004686,19.381012740458708,2,-0.14605319663944993,20.5,-1.5,-0.1203586923644664,21.5,-4.5,NA,NA,NA,NA,18.75407377892506,17.641272832352232,6.269277185617291,FALSE
RB,00-0035250,Devin Singletary,NYG,TEN,3,NA,9.164885425529638,0,0,0.18726425151401838,0.06584070592555655,11.045314964674347,2,-0.02206930118377441,20.5,2.5,-0.08354593209903965,21.375,-4.75,NA,NA,NA,NA,-18.726425151401838,-6.584070592555655,-1.8804295391447088,FALSE
WR,00-0038997,Josh Downs,IND,HOU,3,NA,7.082242753300032,0.3692075294295286,0.2293914081145585,0.1819654892250432,0.054765616128665956,5.8282535124668255,2,-0.1498037077330908,20.5,-1.5,0.030293894082120562,21.5,-4.5,NA,NA,NA,NA,18.724204020448543,17.462579198589253,1.2539892408332065,FALSE
RB,00-0039361,Bucky Irving,TB,MIN,3,NA,19.957091371927127,0.31725907967338357,0.08839465429415246,0.48955032150496514,0.2517312509958974,17.311320376413455,2,-0.13461699760113854,20.5,-1.5,-0.08563409048369879,24.25,2.5,NA,NA,NA,NA,-17.229124183158156,-16.333659670174494,2.645770995513672,FALSE
TE,00-0040737,Terrance Ferguson,LA,DEN,3,NA,5.755795314917825,0.3744880642613978,0.2199534648778449,0.20247136699345747,0.057213850992976545,4.49176601815244,2,0.2352074159667829,23.5,2.5,0.3206493050694438,26.25,5,NA,NA,NA,NA,17.201669726794034,16.273961388486835,1.2640292967653854,FALSE
RB,00-0039738,Blake Corum,LA,DEN,3,NA,12.825939029033243,0.11361639895389682,0.00497419724995899,0.2839645226280447,0.11655298898161531,12.067777933406653,2,-0.05208460868516541,23.5,2.5,0.03375245844629356,26.25,5,NA,NA,NA,NA,-17.03481236741479,-11.157879173165632,0.7581610956265905,FALSE
WR,00-0039146,Jayden Reed,GB,ATL,3,NA,4.7311620993754975,0.01873198593530921,0,0.1865728506396515,0.06739976672634504,5.657706000557244,2,-0.03145366923039461,23.5,4.5,0.09438148907086223,23.25,1,NA,NA,NA,NA,-16.78408647043423,-6.739976672634504,-0.9265439011817467,FALSE
RB,00-0036973,Travis Etienne,NO,LV,3,NA,15.94629477237895,0.21285166037619851,0.04208061533119105,0.38044013043914066,0.18197298102326656,16.536296366224168,2,-0.06342808459695853,23.25,3,-0.12300256631502063,19.875,-7.75,NA,NA,NA,NA,-16.758847006294214,-13.989236569207552,-0.5900015938452174,FALSE
TE,00-0034351,Dallas Goedert,PHI,CHI,3,NA,5.310951547340611,0.1459728589468522,0.00130736429769023,0.31110449734513046,0.1835365132146043,5.865781309786419,2,0.12053937029745672,23,4.5,0.49700200614003043,24,6.5,NA,NA,NA,NA,-16.513163839827826,-18.222914891691406,-0.5548297624458076,FALSE
WR,00-0036550,Rashod Bateman,BAL,DAL,3,NA,6.670482400436883,0.3899205545276948,0.21639140811455848,0.2271018816102428,0.11868207998143465,6.047951324017505,2,0.3086437796406527,28,3.5,0.033939770947316955,26.375,5.75,NA,NA,NA,NA,16.2818672917452,9.770932813312383,0.6225310764193779,FALSE
RB,00-0036997,Javonte Williams,DAL,BAL,3,NA,19.105458589740287,0.3923228376726058,0.16754721146507962,0.5537637314508784,0.3054417502378054,18.50816512996686,2,-0.1496091490223324,24.5,-3.5,0.032475796233437576,26.375,3.25,NA,NA,NA,NA,-16.144089377827264,-13.789453877272578,0.5972934597734287,FALSE
TE,00-0040128,Tyler Warren,IND,HOU,3,NA,6.772825983814506,0.4746977205532709,0.28624320738997955,0.31647094785501073,0.15094085519951428,6.098136432125606,2,0.02044369312943861,20.5,-1.5,0.07009600662255398,21.5,-4.5,NA,NA,NA,NA,15.822677269826018,13.530235219046528,0.6746895516889007,FALSE
TE,00-0033881,Evan Engram,DEN,LA,3,NA,4.983582937516085,0.1981803380337237,0.07525234172431017,0.3546876986769115,0.17105946547950063,6.31447950774634,2,0.07992949803081542,21,-2.5,-0.018801600945796887,22.25,0,NA,NA,NA,NA,-15.650736064318782,-9.580712375519045,-1.3308965702302542,FALSE
QB,00-0036355,Justin Herbert,LAC,BUF,3,NA,4.248823615035765,0.3647924377532856,0.15254737116978614,0.5175289018384406,0.28403311107612106,4.990844542786732,2,-0.016137764935521576,21.75,-7,0.2554964469569509,26.5,7.5,NA,NA,NA,NA,-15.273646408515496,-13.14857399063349,-0.7420209277509668,FALSE
TE,00-0034753,Mark Andrews,BAL,DAL,3,NA,6.409066855279979,0.5357441144532014,0.30194281143574714,0.3887881371658433,0.19821446958263395,5.9096271524192385,2,0.28299198628823286,28,3.5,0.26905183044109005,26.375,5.75,NA,NA,NA,NA,14.695597728735803,10.37283418531132,0.4994397028607409,FALSE
WR,00-0038124,Christian Watson,GB,ATL,3,NA,7.809932575685403,0.4367136902165265,0.22448979591836735,0.2902387128965398,0.14563237420243452,6.674689339272961,2,-0.03145366923039461,23.5,4.5,0.09438148907086223,23.25,1,NA,NA,NA,NA,14.647497731998671,7.885742171593282,1.1352432364124425,FALSE
RB,00-0036875,Rhamondre Stevenson,NE,JAX,3,NA,14.763755844844605,0.13506834028033227,0.02104183797223798,0.2813032112326434,0.11873015439736354,16.875228956730943,2,-0.05672491627039601,21.25,-3,-0.23553087717552734,21.875,0.75,NA,NA,NA,NA,-14.623487095231113,-9.768831642512556,-2.1114731118863386,FALSE
RB,00-0040719,Bhayshul Tuten,JAX,NE,3,NA,15.900917637332755,0.31821298782207164,0.18922145938290796,0.17776476970547286,0.07390338745372256,13.524591060171154,2,-0.1190087982891694,24.25,3,-0.10359647235257731,23,3,NA,NA,NA,NA,14.044821811659878,11.53180719291854,2.376326577161601,FALSE
QB,00-0034857,Josh Allen,BUF,LAC,3,NA,6.073178502807356,0.6653334152431906,0.4008688057501995,0.5250778291984056,0.27723292504858366,5.334648360201241,2,-0.059584743356168174,28.75,7,-0.021947002684381142,26.5,3.5,NA,NA,NA,NA,14.025558604478494,12.363588070161585,0.7385301426061153,FALSE
WR,00-0039890,Adonai Mitchell,NYJ,DET,3,NA,7.3277380149084355,0.29560570360590827,0.14439140811455847,0.1560838727926323,0.05199698568198945,5.640611120362003,2,-0.02156497375814384,20.5,-6.5,0.2244906962571798,19.75,-2.5,NA,NA,NA,NA,13.952183081327597,9.239442243256903,1.6871268945464326,FALSE
RB,00-0032764,Derrick Henry,BAL,DAL,3,NA,19.893543545151832,0.6955302011274349,0.4630996630860508,0.564190892359818,0.31209797335902545,17.50954533825314,2,-0.00921221326624014,28,3.5,-0.12430266762080497,26.375,5.75,NA,NA,NA,NA,13.13393087676169,15.100168972702532,2.383998206898692,FALSE
TE,00-0030506,Travis Kelce,KC,MIA,3,NA,6.935552684881529,0.48914536396584546,0.2868498537949796,0.3585806829696374,0.17324932994931735,6.161874677937872,2,0.28122282388386954,28,10.5,0.26401637052748317,24.625,4.25,NA,NA,NA,NA,13.056468099620805,11.360052384566227,0.7736780069436566,FALSE
RB,00-0036555,Chuba Hubbard,CAR,CLE,3,NA,17.518531953813348,0.36899891020012854,0.20903066605044357,0.24028583851866098,0.13311997173519546,14.076043400481264,2,-0.15578620748553293,22.5,2.5,-0.07165199849923062,22.625,-0.25,NA,NA,NA,NA,12.871307168146757,7.591069431524811,3.4424885533320833,FALSE
WR,00-0039751,Jordan Whittington,LA,DEN,3,NA,4.940193849846382,0.11407257931726822,0.0332425068119891,0.2411738468543917,0.09109347442680776,6.055320501584198,2,-0.10518392575001262,23.5,2.5,0.15512648854880218,26.25,5,NA,NA,NA,NA,-12.710126753712348,-5.785096761481866,-1.1151266517378158,FALSE
WR,00-0039901,Keon Coleman,BUF,LAC,3,NA,5.881745694707292,0.29502542521101083,0.17068075117370893,0.16809418873269547,0.06333109844675382,5.494808706523389,2,-0.26202375984591075,28.75,7,-0.08616512011482222,26.5,3.5,NA,NA,NA,NA,12.693123647831536,10.734965272695511,0.3869369881839031,FALSE
RB,00-0033293,Aaron Jones,MIN,TB,3,NA,19.073615835596225,0.3260743835098548,0.1754330550883002,0.20014372233621486,0.08646913381653124,14.596585414528437,2,-0.11985184692547352,22,1.5,-0.10056638441889156,22.5,-1.5,NA,NA,NA,NA,12.593066117363993,8.896392127176897,4.477030421067788,FALSE
WR,00-0039919,Rome Odunze,CHI,PHI,3,NA,6.516311479010985,0.1191791479313806,0.01068075117370891,0.2381019918833073,0.08216475178647059,6.944624885519062,2,-0.08261588773800808,18.5,-4.5,0.03280724413000876,25.375,3.75,NA,NA,NA,NA,-11.89228439519267,-7.148400061276168,-0.42831340650807714,FALSE
