cell,n,weeks,brier_model,brier_ecr,skill,ci_lo,ci_hi,model
RB start,1148,25,0.17863639481707316,0.17023096268133478,-0.008405432135738383,-0.013865705088138846,-0.0027251009303593562,shipped_raw
RB start,1148,25,0.17512205543657133,0.17023096268133478,-0.0048910927552365535,-0.00991450138472127,6.104524893952791e-4,star_recal
RB boom,1148,25,0.10995634429442508,0.10646133731425855,-0.0034950069801665262,-0.008306480334219896,0.001412946343231448,shipped_raw
RB boom,1148,25,0.10848679219182965,0.10646133731425855,-0.002025454877571095,-0.00655401519519071,0.002417480466328039,star_recal
pooled start,3171,29,0.17781107205928728,0.1730673198031722,-0.004743752256115091,-0.007933023696643638,-0.0014986614869770588,shipped_raw
pooled start,3171,29,0.17653877259261555,0.1730673198031722,-0.0034714527894433578,-0.006645986269301719,-5.892959658902241e-4,star_recal
pooled boom,3171,29,0.10849323621650164,0.10555384233915587,-0.002939393877345778,-0.004971537028291343,-0.0011435142865948186,shipped_raw
pooled boom,3171,29,0.10796121293874084,0.10555384233915587,-0.002407370599584971,-0.003974199870773203,-8.364160634345166e-4,star_recal
