position,term,estimate,sigma_resid
RB,intercept,0.709790235949101,3.490489932303964
RB,total_epa,1.0036374335804328,3.490489932303964
RB,opportunities,0.7954108898367365,3.490489932303964
WR,intercept,0.3234513014676989,3.2569391243136105
WR,total_epa,1.0252901635477762,3.2569391243136105
WR,opportunities,1.4402514633442023,3.2569391243136105
