cell,candidate,gap_b1,gap_b2,gap_b3,brier,brier_raw,bar1,bar2,bar3,pass
RB 15+ start,star_platt,-0.028776071186885188,-0.035016674842366424,0.01456777121850883,0.1716771041251768,0.1749735054092192,TRUE,TRUE,TRUE,TRUE
RB 15+ start,star_platt_int,-0.01393317758651147,-0.034809125795044416,0.014324860756737057,0.17188028767121044,0.1749735054092192,TRUE,TRUE,TRUE,TRUE
RB 15+ start,star_iso,-0.017204663688271338,-0.03827124006003896,0.01291887903963801,0.17604533527871624,0.1749735054092192,TRUE,TRUE,FALSE,FALSE
RB 20+ boom,star_platt,-0.0141745935584221,-0.026577468837297863,5.508347039153705e-4,0.10806367347926359,0.108745470014111,TRUE,TRUE,TRUE,TRUE
RB 20+ boom,star_platt_int,1.4998076291489193e-4,-0.02549696617005348,5.533134995855254e-4,0.10810127914644334,0.108745470014111,TRUE,TRUE,TRUE,TRUE
RB 20+ boom,star_iso,-0.009464667141197758,-0.024219560161505616,2.7595603469655894e-4,0.11069672517742354,0.108745470014111,TRUE,TRUE,FALSE,FALSE
