component,stratum,nominal,empirical,sharpness,delta
efficiency,low_opp_3_5,0.5,0.4420317220543807,0.8356923932152934,-0.05796827794561932
efficiency,low_opp_3_5,0.8,0.7339501510574018,1.6776315654170775,-0.06604984894259824
efficiency,low_opp_3_5,0.9,0.8555513595166163,2.2903632028579466,-0.044448640483383706
volume,low_opp_3_5,0.5,0.5587235649546828,3.098150017668208,0.05872356495468278
volume,low_opp_3_5,0.8,0.8198640483383686,6.146824687981797,0.019864048338368523
volume,low_opp_3_5,0.9,0.9046450151057401,8.243904911555441,0.0046450151057401134
combined,low_opp_3_5,0.5,0.5,4.370219101059498,0
combined,low_opp_3_5,0.8,0.8050415407854985,8.27082784666923,0.005041540785498455
combined,low_opp_3_5,0.9,0.9109705438066465,10.876119895370003,0.010970543806646527
