fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
165,15,0.02,10,246,6.4723,7,0.02,100,335,2.6207
166,15,0.02,10,246,6.459,7,0.02,100,335,2.6098
167,7,0.02,10,321,6.4684,7,0.05,50,135,2.601
168,15,0.02,50,270,6.463,7,0.02,100,280,2.5926
169,7,0.05,10,155,6.432,7,0.02,100,360,2.5713
170,7,0.02,100,359,6.4309,7,0.05,100,113,2.5778
171,7,0.02,100,358,6.4331,15,0.05,100,108,2.585
172,7,0.02,10,304,6.4712,7,0.05,50,112,2.5898
173,7,0.02,50,351,6.485,7,0.05,100,165,2.6062
174,7,0.02,50,300,6.4987,7,0.02,50,360,2.6217
175,7,0.05,10,126,6.4903,7,0.05,20,135,2.6116
176,7,0.05,10,126,6.479,7,0.05,20,135,2.6176
177,7,0.02,10,319,6.4738,7,0.02,100,246,2.6262
178,7,0.02,100,360,6.4859,7,0.05,100,112,2.6233
179,7,0.02,10,250,6.4762,7,0.05,50,118,2.6168
180,7,0.02,10,270,6.4799,7,0.02,100,261,2.6004
181,7,0.02,10,270,6.4663,7,0.02,100,261,2.5925
182,7,0.05,20,119,6.4717,7,0.02,100,260,2.5985
183,7,0.02,10,374,6.5058,7,0.02,50,250,2.6061
184,7,0.02,100,238,6.5258,31,0.05,100,88,2.6016
185,7,0.05,10,118,6.4971,7,0.05,20,107,2.5962
186,7,0.05,10,118,6.5206,7,0.05,20,107,2.5962
187,7,0.05,20,103,6.5274,7,0.02,100,270,2.6081
188,7,0.02,10,275,6.5056,31,0.02,100,258,2.6155
189,7,0.02,20,275,6.5322,7,0.05,50,100,2.6136
190,7,0.05,20,105,6.4932,31,0.02,100,203,2.5979
191,7,0.05,20,105,6.4897,31,0.02,100,203,2.5896
192,7,0.05,10,91,6.4714,15,0.05,50,153,2.5825
193,7,0.05,100,136,6.476,15,0.05,50,118,2.5761
194,7,0.05,100,108,6.4756,15,0.02,100,251,2.5921
195,31,0.02,20,306,6.4303,31,0.02,50,283,2.59
196,31,0.02,20,306,6.4186,15,0.02,100,280,2.5844
197,7,0.05,20,140,6.4335,31,0.02,50,330,2.588
198,15,0.05,100,89,6.4528,31,0.02,20,256,2.5854
199,7,0.02,10,394,6.4583,31,0.02,10,250,2.5907
200,7,0.02,100,266,6.4823,63,0.02,20,275,2.593
201,7,0.02,100,266,6.4842,63,0.02,20,275,2.5889
202,7,0.02,100,275,6.4755,31,0.02,10,242,2.59
203,31,0.02,100,214,6.4792,15,0.05,50,154,2.5939
204,15,0.02,100,238,6.4951,63,0.02,20,226,2.5967
