position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom
QB,00-0036355,Justin Herbert,LAC,ARI,2026_01_ARI_LAC,2026,1,NA,NA,20,25,5.006300094062018,7.070817636533218,-6.364213683722009,20.505848956788444,-9.588689103867065,23.7303243769335,0.563,0.3575,0.5827099552055699,0.34649388346550725,platt_vol_vegas,platt
QB,00-0036389,Jalen Hurts,PHI,WAS,2026_01_WAS_PHI,2026,1,NA,NA,20,25,5.229607113264515,5.2824854363366365,-8.152545883918592,18.717516756591863,-11.377021304063646,21.941992176736917,0.4995,0.279,0.46791538853421166,0.26809239534714746,platt_vol_vegas,platt
QB,00-0033106,Jared Goff,DET,NO,2026_01_NO_DET,2026,1,NA,NA,20,25,1.4149122786322446,7.035742702349128,-6.399288617906099,20.470774022604356,-9.623764038051153,23.69524944274941,0.4465,0.2395,0.45131193800432035,0.2289792381823849,platt_vol_vegas,platt
QB,00-0037012,Trey Lance,LAC,ARI,2026_01_ARI_LAC,2026,1,NA,NA,20,25,2.809182565977481,4.155958843519928,-9.2790724767353,17.590990163775153,-12.503547896880354,20.815465583920208,0.377,0.2035,0.43926062108540165,0.19355938773334194,platt_vol_vegas,platt
QB,00-0036442,Joe Burrow,CIN,TB,2026_01_TB_CIN,2026,1,NA,NA,20,25,2.026574528866912,6.273799719177866,-7.161231601077361,19.708831039433093,-10.385707021222416,22.933306459578148,0.4275,0.2235,0.4350906471295317,0.21320875534859612,platt_vol_vegas,platt
QB,00-0034796,Lamar Jackson,BAL,IND,2026_01_BAL_IND,2026,1,NA,NA,20,25,3.1452620638007116,3.7842274352714798,-9.650803884983748,17.219258755526706,-12.875279305128803,20.44373417567176,0.412,0.2085,0.42099499593005896,0.19846486829044263,platt_vol_vegas,platt
QB,00-0040691,Jaxson Dart,NYG,DAL,2026_01_DAL_NYG,2026,1,NA,NA,20,25,5.4155404359894606,3.0808546965850923,-10.354176623670135,16.51588601684032,-13.57865204381519,19.740361436985374,0.4045,0.2085,0.41858691012584837,0.19846486829044263,platt_vol_vegas,platt
QB,00-0033949,Joshua Dobbs,DET,NO,2026_01_NO_DET,2026,1,NA,NA,20,25,2.701971340912308,2.2270403881908614,-11.207990932064366,15.662071708446089,-14.43246635220942,18.886547128591143,0.298,0.1335,0.40701474840947605,0.12541815871430761,platt_vol_vegas,platt
QB,00-0026158,Joe Flacco,CIN,TB,2026_01_TB_CIN,2026,1,NA,NA,20,25,1.5648850622108936,5.060281262397801,-8.374750057857426,18.49531258265303,-11.59922547800248,21.719788002798083,0.382,0.1955,0.4020188211167038,0.1857204324367413,platt_vol_vegas,platt
QB,00-0039918,Caleb Williams,CHI,CAR,2026_01_CHI_CAR,2026,1,NA,NA,20,25,3.0596697628553,4.372822329068016,-9.062208991187212,17.807853649323242,-12.286684411332267,21.032329069468297,0.409,0.2155,0.3901699139926843,0.20534029248413188,platt_vol_vegas,platt
