player_id,posteam,defteam,game_id,source,rolling_pass_epa_per_db,wt_dropbacks,wt_carries,wt_carry_share,wt_rush_epa_pg,wt_rush_epa_per_carry,prior_pass_epa_per_db,baseline_pass_epa_per_db,is_cold_start,draft_tier,prior_rush_epa_pg,prior_carries_pg,prior_rush_epa_per_carry,player_name,form_residual,wt_team_total_plays,wt_team_pass_rate,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,def_rush_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0023459,PIT,ATL,2026_01_ATL_PIT,roster_cold,NA,NA,NA,NA,NA,NA,0.026739596277810435,0.026739596277810435,FALSE,r1,0.05539298793861247,0.8125,NA,Aaron Rodgers,NA,NA,NA,NA,0,TRUE,-0.18753756481925865,0.32930828317605904,-0.03794285024739317,2026,1,3.5,23,NA,NA
00-0026158,CIN,TB,2026_01_TB_CIN,roster_cold,NA,NA,NA,NA,NA,NA,-0.11374926353751146,-0.11374926353751146,FALSE,r1,0.6291148834740549,1,NA,Joe Flacco,NA,NA,NA,NA,0,TRUE,-0.04447038266663025,0.1824552863302277,-0.10581136204155658,2026,1,3.5,27,NA,NA
00-0026498,LA,SF,2026_01_SF_LA,roster_cold,NA,NA,NA,NA,NA,NA,0.22915007054383082,0.22915007054383082,FALSE,r1,-0.9570938945090508,0.7058823529411765,NA,Matthew Stafford,NA,NA,NA,NA,0,TRUE,-0.0996448946424012,0.57933219161958,-0.026043647376404945,2026,1,3.5,26,NA,NA
00-0027973,PHI,WAS,2026_01_WAS_PHI,roster_cold,NA,NA,NA,NA,NA,NA,NA,-0.09893651943711994,TRUE,r2_3,NA,NA,NA,Andy Dalton,NA,NA,NA,NA,0,TRUE,0.0575752949564593,0.4608404486915516,0.054666149154268574,2026,1,5.5,25,NA,NA
00-0028118,GB,MIN,2026_01_GB_MIN,roster_cold,NA,NA,NA,NA,NA,NA,-0.08966882559955024,-0.08966882559955024,FALSE,r6_udfa,0.902207412825733,4.166666666666667,0.21652977907817594,Tyrod Taylor,NA,NA,NA,NA,0,TRUE,-0.328708346165169,0.27580908214367483,-0.12142374889524,2026,1,-1.5,22.5,NA,NA
00-0028986,CHI,CAR,2026_01_CHI_CAR,roster_cold,NA,NA,NA,NA,NA,NA,NA,-0.3948780849372473,TRUE,udfa,NA,NA,NA,Case Keenum,NA,NA,NA,NA,0,TRUE,-0.04040557784469984,0.4736872114484297,-0.02800323798923084,2026,1,2.5,25,NA,NA
00-0029604,LV,MIA,2026_01_MIA_LV,roster_cold,NA,NA,NA,NA,NA,NA,-0.02280048296776633,-0.02280048296776633,FALSE,r4_5,-0.11013943436846603,0.8,NA,Kirk Cousins,NA,NA,NA,NA,0,TRUE,-0.03176797144995368,0.9035021100660089,-0.0228354699793534,2026,1,3.5,22,NA,NA
00-0030565,NYJ,TEN,2026_01_NYJ_TEN,roster_cold,NA,NA,NA,NA,NA,NA,-0.14633694147902812,-0.14633694147902812,FALSE,r2_3,0.023883275441282117,2.3333333333333335,0.010235689474835193,Geno Smith,NA,NA,NA,NA,0,TRUE,-0.154769201895427,0.8801149534747176,-0.0016963104071283917,2026,1,-1.5,19,NA,NA
00-0031503,NYG,DAL,2026_01_DAL_NYG,roster_cold,NA,NA,NA,NA,NA,NA,NA,0.03312442527245002,TRUE,r1,NA,NA,NA,Jameis Winston,NA,NA,NA,NA,0,TRUE,0.03234996052368342,0.7066701238312111,0.07259442451266204,2026,1,-2.5,23,NA,NA
00-0032268,WAS,PHI,2026_01_WAS_PHI,roster_cold,NA,NA,NA,NA,NA,NA,-0.0077105503286873135,-0.0077105503286873135,FALSE,r1,0.6695842331785926,4.4,0.1521782348133165,Marcus Mariota,NA,NA,NA,NA,0,TRUE,-0.26929747241334767,0.1707213636506763,-0.09857340460038785,2026,1,-5.5,19.5,NA,NA
