position,player_id,player_name,posteam,ecr_rank,ecr_as_of
QB,00-0034796,Lamar Jackson,BAL,1,2026-09-13T12:03:58
QB,00-0036442,Joe Burrow,CIN,2,2026-09-13T12:03:58
QB,00-0036389,Jalen Hurts,PHI,3,2026-09-13T12:03:58
QB,00-0036355,Justin Herbert,LAC,4,2026-09-13T12:03:58
QB,00-0034857,Josh Allen,BUF,5,2026-09-13T12:03:58
QB,00-0033077,Dak Prescott,DAL,6,2026-09-13T12:03:58
QB,00-0039918,Caleb Williams,CHI,7,2026-09-13T12:03:58
QB,00-0033106,Jared Goff,DET,8,2026-09-13T12:03:58
QB,00-0039851,Drake Maye,NE,8,2026-09-09T22:42:37
QB,00-0036971,Trevor Lawrence,JAX,9,2026-09-13T12:03:58
QB,00-0039910,Jayden Daniels,WAS,11,2026-09-13T12:03:58
QB,00-0026498,Matthew Stafford,LA,13,2026-09-10T20:50:52
QB,00-0040691,Jaxson Dart,NYG,13,2026-09-13T12:03:58
QB,00-0034855,Baker Mayfield,TB,14,2026-09-13T12:03:58
QB,00-0035228,Kyler Murray,MIN,15,2026-09-13T12:03:58
QB,00-0037834,Brock Purdy,SF,15,2026-09-10T20:50:52
QB,00-0040743,Tyler Shough,NO,17,2026-09-13T12:03:58
QB,00-0039732,Bo Nix,DEN,18,2026-09-14T19:04:05
QB,00-0038128,Malik Willis,MIA,19,2026-09-13T12:03:58
QB,00-0033873,Patrick Mahomes,KC,20,2026-09-14T19:04:05
QB,00-0036264,Jordan Love,GB,21,2026-09-13T12:03:58
QB,00-0034869,Sam Darnold,SEA,22,2026-09-09T22:42:37
QB,00-0035710,Daniel Jones,IND,23,2026-09-13T12:03:58
QB,00-0039150,Bryce Young,CAR,24,2026-09-13T12:03:58
QB,00-0039163,C.J. Stroud,HOU,25,2026-09-13T12:03:58
QB,00-0033119,Jacoby Brissett,ARI,26,2026-09-13T12:03:58
QB,00-0023459,Aaron Rodgers,PIT,27,2026-09-13T12:03:58
QB,00-0040676,Cam Ward,TEN,28,2026-09-13T12:03:58
QB,00-0030565,Geno Smith,NYJ,29,2026-09-13T12:03:58
QB,00-0029604,Kirk Cousins,LV,30,2026-09-13T12:03:58
QB,00-0033537,Deshaun Watson,CLE,31,2026-09-13T12:03:58
QB,00-0036212,Tua Tagovailoa,ATL,31,2026-09-12T19:03:45
QB,00-0033662,Cooper Rush,ATL,32,2026-09-13T12:03:58
QB,00-0040668,Shedeur Sanders,CLE,33,2026-09-13T12:03:58
QB,00-0039917,Michael Penix Jr.,ATL,34,2026-09-12T19:03:45
QB,00-0041562,Fernando Mendoza,LV,34,2026-09-13T12:03:58
QB,00-0039923,J.J. McCarthy,MIN,35,2026-09-13T12:03:58
QB,00-0036945,Justin Fields,KC,36,2026-09-14T19:04:05
QB,00-0031503,Jameis Winston,NYG,37,2026-09-13T12:03:58
QB,00-0041568,Ty Simpson,LA,37,2026-09-10T20:50:52
QB,00-0026158,Joe Flacco,CIN,38,2026-09-13T12:03:58
QB,00-0036972,Mac Jones,SF,38,2026-09-10T20:50:52
QB,00-0032268,Marcus Mariota,WAS,39,2026-09-13T12:03:58
QB,00-0037012,Trey Lance,LAC,40,2026-09-13T12:03:58
QB,00-0041194,Jack Strand,ATL,41,2026-09-13T12:03:58
QB,00-0028118,Tyrod Taylor,GB,42,2026-09-13T12:03:58
QB,00-0035993,Tyler Huntley,BAL,43,2026-09-13T12:03:58
QB,00-0039398,Joe Milton III,DAL,43,2026-09-05T20:19:31
QB,00-0036898,Davis Mills,HOU,44,2026-09-13T12:03:58
QB,00-0039164,Anthony Richardson,IND,45,2026-09-13T12:03:58
QB,00-0032950,Carson Wentz,MIN,47,2026-09-13T12:03:58
QB,00-0038416,Tyson Bagent,CHI,48,2026-09-13T12:03:58
QB,00-0035289,Gardner Minshew,ARI,49,2026-09-13T12:03:58
QB,00-0035264,Jarrett Stidham,DEN,50,2026-09-14T19:04:05
QB,00-0039376,Spencer Rattler,NO,51,2026-09-13T12:03:58
QB,00-0041056,Cade Klubnik,NYJ,52,2026-09-13T12:03:58
QB,00-0034771,Mason Rudolph,PIT,53,2026-09-13T12:03:58
QB,00-0038476,Tommy DeVito,NE,54,2026-09-09T22:42:37
QB,00-0040234,Quinn Ewers,JAX,54,2026-09-13T12:03:58
QB,00-0041561,Carson Beck,ARI,55,2026-09-13T12:03:58
QB,00-0033949,Joshua Dobbs,DET,56,2026-09-13T12:03:58
QB,00-0038102,Kenny Pickett,CAR,57,2026-09-13T12:03:58
QB,00-0037077,Sam Howell,DAL,58,2026-09-13T12:03:58
QB,00-0040206,Riley Leonard,IND,59,2026-09-13T12:03:58
QB,00-0034577,Kyle Allen,BUF,60,2026-09-13T12:03:58
QB,00-0033869,Mitchell Trubisky,TEN,61,2026-09-13T12:03:58
QB,00-0038400,Tanner McKee,PHI,63,2026-09-13T12:03:58
QB,00-0040673,Jalen Milroe,SEA,64,2026-09-09T22:42:37
QB,00-0041251,Jalon Daniels,TB,64,2026-09-13T12:03:58
QB,00-0040014,Kyle McCord,MIA,65,2026-09-13T12:03:58
QB,00-0035704,Drew Lock,SEA,66,2026-09-09T22:42:37
QB,00-0041092,Taylen Green,CLE,66,2026-09-13T12:03:58
QB,00-0027973,Andy Dalton,PHI,69,2026-09-13T12:03:58
QB,00-0040203,Will Howard,PIT,72,2026-09-13T12:03:58
QB,00-0039107,Stetson Bennett,LA,73,2026-09-10T20:50:52
QB,00-0041149,Haynes King,CAR,73,2026-09-13T12:03:58
QB,00-0037013,Zach Wilson,NO,75,2026-09-13T12:03:58
QB,00-0040398,Brady Cook,MIA,76,2026-09-13T12:03:58
QB,00-0028986,Case Keenum,CHI,78,2026-09-13T12:03:58
QB,00-0041565,Drew Allar,PIT,79,2026-09-13T12:03:58
QB,00-0040906,Garrett Nussmeier,KC,80,2026-09-14T19:04:05
QB,00-0041123,Behren Morton,NE,80,2026-09-09T22:42:37
QB,00-0038579,Aidan O'Connell,LV,81,2026-09-13T12:03:58
QB,00-0040981,Joe Fagnano,BAL,82,2026-09-13T12:03:58
QB,00-0036879,Sam Ehlinger,DEN,83,2026-09-14T19:04:05
QB,00-0040589,Kurtis Rourke,SF,84,2026-09-10T20:50:52
QB,00-0041117,Athan Kaliakmanis,WAS,85,2026-09-13T12:03:58
RB,00-0039139,Jahmyr Gibbs,DET,1,2026-09-13T12:03:58
RB,00-0038542,Bijan Robinson,ATL,2,2026-09-13T12:03:58
RB,00-0033280,Christian McCaffrey,SF,3,2026-09-10T20:50:52
RB,00-0036223,Jonathan Taylor,IND,4,2026-09-13T12:03:58
RB,00-0039040,De'Von Achane,MIA,5,2026-09-13T12:03:58
RB,00-0034844,Saquon Barkley,PHI,6,2026-09-13T12:03:58
RB,00-0038597,Chase Brown,CIN,7,2026-09-13T12:03:58
RB,00-0040666,Omarion Hampton,LAC,8,2026-09-13T12:03:58
RB,00-0032764,Derrick Henry,BAL,9,2026-09-13T12:03:58
RB,00-0036997,Javonte Williams,DAL,10,2026-09-13T12:03:58
RB,00-0037248,James Cook,BUF,11,2026-09-13T12:03:58
RB,00-0038134,Kenneth Walker III,KC,12,2026-09-14T19:04:05
RB,00-0040122,Ashton Jeanty,LV,13,2026-09-13T12:03:58
RB,00-0037840,Kyren Williams,LA,14,2026-09-10T20:50:52
RB,00-0038120,Breece Hall,NYJ,14,2026-09-13T12:03:58
RB,00-0036973,Travis Etienne,NO,16,2026-09-13T12:03:58
RB,00-0036275,D'Andre Swift,CHI,17,2026-09-13T12:03:58
RB,00-0039361,Bucky Irving,TB,19,2026-09-13T12:03:58
RB,00-0040715,Cam Skattebo,NYG,20,2026-09-13T12:03:58
RB,00-0035685,David Montgomery,HOU,21,2026-09-13T12:03:58
RB,00-0041027,Jeremiyah Love,ARI,22,2026-09-13T12:03:58
RB,00-0037228,Jaylen Warren,PIT,23,2026-09-13T12:03:58
RB,00-0040784,Quinshon Judkins,CLE,24,2026-09-13T12:03:58
RB,00-0036875,Rhamondre Stevenson,NE,26,2026-09-09T22:42:37
RB,00-0040719,Bhayshul Tuten,JAX,26,2026-09-13T12:03:58
RB,00-0035261,Tony Pollard,TEN,27,2026-09-13T12:03:58
RB,00-0036139,Rico Dowdle,PIT,28,2026-09-13T12:03:58
RB,00-0041512,Jadarian Price,SEA,28,2026-09-09T22:42:37
RB,00-0036555,Chuba Hubbard,CAR,29,2026-09-13T12:03:58
RB,00-0039811,MarShawn Lloyd,GB,30,2026-09-13T12:03:58
RB,00-0040734,TreVeyon Henderson,NE,30,2026-09-09T22:42:37
RB,00-0036919,Kenny Gainwell,TB,31,2026-09-13T12:03:58
RB,00-0036158,J.K. Dobbins,DEN,32,2026-09-14T19:04:05
RB,00-0033293,Aaron Jones,MIN,33,2026-09-13T12:03:58
RB,00-0037525,Jordan Mason,MIN,34,2026-09-13T12:03:58
RB,00-0040730,RJ Harvey,DEN,35,2026-09-14T19:04:05
RB,00-0039344,Jonathon Brooks,CAR,36,2026-09-13T12:03:58
RB,00-0037256,Rachaad White,WAS,37,2026-09-13T12:03:58
RB,00-0040242,Jacory Croskey-Merritt,WAS,39,2026-09-13T12:03:58
RB,00-0037263,Tyler Allgeier,ARI,40,2026-09-13T12:03:58
RB,00-0039738,Blake Corum,LA,40,2026-09-10T20:50:52
RB,00-0039032,Tyjae Spears,TEN,41,2026-09-13T12:03:58
RB,00-0040236,Kyle Monangai,CHI,42,2026-09-13T12:03:58
RB,00-0038611,Chris Rodriguez Jr.,JAX,43,2026-09-13T12:03:58
RB,00-0040583,Woody Marks,HOU,44,2026-09-13T12:03:58
RB,00-0040878,Mike Washington Jr.,LV,45,2026-09-13T12:03:58
RB,00-0040162,Dylan Sampson,CLE,46,2026-09-13T12:03:58
RB,00-0038454,Keaton Mitchell,LAC,47,2026-09-13T12:03:58
RB,00-0039794,Braelon Allen,NYJ,49,2026-09-13T12:03:58
RB,00-0037197,Isiah Pacheco,DET,50,2026-09-05T20:19:31
RB,00-0037746,Brian Robinson,ATL,50,2026-09-13T12:03:58
RB,00-0038555,Tank Bigsby,PHI,51,2026-09-13T12:03:58
RB,00-0034975,Justice Hill,BAL,52,2026-09-13T12:03:58
RB,00-0041013,Emmett Johnson,KC,53,2026-09-14T19:04:05
RB,00-0041496,Jonah Coleman,DEN,54,2026-09-14T19:04:05
