position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,pred_fp,lo_80_fp,hi_80_fp,lo_90_fp,hi_90_fp,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,p_start_recal_preoverride,p_boom_recal_preoverride,override_flag_type,override_confidence,override_reason,kickoff_et,run_ts,as_of,run_mode
QB,00-0039163,C.J. Stroud,HOU,IND,2026_03_HOU_IND,2026,3,NA,NA,20,25,2.8419787880978284,2.781786498478178,-10.514800549969918,16.078373546926272,-13.984981758231738,19.548554755188093,NA,NA,NA,NA,NA,0.366,0.1905,0.29417897491675554,0.1808273463115386,platt_vol_vegas,platt,0.29417897491675554,0.1808273463115386,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0039732,Bo Nix,DEN,LA,2026_03_LA_DEN,2026,3,NA,NA,20,25,2.970614679080875,1.742849254877029,-11.553737793571068,15.039436303325123,-15.023919001832889,18.509617511586946,NA,NA,NA,NA,NA,0.322,0.1535,0.27965973542447675,0.1447776504358488,platt_vol_vegas,platt,0.27965973542447675,0.1447776504358488,NA,NA,NA,2026-09-27 20:20:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0039917,Michael Penix Jr.,ATL,GB,2026_03_ATL_GB,2026,3,NA,NA,20,25,1.9166976089823884,-0.16022913215061124,-13.456816180598707,13.136357916297484,-16.926997388860528,16.606539124559305,NA,NA,NA,NA,NA,0.192,0.0745,0.2691509317020153,0.16893692401370447,platt_vol_vegas,platt,0.1691509317020153,0.06893692401370446,role_change_up,1,Michael Penix Jr. (knee) named starting quarterback for Week 3,2026-09-24 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0030565,Geno Smith,NYJ,DET,2026_03_NYJ_DET,2026,3,NA,NA,20,25,3.0764338488718983,0.10706102865421452,-13.18952601979388,13.40364807710231,-16.6597072280557,16.87382928536413,NA,NA,NA,NA,NA,0.258,0.1165,0.2601225012069159,0.1090407280950304,platt_vol_vegas,platt,0.2601225012069159,0.1090407280950304,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0033537,Deshaun Watson,CLE,CAR,2026_03_CAR_CLE,2026,3,NA,NA,20,25,4.7482736819290174,0.5800949158474277,-12.716492132600669,13.876681964295525,-16.186673340862487,17.346863172557345,NA,NA,NA,NA,NA,0.2895,0.1215,0.25915147321860416,0.11384975706899245,platt_vol_vegas,platt,0.25915147321860416,0.11384975706899245,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0026498,Matthew Stafford,LA,DEN,2026_03_LA_DEN,2026,3,NA,NA,20,25,1.0970701203605595,3.2628592798553435,-10.033727768592753,16.55944632830344,-13.503908976854571,20.02962753656526,NA,NA,NA,NA,NA,0.255,0.122,0.24712696460065417,0.11433102777429288,platt_vol_vegas,platt,0.24712696460065417,0.11433102777429288,NA,NA,NA,2026-09-27 20:20:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0039851,Drake Maye,NE,JAX,2026_03_NE_JAX,2026,3,NA,NA,20,25,4.370287989371777,3.374761065465517,-9.92182598298258,16.671348113913613,-13.3920071912444,20.141529322175433,NA,NA,NA,NA,NA,0.3725,0.1925,0.24376227184687843,0.09778399542420008,platt_vol_vegas,platt,0.32876227184687845,0.1827839954242001,role_change_down,0.85,Loss of A.J. Brown (ankle) for multiple games significantly reduces passing volume and touchdown opportunities for Maye.,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0036442,Joe Burrow,CIN,PIT,2026_03_CIN_PIT,2026,3,NA,NA,20,25,1.7755734803470848,1.7671881433059449,-11.529398905142152,15.06377519175404,-14.999580113403972,18.53395640001586,NA,NA,NA,NA,NA,0.2845,0.147,0.24302593623803032,0.1384754410790031,platt_vol_vegas,platt,0.24302593623803032,0.1384754410790031,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0034855,Baker Mayfield,TB,MIN,2026_03_MIN_TB,2026,3,NA,NA,20,25,3.1686384900453453,1.2855239115691826,-12.011063136878914,14.582110960017278,-15.481244345140734,18.0522921682791,NA,NA,NA,NA,NA,0.304,0.133,0.2408319450335492,0.12493541003113708,platt_vol_vegas,platt,0.2408319450335492,0.12493541003113708,NA,NA,NA,2026-09-27 16:05:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0039150,Bryce Young,CAR,CLE,2026_03_CAR_CLE,2026,3,NA,NA,20,25,2.0716995695401628,0.8256963912736565,-12.47089065717444,14.122283439721752,-15.94107186543626,17.592464647983572,NA,NA,NA,NA,NA,0.2635,0.1215,0.23101075203075735,0.11384975706899245,platt_vol_vegas,platt,0.23101075203075735,0.11384975706899245,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0033119,Jacoby Brissett,ARI,SF,2026_03_ARI_SF,2026,3,NA,NA,20,25,2.588556829299428,-0.10820137088571868,-13.404788419333814,13.188385677562378,-16.874969627595636,16.658566885824197,NA,NA,NA,NA,NA,0.2275,0.0925,0.22766246836869317,0.08605612114347229,platt_vol_vegas,platt,0.22766246836869317,0.08605612114347229,NA,NA,NA,2026-09-27 16:05:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0035710,Daniel Jones,IND,HOU,2026_03_HOU_IND,2026,3,NA,NA,20,25,2.6665655551562346,1.9413916095622512,-11.355195438885843,15.237978658010348,-14.825376647147666,18.70815986627217,NA,NA,NA,NA,NA,0.309,0.1395,0.22745349237356335,0.13121595977655293,platt_vol_vegas,platt,0.22745349237356335,0.13121595977655293,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0034869,Sam Darnold,SEA,WAS,2026_03_SEA_WAS,2026,3,NA,NA,20,25,1.5662714985125028,2.0224337058102932,-11.274153342637804,15.31902075425839,-14.744334550899625,18.78920196252021,NA,NA,NA,NA,NA,0.233,0.0905,0.22005300863317143,0.08414861782831284,platt_vol_vegas,platt,0.22005300863317143,0.08414861782831284,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0035228,Kyler Murray,MIN,TB,2026_03_MIN_TB,2026,3,NA,NA,20,25,2.4041130837860547,-0.8638397139455525,-14.160426762393648,12.432747334502544,-17.63060797065547,15.902928542764364,NA,NA,NA,NA,NA,0.1815,0.0675,0.1909185929270094,0.06231082792763581,platt_vol_vegas,platt,0.1909185929270094,0.06231082792763581,NA,NA,NA,2026-09-27 16:05:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0029604,Kirk Cousins,LV,NO,2026_03_LV_NO,2026,3,NA,NA,20,25,1.164680266596693,0.27026671307068484,-13.026320335377411,13.56685376151878,-16.49650154363923,17.037034969780603,NA,NA,NA,NA,NA,0.226,0.091,0.1815201215615751,0.08462537318270287,platt_vol_vegas,platt,0.1815201215615751,0.08462537318270287,NA,NA,NA,2026-09-27 16:25:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0038128,Malik Willis,MIA,KC,2026_03_KC_MIA,2026,3,NA,NA,20,25,3.4255818430690814,-3.947563643994699,-17.244150692442794,9.349023404453398,-20.714331900704614,12.819204612715218,NA,NA,NA,NA,NA,0.1485,0.044,0.17773288590257655,0.04021811088410216,platt_vol_vegas,platt,0.17773288590257655,0.04021811088410216,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0040691,Jaxson Dart,NYG,TEN,2026_03_TEN_NYG,2026,3,NA,NA,20,25,4.8481817789191375,1.4122090471330433,-11.884378001315053,14.70879609558114,-15.354559209576871,18.17897730384296,NA,NA,NA,NA,NA,0.3135,0.131,0.17335740633987207,0.03100504151162479,platt_vol_vegas,platt,0.2653574063398721,0.1230050415116248,role_change_down,0.92,"Dart injured (sprained MCL) and will miss time, with Jameis Winston taking over as starter, reducing Dart's opportunity.",2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0023459,Aaron Rodgers,PIT,CIN,2026_03_CIN_PIT,2026,3,NA,NA,20,25,1.1133873418194715,-0.8856028641397653,-14.18218991258786,12.410984184308331,-17.652371120849683,15.881165392570152,NA,NA,NA,NA,NA,0.205,0.0905,0.16092011188178246,0.08414861782831284,platt_vol_vegas,platt,0.16092011188178246,0.08414861782831284,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0039918,Caleb Williams,CHI,PHI,2026_03_PHI_CHI,2026,3,NA,NA,20,25,4.87747665801864,0.19426516048272544,-13.10232188796537,13.49085220893082,-16.57250309622719,16.961033417192642,NA,NA,NA,NA,NA,0.304,0.1395,0.16070963658312604,0.04621595977655292,platt_vol_vegas,platt,0.24570963658312603,0.13121595977655293,role_change_down,0.85,"Bagent's potential absence elevates Case Keenum to starter, but more importantly confirms Caleb Williams remains sidelined for multiple weeks, reducing his near-term opportunity.",2026-09-28 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0040676,Cam Ward,TEN,NYG,2026_03_TEN_NYG,2026,3,NA,NA,20,25,2.6641455225082065,-0.8855614016665108,-14.182148450114608,12.411025646781583,-17.652329658376427,15.881206855043406,NA,NA,NA,NA,NA,0.1915,0.073,0.1517536309287495,0.06751547910925741,platt_vol_vegas,platt,0.1517536309287495,0.06751547910925741,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0036825,Feleipe Franks,CAR,CLE,2026_03_CAR_CLE,2026,3,NA,NA,20,25,2.368927336057654,-5.9918129387719,-19.288399987219996,7.304774109676196,-22.758581195481817,10.774955317938016,NA,NA,NA,NA,NA,0.094,0.026,0.1459965605459928,0.02349724869982543,platt_vol_vegas,platt,0.1459965605459928,0.02349724869982543,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0039910,Jayden Daniels,WAS,SEA,2026_03_SEA_WAS,2026,3,NA,NA,20,25,5.687168408671858,-3.728928283240051,-17.025515331688148,9.567658765208044,-20.495696539949968,13.037839973469865,NA,NA,NA,NA,NA,0.2205,0.098,0.1060893897699736,0,platt_vol_vegas,platt,0.2010893897699736,0.0913082698362192,role_change_down,0.95,Starting QB change due to Daniels' elbow injury creates a significant opportunity shift away from the primary fantasy asset to a backup.,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0031503,Jameis Winston,NYG,TEN,2026_03_TEN_NYG,2026,3,NA,NA,20,25,2.632868255410564,-3.2612836790166115,-16.557870727464707,10.035303369431483,-20.028051935726527,13.505484577693306,NA,NA,NA,NA,NA,0.15,0.0505,0.1010893897699736,0,platt_vol_vegas,platt,0.15555941544386667,0.04630301747893421,role_change_up,0.85,"Dart's season-ending knee injury implies Winston will assume starting QB role for the Giants, significantly increasing his snap count and passing volume.",2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0032268,Marcus Mariota,WAS,SEA,2026_03_SEA_WAS,2026,3,NA,NA,20,25,2.5156240367436986,-4.864659305810038,-18.161246354258132,8.431927742638058,-21.631427562519953,11.902108950899878,NA,NA,NA,NA,NA,0.137,0.0405,0.1010893897699736,0,platt_vol_vegas,platt,0.12258651349952046,0.03695095393465202,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0032950,Carson Wentz,MIN,TB,2026_03_MIN_TB,2026,3,NA,NA,20,25,2.4920299252241223,2.2279511085954105,-11.068635939852683,15.524538157043509,-14.538817148114504,18.994719365305325,NA,NA,NA,NA,NA,0.267,0.1125,0.1010893897699736,0,platt_vol_vegas,platt,0.2318921841032431,0.10519840659003928,role_change_down,0.85,"Wentz faces potential benching if Kyler Murray returns from concussion, directly reducing his snap and passing opportunity.",2026-09-27 16:05:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0035704,Drew Lock,SEA,WAS,2026_03_SEA_WAS,2026,3,NA,NA,20,25,1.7593870021940343,3.96110690269855,-9.335480145749546,17.257693951146646,-12.805661354011368,20.727875159408462,NA,NA,NA,NA,NA,0.2995,0.1355,0.1010893897699736,0,platt_vol_vegas,platt,0.25300497926735566,0.12734977501495331,role_change_down,0.72,Darnold's potential Week 3 return implies Lock's starting opportunity is temporary and will diminish once Darnold is cleared.,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0038102,Kenny Pickett,CAR,CLE,2026_03_CAR_CLE,2026,3,NA,NA,20,25,1.1594193297520947,-4.542289574157047,-17.83887662260514,8.75429747429105,-21.30905783086696,12.22447868255287,NA,NA,NA,NA,NA,0.0885,0.024,0.1010893897699736,0,platt_vol_vegas,platt,0.1281858063562123,0.02165366372155467,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0038416,Tyson Bagent,CHI,PHI,2026_03_PHI_CHI,2026,3,NA,NA,20,25,1.6999954417752878,-4.9631473207990044,-18.2597343692471,8.333439727649091,-21.72991557750892,11.803620935910912,NA,NA,NA,NA,NA,0.0915,0.032,0.1010893897699736,0,platt_vol_vegas,platt,0.1055579841102528,0.02904689436666612,role_change_up,0.85,Starting QB going week-to-week likely means Bagent takes over snaps and passing volume.,2026-09-28 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0039107,Stetson Bennett,LA,DEN,2026_03_LA_DEN,2026,3,NA,NA,20,25,1.7639918020683465,-2.2626637880600207,-15.559250836508117,11.033923260388075,-19.029432044769937,14.504104468649896,NA,NA,NA,NA,NA,0.149,0.0525,0.1010893897699736,0,platt_vol_vegas,platt,0.2026994812213729,0.04817954745522567,role_change_up,0.85,"Bennett elevated to primary backup QB role over rookie Ty Simpson, increasing his opportunity in case of starter injury.",2026-09-27 20:20:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0041194,Jack Strand,ATL,GB,2026_03_ATL_GB,2026,3,NA,NA,20,25,2.2864701771500773,-4.857851627771827,-18.15443867621992,8.43873542067627,-21.624619884481746,11.90891662893809,NA,NA,NA,NA,NA,0.1205,0.037,0.1010893897699736,0,platt_vol_vegas,platt,0.13954748002522036,0.0336908668266799,NA,NA,NA,2026-09-24 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0026158,Joe Flacco,CIN,PIT,2026_03_CIN_PIT,2026,3,NA,NA,20,25,1.575456773100536,-3.3150513511827584,-16.611638399630856,9.981535697265338,-20.081819607892676,13.451716905527158,NA,NA,NA,NA,NA,0.142,0.04,0.1010893897699736,0,platt_vol_vegas,platt,0.1714026910287287,0.03648478341234495,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0027973,Andy Dalton,PHI,CHI,2026_03_PHI_CHI,2026,3,NA,NA,20,25,2.4496209513755285,-3.295583652318653,-16.59217070076675,10.001003396129445,-20.06235190902857,13.471184604391263,NA,NA,NA,NA,NA,0.164,0.055,0.1010893897699736,0,platt_vol_vegas,platt,0.19280753461563793,0.05052787522725091,NA,NA,NA,2026-09-28 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0028118,Tyrod Taylor,GB,ATL,2026_03_ATL_GB,2026,3,NA,NA,20,25,2.7808927141680044,0.5786567776954964,-12.7179302707526,13.875243826143592,-16.18811147901442,17.345425034405412,NA,NA,NA,NA,NA,0.272,0.118,0.1010893897699736,0,platt_vol_vegas,platt,0.2872946008270449,0.11048272938967953,NA,NA,NA,2026-09-24 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0028986,Case Keenum,CHI,PHI,2026_03_PHI_CHI,2026,3,NA,NA,20,25,2.3175711710318003,-4.086827195670462,-17.38341424411856,9.209759852777632,-20.85359545238038,12.679941061039454,NA,NA,NA,NA,NA,0.102,0.031,0.1010893897699736,0,platt_vol_vegas,platt,0.1172647894027928,0.02812011314917865,NA,NA,NA,2026-09-28 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0033869,Mitchell Trubisky,TEN,NYG,2026_03_TEN_NYG,2026,3,NA,NA,20,25,2.58549368409346,-2.914167927589596,-16.21075497603769,10.3824191208585,-19.68093618429951,13.85260032912032,NA,NA,NA,NA,NA,0.1255,0.0365,0.1010893897699736,0,platt_vol_vegas,platt,0.12253250957775108,0.03322574579039934,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0033949,Joshua Dobbs,DET,NYJ,2026_03_NYJ_DET,2026,3,NA,NA,20,25,2.3780409954795876,2.01848869945896,-11.278098348989136,15.315075747907056,-14.748279557250957,18.785256956168876,NA,NA,NA,NA,NA,0.243,0.1035,0.1010893897699736,0,platt_vol_vegas,platt,0.3314430309595476,0.09656968664145436,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0034577,Kyle Allen,BUF,LAC,2026_03_LAC_BUF,2026,3,NA,NA,20,25,2.3603208898734,1.091532486956463,-12.205054561491632,14.38811953540456,-15.675235769753453,17.85830074366638,NA,NA,NA,NA,NA,0.2675,0.111,0.1010893897699736,0,platt_vol_vegas,platt,0.3980834972270993,0.10375868220919378,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0035264,Jarrett Stidham,DEN,LA,2026_03_LA_DEN,2026,3,NA,NA,20,25,2.451515125310913,-3.1761673444834524,-16.47275439293155,10.120419703964645,-19.94293560119337,13.590600912226463,NA,NA,NA,NA,NA,0.1325,0.045,0.1010893897699736,0,platt_vol_vegas,platt,0.17644440713116666,0.04115282080697391,NA,NA,NA,2026-09-27 20:20:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0035289,Gardner Minshew,ARI,SF,2026_03_ARI_SF,2026,3,NA,NA,20,25,2.38670674283861,-2.453354277423536,-15.749941325871632,10.84323277102456,-19.220122534133452,14.31341397928638,NA,NA,NA,NA,NA,0.12,0.0395,0.1010893897699736,0,platt_vol_vegas,platt,0.16655645234330543,0.03601875841779032,NA,NA,NA,2026-09-27 16:05:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0035993,Tyler Huntley,BAL,DAL,2026_03_BAL_DAL,2026,3,NA,NA,20,25,2.359473646451113,3.7924653574559946,-9.5041216909921,17.08905240590409,-12.974302899253921,20.559233614165912,NA,NA,NA,NA,NA,0.331,0.1645,0.1010893897699736,0,platt_vol_vegas,platt,0.4283921587287872,0.1554646674957078,NA,NA,NA,2026-09-27 16:25:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0036212,Tua Tagovailoa,ATL,GB,2026_03_ATL_GB,2026,3,NA,NA,20,25,1.590128454188496,-0.2869580881249678,-13.583545136573065,13.009628960323129,-17.053726344834885,16.479810168584947,NA,NA,NA,NA,NA,0.19,0.0745,0.1010893897699736,0,platt_vol_vegas,platt,0.16383349281015042,0.06893692401370446,NA,NA,NA,2026-09-24 20:15:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0036879,Sam Ehlinger,DEN,LA,2026_03_LA_DEN,2026,3,NA,NA,20,25,2.3947606045524577,-2.09901329865888,-15.395600347106976,11.197573749789216,-18.8657815553688,14.667754958051036,NA,NA,NA,NA,NA,0.1555,0.0585,0.1010893897699736,0,platt_vol_vegas,platt,0.1889783521358234,0.05382033351241783,NA,NA,NA,2026-09-27 20:20:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0036898,Davis Mills,HOU,IND,2026_03_HOU_IND,2026,3,NA,NA,20,25,1.8947995998532852,-1.796066923755777,-15.092653972203872,11.50052012469232,-18.562835180465697,14.97070133295414,NA,NA,NA,NA,NA,0.1945,0.068,0.1010893897699736,0,platt_vol_vegas,platt,0.20007014606826767,0.06278349281304554,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0036945,Justin Fields,KC,MIA,2026_03_KC_MIA,2026,3,NA,NA,20,25,5.334027184088416,4.499552411465082,-8.797034636983014,17.796139459913178,-12.267215845244834,21.266320668175,NA,NA,NA,NA,NA,0.4415,0.2375,0.1010893897699736,0,platt_vol_vegas,platt,0.5441763345700115,0.22700553617350683,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0036972,Mac Jones,SF,ARI,2026_03_ARI_SF,2026,3,NA,NA,20,25,2.722974756215185,6.091382201499322,-7.2052048469487735,19.387969249947417,-10.675386055210597,22.85815045820924,NA,NA,NA,NA,NA,0.3875,0.2105,0.1010893897699736,0,platt_vol_vegas,platt,0.43714439539548783,0.20042835951572952,NA,NA,NA,2026-09-27 16:05:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0037012,Trey Lance,LAC,BUF,2026_03_LAC_BUF,2026,3,NA,NA,20,25,2.527631120591575,-3.7523818431014218,-17.048968891549517,9.544205205346676,-20.519150099811338,13.014386413608497,NA,NA,NA,NA,NA,0.144,0.048,0.1010893897699736,0,platt_vol_vegas,platt,0.22207800415557832,0.04396011078582612,NA,NA,NA,2026-09-27 13:00:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
QB,00-0037013,Zach Wilson,NO,LV,2026_03_LV_NO,2026,3,NA,NA,20,25,2.499376120531166,-0.5391219298073141,-13.83570897825541,12.757465118640782,-17.30589018651723,16.2276463269026,NA,NA,NA,NA,NA,0.1855,0.07,0.1010893897699736,0,platt_vol_vegas,platt,0.21655639644622815,0.06467513260725245,NA,NA,NA,2026-09-27 16:25:00,2026-09-22 23:42:39,2026-09-22 23:42:29,live
