position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,p_start_recal,pred_vol
RB,1,00-0038797,Emanuel Wilson,Emanuel Wilson,SEA,ARI,16,11,8,0.155975778661437,8.462341206922007
RB,2,00-0041326,CJ Donaldson,CJ Donaldson,NO,BAL,15,11,8,0.1532929686143374,7.654625731539837
RB,3,00-0041496,Jonah Coleman,Jonah Coleman,DEN,JAX,15,10,8,0.15014816235603343,8.40877609774414
RB,4,00-0034975,Justice Hill,Justice Hill,BAL,NO,11,4,10,0.1136787717182238,9.822758156829526
RB,5,00-0037557,Ronnie Rivers,Ronnie Rivers,LA,NYG,11,4,9,0.10984467132054904,9.253325197914648
RB,6,00-0038489,Ben VanSumeren,Ben VanSumeren,KC,IND,11,4,9,0.10563573091849654,9.059792564434082
RB,7,00-0041081,Max Bredeson,Max Bredeson,MIN,CHI,11,4,10,0.10563573091849654,9.659595168271704
RB,8,00-0040556,Corey Kiner,Corey Kiner,NE,PIT,11,4,10,0.10528367133896654,9.95631374202082
RB,9,00-0035125,Alec Ingold,Alec Ingold,LAC,LV,10,4,9,0.10493140230102012,9.450487072328482
RB,10,00-0038454,Keaton Mitchell,Keaton Mitchell,LAC,LV,10,3,10,0.10457892220815448,9.841712782808886
RB,11,00-0039686,Colson Yankoff,Colson Yankoff,WAS,DAL,10,4,9,0.10352019942856532,9.289093431179245
RB,12,00-0036187,Reggie Gilliam,Reggie Gilliam,NE,PIT,10,4,9,0.10316685887443117,9.43560610482103
RB,13,00-0039021,Roschon Johnson,Roschon Johnson,CHI,MIN,10,4,9,0.10316685887443117,9.39251499936398
RB,14,00-0041104,Demond Claiborne,Demond Claiborne,MIN,CHI,10,4,10,0.10245951834522278,9.91880713050406
RB,15,00-0036265,AJ Dillon,AJ Dillon,CAR,ATL,10,4,10,0.09533478081195387,9.723765788142266
RB,16,00-0033526,Samaje Perine,Samaje Perine,CIN,HOU,9,3,9,0.0949759439634924,9.489249938543438
RB,17,00-0038951,Sean Tucker,Sean Tucker,TB,CLE,9,4,10,0.0946168450445218,9.96400840198688
RB,18,00-0036727,Adam Prentice,Adam Prentice,DEN,JAX,9,4,9,0.09425748197346266,9.10662226593105
RB,19,00-0040142,Kaleb Johnson,Kaleb Johnson,GB,NYJ,9,3,9,0.0935379549453693,9.380681558308366
RB,20,00-0037085,Tyler Badie,Tyler Badie,DEN,JAX,9,3,9,0.09317778672083932,8.74100294952707
RB,21,00-0040078,Brashard Smith,Brashard Smith,KC,IND,9,2,9,0.09317778672083932,8.75807109186619
RB,22,00-0036842,Kene Nwangwu,Kene Nwangwu (O),NYJ,GB,9,3,9,0.08992373445033701,9.487632490231912
RB,23,00-0034959,Andrew Beck,Andrew Beck,NYJ,GB,9,3,9,0.08956073815149684,9.229663642281652
RB,24,00-0038738,Hunter Luepke,Hunter Luepke,DAL,WAS,9,2,8,0.089197446242403,7.7341822559489
RB,25,00-0041096,Kaytron Allen,Kaytron Allen,WAS,DAL,9,3,9,0.08701134922813912,8.736497770462607
RB,26,00-0038555,Tank Bigsby,Tank Bigsby,PHI,TEN,9,3,9,0.0862801722140056,8.594431754006669
RB,27,00-0035594,Travis Homer,Travis Homer,PIT,NE,9,3,10,0.08554772146900073,9.986262369028584
RB,28,00-0041490,Eli Heidenreich,Eli Heidenreich,PIT,NE,8,2,9,0.08371087946584485,9.402644591722687
RB,29,00-0033376,Patrick Ricard,Patrick Ricard,NYG,LA,8,3,9,0.08297379776869246,8.759330108130523
RB,30,00-0038705,Emari Demercado,Emari Demercado,DAL,WAS,8,3,8,0.08297379776869246,8.36245838689669
RB,31,00-0041436,DJ Herman,DJ Herman,MIA,SF,8,3,10,0.08223534142529339,9.595355669919162
RB,32,00-0040179,DJ Giddens,DJ Giddens (Q),IND,KC,8,2,9,0.07963956868568195,8.942881851687444
