position,player_id,player_name,posteam,defteam,kickoff_et,thresh_start,thresh_boom,p_start_recal,p_boom_recal,start_pct,boom_pct,fp_actual,dnp,hit_start,hit_boom,band_start
QB,00-0023459,Aaron Rodgers,PIT,NE,2026-09-20T13:00:00Z,20,25,0.14139470822704184,0.06846301605117991,14,7,3.9800000000000004,FALSE,FALSE,FALSE,10-25%
QB,00-0026158,Joe Flacco,CIN,HOU,2026-09-20T13:00:00Z,20,25,0.10632867766841309,0,11,2,0,TRUE,FALSE,FALSE,10-25%
QB,00-0026300,Josh Johnson,CIN,HOU,2026-09-20T13:00:00Z,20,25,0.10632867766841309,0,11,2,0,TRUE,FALSE,FALSE,10-25%
QB,00-0027973,Andy Dalton,PHI,TEN,2026-09-20T13:00:00Z,20,25,0.10632867766841309,0,11,2,0,TRUE,FALSE,FALSE,10-25%
QB,00-0028118,Tyrod Taylor,GB,NYJ,2026-09-20T13:00:00Z,20,25,0.10632867766841309,0,11,2,0,TRUE,FALSE,FALSE,10-25%
QB,00-0028986,Case Keenum,CHI,MIN,2026-09-20T13:00:00Z,20,25,0.10632867766841309,0,11,2,0,TRUE,FALSE,FALSE,10-25%
QB,00-0029604,Kirk Cousins,LV,LAC,2026-09-20T16:05:00Z,20,25,0.14143484409903062,0.05005797708831423,14,5,20.220000000000002,FALSE,TRUE,FALSE,10-25%
RB,00-0029892,Kyle Juszczyk,SF,MIA,2026-09-20T16:25:00Z,15,20,0.15977302231928242,0.064970114513749,16,6,10.7,FALSE,FALSE,FALSE,10-25%
WR,00-0030279,Keenan Allen,IND,KC,2026-09-20T20:20:00Z,15,20,0.2084896521418165,0.08568075117370892,21,9,1.5,FALSE,FALSE,FALSE,10-25%
TE,00-0030506,Travis Kelce,KC,IND,2026-09-20T20:20:00Z,12,17,0.3929001593454285,0.1963638947253478,39,20,25.1,FALSE,TRUE,TRUE,25-50%
QB,00-0030565,Geno Smith,NYJ,GB,2026-09-20T13:00:00Z,20,25,0.23086618746355103,0.1090407280950304,23,11,15.580000000000002,FALSE,FALSE,FALSE,10-25%
WR,00-0031408,Mike Evans,SF,MIA,2026-09-20T16:25:00Z,15,20,0.5545753969958127,0.3474254473161034,55,35,8.4,FALSE,FALSE,FALSE,50%+
WR,00-0031588,Stefon Diggs,WAS,DAL,2026-09-20T16:25:00Z,15,20,0.34860275568502613,0.1778975741239892,35,18,21.7,FALSE,TRUE,TRUE,25-50%
RB,00-0031595,Michael Burton,CLE,TB,2026-09-20T13:00:00Z,15,20,0.07439217864743863,0.02167380784111855,7,2,0,TRUE,FALSE,FALSE,under 10%
TE,00-0031610,Darren Waller,CAR,ATL,2026-09-20T13:00:00Z,12,17,0.18385591345717012,0.07251737163271205,18,7,18.3,FALSE,TRUE,TRUE,10-25%
RB,00-0032104,Ameer Abdullah,JAX,DEN,2026-09-20T16:05:00Z,15,20,0.0751466304784396,0.02508982531954969,8,3,2.3,FALSE,FALSE,FALSE,under 10%
