band_start,n,stated,hit_rate,delta_pp
under 10%,20,0.09328125086230263,0,-9.3
10-25%,80,0.18315241839669721,0.175,-0.8
25-50%,90,0.3585440797446241,0.4444444444444444,8.6
50%+,10,0.582969912861456,0.7,11.7
