nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,model_verdict,pred,p_boom,p_bust,games,cum_fp_ppr,fp_pg,cum_opps,opps_pg,snap_share_avg,fp_per_opp,last_week_active,latest_fp_ppr,latest_opportunities,latest_snap_share,model_p_start_latest,model_p_boom_latest,tracker_status,gsis_id,pfr_id,gsis_provisional
CJ Daniels,CJ Daniels,WR,Miami,6,197,LAR,Baseline,-0.07871907204389572,0.13818814418303324,0.17628114945350606,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041399,DaniCJ00,FALSE
Emmanuel Henderson Jr.,Emmanuel Henderson,WR,Kansas,6,199,SEA,Baseline,0.01420257519930601,0.1599333178617359,0.15306066163033033,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040895,HendEm00,FALSE
C.J. Williams,C.J. Williams,WR,Stanford,6,203,JAX,Baseline,-0.08219002187252045,0.13741694374640082,0.17718964245206617,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041106,WillCJ00,FALSE
Lewis Bond,Lewis Bond,WR,Boston College,6,204,HOU,Baseline,-0.04738281667232513,0.1452841968462151,0.16821298495407783,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041467,BondLe00,FALSE
Deion Burks,Deion Burks,WR,Oklahoma,7,254,IND,Baseline,-0.1404840350151062,0.12490303248958452,0.19288718578613545,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041132,BurkDe02,FALSE
Chris Hilton Jr.,Chris Hilton,WR,LSU,NA,NA,GB,Baseline,-0.0782085731625557,0.13830181891417304,0.17614777958635722,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041179,HiltCh00,FALSE
Dane Key,Dane Key,WR,Nebraska,NA,NA,DEN,Baseline,-0.02618718519806862,0.1502205793361941,0.16289263259578218,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041293,KeyxDa00,FALSE
Dillon Bell,Dillon Bell,WR,Georgia,NA,NA,MIN,Baseline,0.08111801743507385,0.17690873887005176,0.1376548150618059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041342,NA,FALSE
Eric Rivers Jr.,Eric Rivers,WR,Georgia Tech,NA,NA,TB,Baseline,0.10865484923124312,0.18421352074295003,0.1316334545468579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041257,RiveEr00,FALSE
Harrison Wallace III,Harrison Wallace,WR,Mississippi,NA,NA,ARI,Baseline,-0.05665511637926102,0.1431594181038866,0.17057519875695784,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041368,WallHa00,FALSE
J. Michael Sturdivant,J. Michael Sturdivant,WR,Florida,NA,NA,GB,Baseline,-0.07626695185899734,0.13873474928756094,0.17564110690931758,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040948,MichJ00,FALSE
Ja'Mori Maclin,Ja'Mori Maclin,WR,Kentucky,NA,NA,BUF,Baseline,-0.14840534329414368,0.12326607405231528,0.19508395561222225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041272,MaclJa00,FALSE
Jeff Caldwell,Jeff Caldwell,WR,Cincinnati,NA,NA,KC,Baseline,-0.07222559303045273,0.13963882337019945,0.17458946546971982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040953,CaldJe01,FALSE
Jordan Hudson,Jordan Hudson,WR,SMU,NA,NA,DAL,Baseline,0.07810282707214355,0.17612016098626407,0.13832537376631024,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040934,HudsJo00,FALSE
Malik McClain,Malik McClain,WR,Arizona State,NA,NA,NYJ,Baseline,-0.1813859790563583,0.11661234979080284,0.20439258759950252,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041267,McClMa00,FALSE
Michael Wortham,Michael Wortham,WR,Montana,NA,NA,JAX,Baseline,-0.0500500425696373,0.1446708306857662,0.16889032200458556,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041220,WortMi00,FALSE
Noah Thomas,Noah Thomas,WR,Georgia,NA,NA,CIN,Baseline,-0.01593541353940963,0.1526478313385149,0.16035901295534707,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041248,ThomNo01,FALSE
Omari Evans,Omari Evans,WR,Washington,NA,NA,KC,Baseline,-0.04912564530968666,0.14488321105266824,0.16865537490247912,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040954,EvanOm00,FALSE
Trebor Pena,Trebor Pena,WR,Penn State,NA,NA,JAX,Baseline,0.06484459340572357,0.17267912761112889,0.14130031322814407,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041216,PenaTr00,FALSE
Tyren Montgomery,Tyren Montgomery,WR,John Carroll,NA,NA,TEN,Baseline,-0.1325407773256302,0.12655971694657361,0.19069956831091303,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040919,MontTy02,FALSE
Vinny Anthony II,Vinny Anthony II,WR,Wisconsin,NA,NA,ATL,Baseline,0.09077470004558565,0.17944928696679008,0.1355221794986337,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041185,AnthVi01,FALSE
Will Pauling,Will Pauling,WR,Notre Dame,NA,NA,SF,Baseline,-0.08057045936584473,0.13777642325978737,0.17676536768106738,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041361,PaulWi00,FALSE
