position,tier,resid
QB,statue,1.046958453583043
QB,statue,-3.3051796154757778
QB,statue,-4.463739362054011
QB,statue,-1.0027866789990514
QB,statue,-0.7707533054319241
QB,statue,-1.1203271611652255
QB,statue,-0.35238879925487315
QB,statue,-0.2159835588134954
QB,statue,0.7442835801284969
QB,statue,-4.746108860993101
QB,statue,0.5936221485776766
QB,statue,3.1090241982365687
QB,statue,0.6935658877592354
QB,statue,5.131989005021936
QB,statue,3.446750646006167
QB,statue,4.479087939342585
QB,statue,-1.1762635338786478
QB,statue,3.325110768272428
QB,statue,5.280990042106481
QB,statue,0.6637190805647851
QB,statue,2.565824382584574
QB,statue,-0.684090715446143
QB,statue,-3.268338764741577
QB,statue,-6.109821508903772
QB,statue,1.0167525877657326
QB,statue,-3.0426895412955446
QB,statue,-4.890461051761062
QB,statue,5.4573388643953225
QB,statue,0.70196796195337
QB,statue,-1.9488666378200967
QB,statue,-3.4123047873153856
QB,statue,-1.0748031214678024
QB,statue,-9.031485302641675
QB,statue,-0.17159789850455867
QB,statue,-5.157182728457464
QB,statue,-5.1410100242429415
QB,statue,-0.7453126536286591
QB,statue,-5.499081338169274
QB,statue,0.8827928116809526
QB,statue,-3.1960508200463864
QB,statue,3.8348109966809543
QB,statue,-1.7295101810630609
QB,statue,3.1307095690323687
QB,statue,-5.024182491526322
QB,statue,-3.2138888953702356
QB,statue,-3.02120414135598
QB,statue,-1.7593055086003868
QB,statue,-4.853726141458558
QB,statue,-4.439908461363625
QB,statue,2.9635406999292826
QB,statue,5.822887879373707
QB,statue,-9.358892589273724
QB,statue,4.910496171682626
QB,statue,3.1548343749662133
QB,statue,3.8274447399803506
QB,statue,-1.8762773125537686
QB,statue,-2.348597282376215
QB,statue,-3.1673554491948233
QB,statue,5.593211514484653
QB,statue,1.7509779874277642
QB,statue,-2.68363617372114
QB,statue,-3.9244418895705673
QB,statue,-2.825910218712122
QB,statue,-4.323539319792153
QB,statue,1.6316033794709421
QB,statue,0.9703946291402223
QB,statue,5.911999866093267
QB,statue,-1.5483269916207973
QB,statue,-2.7027414414859927
QB,statue,4.309882198802174
QB,statue,-4.917203216737391
QB,statue,1.713074153197249
QB,statue,2.2370407054577863
QB,statue,-4.449833745756488
QB,statue,-1.7799307136264932
QB,statue,13.127172230342827
QB,statue,-2.9056672510584525
QB,statue,-4.957576418907988
QB,statue,-5.457989279603655
QB,statue,-4.7168777269061355
QB,statue,-5.9654520806439795
QB,statue,2.7529372442538453
QB,statue,-0.6292517905206262
QB,statue,9.430750086547587
QB,statue,-11.779749192789522
QB,statue,-3.473977601464638
QB,statue,-2.4819362359964683
QB,statue,-0.17330251038071456
QB,statue,2.0765599734014284
QB,statue,2.7376327047200757
QB,statue,-2.730820650523653
QB,statue,0.956274649004607
QB,statue,-1.2015749375670044
QB,statue,4.2666638073321534
QB,statue,3.880212708250873
QB,statue,-1.1450189761870917
QB,statue,-8.877499550579557
QB,statue,0.31539834343477585
QB,statue,-2.1821630920860104
QB,statue,-2.099723891144143
QB,statue,-4.266778539904405
QB,statue,-2.405458784884608
QB,statue,-1.3964564517810558
QB,statue,2.0221048993115174
QB,statue,5.158832839221648
QB,statue,1.4305291400531523
QB,statue,1.7035550764152374
QB,statue,-1.7849466445511593
QB,statue,-3.0347369929177064
QB,statue,-0.33726594513339503
QB,statue,-6.211371855553369
QB,statue,1.0788455521972253
QB,statue,1.2064752758510977
QB,statue,-4.8619941264182565
QB,statue,0.37053609205338267
QB,statue,3.7214554220647007
QB,statue,1.399677364857542
QB,statue,2.32223837172496
QB,statue,0.3615409591915107
QB,statue,2.651358262019034
QB,statue,8.42522210864769
QB,statue,-1.7131431123684575
QB,statue,2.4069382200330205
QB,statue,8.93128771424941
QB,statue,-2.0294368206908215
QB,statue,0.2539055797500688
QB,statue,2.271579882247555
QB,statue,0.4893546596541141
QB,statue,-2.554854876008973
QB,statue,1.1599189829591536
QB,statue,0.5180451241353013
QB,statue,2.6563756665841627
QB,statue,0.8105286671316443
QB,statue,-1.9079821932504293
QB,statue,1.0265222539728793
QB,statue,-0.1454710598868388
QB,statue,5.325529361223298
QB,statue,12.258369665887601
QB,statue,-0.9059597929640226
QB,statue,-7.646128012656987
QB,statue,2.4801053374177524
QB,statue,-6.848233503868139
QB,statue,5.364283020602182
QB,statue,8.261074465370582
QB,statue,-0.8369547114034065
QB,statue,-2.696897597512567
QB,statue,-1.1711805128534567
QB,statue,1.293357617037819
QB,statue,-3.66806347950237
QB,statue,-5.453488568917184
QB,statue,-5.133410526425052
QB,statue,0.20767555124187148
QB,statue,-1.7105368599168238
QB,statue,-1.6895353576859353
QB,statue,2.665731004648758
QB,statue,2.2657122936551914
QB,statue,-6.745559842748646
QB,statue,-5.508362286284894
QB,statue,-4.377801394611884
QB,statue,-1.6616337612697436
QB,statue,-1.3153610121680877
QB,statue,-4.436764460022344
QB,statue,1.3193107802166293
QB,statue,-0.7086420929899804
QB,statue,-2.2189801055433556
QB,statue,2.4884549439629504
QB,statue,-5.636189184711859
QB,statue,9.268135712449045
QB,statue,0.6370965104115535
QB,statue,0.9566608690570707
QB,statue,-0.17612307762043725
QB,statue,1.4313005203649432
QB,statue,-5.191727715788931
QB,statue,1.1604061115141
QB,statue,-5.655656407520466
QB,statue,0.9523701690588955
QB,statue,-2.061933835005968
QB,statue,1.6925955848462078
QB,statue,1.4075086269318466
QB,statue,-0.7348838332894055
QB,statue,0.26802575171786863
QB,statue,-5.986235154016086
QB,statue,4.4868230394297495
QB,statue,8.95583516047886
QB,statue,2.1554746092691133
QB,statue,1.5151269695218634
QB,statue,-0.7385813411533694
QB,statue,-8.18726340258805
QB,statue,-2.211742780138394
QB,statue,1.998961802837112
QB,statue,1.912264627045225
QB,statue,4.952221452629798
QB,statue,-8.315585298643754
QB,statue,-1.5198622312487307
QB,statue,11.985108273900208
QB,statue,4.91580144947139
QB,statue,2.8622502166053874
QB,statue,-1.0567983348857142
QB,statue,6.532532948030711
QB,statue,-7.750213170209571
QB,statue,0.12025218327479753
QB,statue,-3.4774756657988
QB,statue,-5.816520905099608
QB,statue,6.667990531253404
QB,statue,-0.7065509612069736
QB,statue,5.3870615977626795
QB,statue,-6.615694474502562
QB,statue,3.6500918559432924
QB,statue,1.1185635339920588
QB,statue,0.17391976621212665
QB,statue,-0.779109403749554
QB,statue,11.219274337117657
QB,statue,-2.379934450935185
QB,statue,11.29865143117085
QB,statue,-4.905910924929203
QB,statue,-9.63354726112438
QB,statue,4.454211534691675
QB,statue,-2.532577826850914
QB,statue,-1.0596713529308024
QB,statue,-3.419453240308782
QB,statue,5.179194212446164
QB,statue,2.013280011063412
QB,statue,4.938858792610853
QB,statue,-5.793496615194224
QB,statue,-3.242418297752479
QB,statue,-0.6518450985382613
QB,statue,-3.605328719321782
QB,statue,-1.6937981471296812
QB,statue,1.1393828090114444
QB,statue,-0.1104207642442219
QB,statue,0.8907790678598398
QB,statue,4.3134952075822035
QB,statue,1.1549122909080596
QB,statue,-4.652393658812097
QB,statue,4.034012525000524
QB,statue,6.105136800960286
QB,statue,8.296896012145956
QB,statue,-7.870543162178809
QB,statue,0.3121193625199716
QB,statue,-4.070733746990063
QB,statue,-3.485193808881162
QB,statue,0.7327107516462029
QB,statue,-0.36262537078947593
QB,statue,-0.4697674948918951
QB,statue,6.935626157047321
QB,statue,-1.2488715620422555
QB,statue,-2.167495857084127
QB,statue,-4.532205418422751
QB,statue,-3.486135890496626
QB,statue,-2.5644823144239917
QB,statue,1.2739790561304751
QB,statue,1.9947140659559799
QB,statue,-0.9146548783901692
QB,statue,2.777729514811028
QB,statue,-0.33822179158023674
QB,statue,12.761854989030917
QB,statue,2.956576172021711
QB,statue,3.291951810385222
QB,statue,-1.6590643966742622
QB,statue,3.870166105971173
