player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,baseline_target_share,baseline_air_yards_share,baseline_snap_share,baseline_team_total_plays
00-0030279,LAC,KC,2025_15_LAC_KC,0.22949439760938317,0.15446491892239675,0.19414226255419284,8.73914017019981,0.17293365768740235,0.17293365768740235,FALSE,r2_3,Keenan Allen,0.05656073992198082,66.83211124050146,0.5738562070575228,13,FALSE,-0.3913354211876738,0.22343600052102605,2025,15,NA,NA,NA,Full Participation in Practice,0.2265193370165746,0.3005390835579515,0.868,63.23529411764706
00-0031236,BUF,NE,2025_15_BUF_NE,1.1088680087242369,0.06171129441314819,0.13943817418383447,9.702570523828705,-0.20597715345494252,-0.20597715345494252,FALSE,r1,Brandin Cooks,1.3148451621791797,66.7692915681493,0.4257861475173624,13,FALSE,-0.1812408263544136,0.05735727351722176,2025,15,NA,NA,NA,NA,0.14754098360655737,0.2378986866791745,0.698,64.76470588235294
00-0031381,LA,DET,2025_15_DET_LA,0.3999390694937064,0.21142601094392932,0.338893977214515,11.116110686051623,0.1460001742183268,0.1460001742183268,FALSE,r2_3,Davante Adams,0.2539388952753796,59.9097156801448,0.65204533006618,13,FALSE,-0.25388119824167654,0.4204063425913383,2025,15,NA,NA,Questionable,Limited Participation in Practice,0.26542056074766357,0.3600614439324117,0.9178571428571428,64.47058823529412
00-0031408,TB,ATL,2025_15_ATL_TB,-0.19722912817499264,0.20756494473036813,0.32039973812206657,15.42901963184982,0.35023279406950764,0.35023279406950764,FALSE,r1,Mike Evans,-0.5474619222445003,70.38511512839136,0.5938881261522772,13,FALSE,-0.1936012763488891,0.6263519902450693,2025,15,NA,NA,Questionable,Limited Participation in Practice,0.22,0.3852434230420321,0.7157142857142857,68.29411764705883
00-0031588,NE,BUF,2025_15_BUF_NE,0.536203173995108,0.16953449547488672,0.15344480605272054,8.750876972447516,0.2825167033980258,0.2825167033980258,FALSE,r4_5,Stefon Diggs,0.25368647059708216,65.37955377742125,0.5560171289609879,13,FALSE,-0.5767658452541872,0.2549639687777063,2025,15,NA,NA,NA,NA,0.21122112211221122,0.270823185582075,0.7837500000000001,65.88235294117646
00-0031610,MIA,PIT,2025_15_MIA_PIT,0.7811958144126745,0.12268451510125912,0.2540470576462685,11.847521098024147,NA,0.20495743879264655,TRUE,r6_udfa,Darren Waller,0.576238375620028,59.99448078047664,0.45296660998582694,13,FALSE,-0.4541050759839692,0.988988586674168,2025,15,NA,NA,NA,Full Participation in Practice,0.08661276107319274,0.12607714723920024,0.29533333333333334,68.29411764705883
00-0032211,LV,PHI,2025_15_LV_PHI,0.9379872994283098,0.09257546428319396,0.17425870078355657,8.393883525087592,0.16626606225787213,0.16626606225787213,FALSE,r2_3,Tyler Lockett,0.7717212371704377,59.222695030680114,0.5870851442833526,13,FALSE,-0.668127867618355,-0.03013956025034157,2025,15,NA,NA,NA,NA,0.11384615384615385,0.19032571706368498,0.6905882352941176,66.58823529411765
00-0033307,SF,TEN,2025_15_TEN_SF,0.45447402098416817,0.05849321552048804,0.12269683325971172,16.323739722033565,0.21390532533519035,0.21390532533519035,FALSE,udfa,Kendrick Bourne,0.2405686956489778,64.31308889229686,0.3744156452599594,13,FALSE,-0.3010105083474299,0.7221623395824538,2025,15,NA,NA,NA,NA,0.08775981524249422,0.11861559139784947,0.5833333333333334,64.29411764705883
00-0033555,NE,BUF,2025_15_BUF_NE,0.18678631016835756,0.1575435687427566,0.24401722155917904,13.65269756418445,0.488811453544609,0.488811453544609,FALSE,r4_5,Mack Hollins,-0.3020251433762514,65.37955377742125,0.7844262455319599,13,FALSE,-0.5767658452541872,0.2549639687777063,2025,15,NA,NA,NA,NA,0.1,0.16136250621581302,0.6664705882352941,65.88235294117646
00-0033908,SEA,IND,2025_15_IND_SEA,0.5793340474336475,0.13269874937336484,0.1545802736788838,8.572397113201419,0.03868146633528411,0.03868146633528411,FALSE,r2_3,Cooper Kupp,0.5406525810983633,64.97150734519643,0.7189794246866684,13,FALSE,-0.09573753664537088,0.2676543578424101,2025,15,NA,NA,NA,Limited Participation in Practice,0.24154589371980675,0.2618307426597582,0.815,66.41176470588235
