arm,component,stratum,n,empirical,delta,sharpness
A_shipped,combined,pooled,17223,0.7922545433432039,-0.007745456656796157,10.309476491349145
A_shipped,combined,low_usage,7812,0.7956989247311828,-0.004301075268817289,8.293837655269634
A_shipped,volume,pooled,17223,0.7654880102188933,-0.0345119897811067,6.237216203033284
B_injury,combined,pooled,17223,0.7912674911455612,-0.00873250885443888,10.307018926818019
B_injury,combined,low_usage,7812,0.7944188428059396,-0.005581157194060493,8.258626598942143
B_injury,volume,pooled,17223,0.7662428148406201,-0.03375718515937998,6.253440321671365
