position,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi
RB,329,24,spearman,0.2530987553678216,0.1673266773914096,-0.08577207797641201,-0.1963531193296941,0.02441195523599947
RB,329,24,concordance,0.5803571428571429,0.5600446428571428,-0.020312500000000067,-0.06033208743611313,0.01908444497983828
WR,309,23,spearman,0.14162520011896412,0.13876686544171096,-0.0028583346772531604,-0.18139630936756057,0.17095638282329226
WR,309,23,concordance,0.5416666666666666,0.540948275862069,-7.183908045976795e-4,-0.05593303909276513,0.054311411013292364
TE,118,18,spearman,0.050709629072237666,0.0776244083218866,0.02691477924964894,-0.425066422121785,0.4282708588813234
TE,118,18,concordance,0.5,0.5186666666666667,0.01866666666666672,-0.12867309783893702,0.15669934640522876
