arm,component,stratum,n,empirical,delta,sharpness
A_shipped,combined,pooled,11621,0.7968333189914809,-0.0031666810085191344,9.241717091624928
A_shipped,combined,low_usage,3049,0.7923909478517547,-0.0076090521482453655,6.231437021589076
A_shipped,volume,pooled,11621,0.7997590568797865,-2.4094312021349928e-4,13.637055857020785
B_injury,combined,pooled,11621,0.7964891145340333,-0.0035108854659667843,9.229679600528401
B_injury,combined,low_usage,3049,0.7923909478517547,-0.0076090521482453655,6.233474305681524
B_injury,volume,pooled,11621,0.7989845968505292,-0.001015403149470795,13.50877390974544
