player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_carry_share,baseline_target_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share
00-0032764,BAL,CIN,2025_13_CIN_BAL,-0.010192352751614505,0.8127298807043905,0.5552014641520372,0.14295802373583305,0.14295802373583305,FALSE,r2_3,0.818639798488665,0.2716049382716049,Derrick Henry,-0.15315037648744756,62.696488428176835,66.05882352941177,0.5929084011790065,0.5741176470588235,11,FALSE,-0.024262547399472152,0.32831383876749126,-0.2002711615651018,2025,13,6.5,29.5,NA,NA,0,3,0,0,0,0,0
00-0033280,SF,CLE,2025_13_SF_CLE,0.08051610877496582,0.7487846175467918,0.7421369036659212,-0.12570005609035978,-0.12570005609035978,FALSE,r1,0.6666666666666666,0.76,Christian McCaffrey,0.2062161648653256,61.30534850290117,64.29411764705883,0.8160216791572362,0.7224999999999999,11,FALSE,-0.16995530215032778,0.28358396264292823,0.12893036963031834,2025,13,5.5,23.5,NA,Full Participation in Practice,0,2,0,0,0,0,0
00-0033293,MIN,SEA,2025_13_MIN_SEA,-0.02844207589703566,0.5867293424093593,0.8566480333321536,-0.032014122133263,-0.032014122133263,FALSE,r4_5,0.6710526315789473,0.7209302325581395,Aaron Jones,0.003572046236227335,56.30441655529921,66.41176470588235,0.6139922410727677,0.6323529411764706,11,FALSE,-0.29959830580153196,-0.05966492402232624,-0.15946055992057653,2025,13,-7.5,17.5,NA,NA,0,3,0,0,0,0,0
00-0033526,CIN,BAL,2025_13_CIN_BAL,0.18392468117079278,0.30788531395898333,0.168246371218492,0.25584101782139845,0.25584101782139845,FALSE,r4_5,0.055710306406685235,0.3723404255319149,Samaje Perine,-0.07191633665060568,67.12125093321154,68.17647058823529,0.3133677519165595,0.25823529411764706,11,FALSE,-0.23404293157456332,0.27414211845666553,0.10093259611244351,2025,13,-6.5,23,NA,Full Participation in Practice,0,2,4,1,0,0,0
00-0033923,KC,DAL,2025_13_KC_DAL,0.20959169525850244,0.6669906702592279,0.4617494212543598,0.02226551939035413,0.02226551939035413,FALSE,r2_3,0.704225352112676,0.43243243243243246,Kareem Hunt,0.18732617586814831,77.36573971866305,67.23529411764706,0.6064909223584847,0.5169230769230769,11,FALSE,-0.03723356480733025,-0.14186589967104815,0.11396303924062748,2025,13,3.5,27.5,NA,NA,0,3,0,0,0,0,0
00-0033955,WAS,DEN,2025_13_DEN_WAS,-0.24855811253022453,0.1268311567648536,0.5634414602807591,0.1133111566007614,0.1133111566007614,FALSE,r4_5,0.18181818181818182,0.1935483870967742,Jeremy McNichols,-0.36186926913098594,63.69808099686374,68.88235294117646,0.31098966768400066,0.21411764705882352,11,FALSE,-0.04809994692788932,-0.6361035237740228,-0.8804540795886382,2025,13,-6.5,18.5,NA,NA,0,3,1,1,0,0,0.6556242117567173
00-0034791,HOU,IND,2025_13_HOU_IND,-0.09479537507279298,0.3192560714732841,0.3383376664523179,-0.32647730509987155,-0.32647730509987155,FALSE,r2_3,0.6666666666666666,0.34375,Nick Chubb,0.23168193002707857,71.83927190118996,66.47058823529412,0.2657834342521921,0.4125,11,FALSE,-0.13666961064690838,-0.28018362999943974,0.04115152733086974,2025,13,-3.5,21,NA,NA,0,3,0,0,0,0,0
00-0034844,PHI,CHI,2025_13_CHI_PHI,-0.16445420334057193,0.8140674415077626,0.8282373944115724,0.12649916024394653,0.12649916024394653,FALSE,r1,0.8,0.6935483870967742,Saquon Barkley,-0.29095336358451845,66.15643406175796,68.58823529411765,0.7533098970138915,0.734375,11,FALSE,0.0046109357382044325,-0.21076474450956123,-0.23137314468153766,2025,13,6.5,25.5,NA,Full Participation in Practice,0,2,0,0,0,0,0
00-0035250,NYG,NE,2025_13_NYG_NE,0.01443364336802512,0.4073166663408405,0.24138538308439264,-0.16340408221488797,-0.16340408221488797,FALSE,r2_3,0.40794223826714804,0.3116883116883117,Devin Singletary,0.1778377255829131,70.76015915575323,67.6470588235294,0.37133266821822747,0.3893333333333333,12,FALSE,-0.0672771496386592,-0.9132293896749331,-0.20685008816728614,2025,13,-7.5,19,NA,NA,0,3,0,0,0,0,0
00-0035261,TEN,JAX,2025_13_JAX_TEN,-0.26783450479716336,0.623258524006947,0.4493851336662279,-0.1277225276941634,-0.1277225276941634,FALSE,r4_5,0.7565217391304347,0.6333333333333333,Tony Pollard,-0.14011197710299997,63.89947436807043,66.3529411764706,0.5270114311041304,0.678125,11,FALSE,-0.04638094049189323,0.08079431225386023,0,2025,13,-7.5,17.5,NA,Full Participation in Practice,0,2,0,0,0,0,0
00-0035537,BUF,PIT,2025_13_BUF_PIT,1.041594837683297,0.08305588144429267,0.3456469240847237,0.36469427882072125,0.36469427882072125,FALSE,r6_udfa,0.11263736263736264,0.3048780487804878,Ty Johnson,0.6769005588625758,64.44453900613601,64.76470588235294,0.3238032899604133,0.2876470588235294,11,FALSE,-0.15600987099739905,0.21321507156304403,0,2025,13,3.5,25.5,NA,NA,0,3,0,0,0,0,0
00-0035685,DET,GB,2025_13_GB_DET,-0.10048116121153028,0.3932865505748695,0.2833595658433326,0.03163606507982413,0.03163606507982413,FALSE,r2_3,0.47692307692307695,0.4318181818181818,David Montgomery,-0.13211722629135442,66.64276409254761,67.70588235294117,0.4111220952474043,0.4185714285714286,11,FALSE,-0.08743169440276641,0.27975825234849555,0,2025,13,-2.5,23,NA,NA,0,3,0,0,0,0,0
00-0035700,GB,DET,2025_13_GB_DET,0.084676242809953,0.6481150264925768,0.5124510997685231,-0.0489782974399718,-0.0489782974399718,FALSE,r1,0.6763392857142857,0.5972222222222222,Josh Jacobs,0.1336545402499248,64.03582689705266,65.58823529411765,0.5070980533586347,0.6341176470588236,11,FALSE,-0.05700686043899869,0.04620787892974299,-0.47362541545887094,2025,13,2.5,25.5,NA,Limited Participation in Practice,0,1,1,1,0,0,0
00-0036139,CAR,LA,2025_13_LA_CAR,0.03334017784070092,0.7131045892701557,0.565564114793025,-0.021800677235589736,-0.021800677235589736,FALSE,udfa,0.7142857142857143,0.5882352941176471,Rico Dowdle,0.05514085507629066,59.78078334156301,63,0.6870101334555707,0.575,11,FALSE,-0.24174981819136424,-0.1641714866016819,0,2025,13,-7.5,18.5,NA,NA,0,3,0,0,0,0,0
00-0036223,IND,HOU,2025_13_HOU_IND,0.2503928023236577,0.9230292343384943,0.6794747669147929,-0.10311247729562213,-0.10311247729562213,FALSE,r2_3,0.9242424242424242,0.62,Jonathan Taylor,0.3535052796192798,64.25173033851775,65,0.85180056321318,0.8028571428571428,11,FALSE,-0.22525789094939838,-0.11388844051879844,1.2935645282995143,2025,13,3.5,24.5,NA,NA,0,3,0,0,0,0,0
00-0036275,CHI,PHI,2025_13_CHI_PHI,-0.17085291506097924,0.5582848562097982,0.7581904468723393,-0.11786437428925181,-0.11786437428925181,FALSE,r2_3,0.7737003058103975,0.6625,D'Andre Swift,-0.05298854077172743,70.99176751530635,68.41176470588235,0.5299137316496483,0.668235294117647,11,FALSE,-0.1946942450308179,0.15510876593398926,0.22651802888711842,2025,13,-6.5,19,NA,NA,0,3,0,0,0,0,0
00-0036555,CAR,LA,2025_13_LA_CAR,-0.2639591700893602,0.2538865457116968,0.43443588520697496,-0.03768576544539636,-0.03768576544539636,FALSE,r4_5,0.814935064935065,0.6506024096385542,Chuba Hubbard,-0.22627340464396384,59.78078334156301,63,0.29549340137281105,0.7733333333333333,11,FALSE,-0.24174981819136424,-0.1641714866016819,0,2025,13,-7.5,18.5,NA,NA,0,3,0,0,0,0,0
