position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol
RB,101,00-0040556,Corey Kiner,Corey Kiner,NE,SEA,10,4,11,NA,0.10457892220815448,0.03855176383007634,10.658463690115852
RB,102,00-0037263,Tyler Allgeier,Tyler Allgeier,ARI,LAC,10,3,11,NA,0.10245951834522278,0.03467099165438612,11.477930005999117
RB,103,00-0041096,Kaytron Allen,Kaytron Allen,WAS,PHI,10,4,11,NA,0.10245951834522278,0.03554320271808887,10.566408698611994
RB,104,00-0029892,Kyle Juszczyk,Kyle Juszczyk,SF,LA,10,3,10,NA,0.10104215199857064,0.02975863018024345,10.118202047424097
RB,105,00-0040238,LeQuint Allen Jr.,LeQuint Allen Jr.,JAX,CLE,10,3,10,NA,0.09533478081195387,0.03156901681037977,10.103022494675368
RB,106,00-0037594,Julius Chestnut,Julius Chestnut,TEN,NYJ,9,3,10,NA,0.0949759439634924,0.03021400869961866,10.266606785360963
RB,107,00-0038685,Chris Brooks,Chris Brooks,GB,MIN,9,3,10,NA,0.0949759439634924,0.03379274900493337,10.148063955826768
RB,108,00-0039407,Dylan Laube,Dylan Laube,LV,MIA,9,3,10,NA,0.0949759439634924,0.03335128616239499,10.386260446289908
RB,109,00-0040198,Ollie Gordon II,Ollie Gordon II,MIA,LV,9,3,11,NA,0.0949759439634924,0.02975863018024345,10.66991362780905
RB,110,00-0041436,DJ Herman,DJ Herman,MIA,LV,9,4,10,NA,0.09389785264811978,0.03510783576119125,10.10136795574311
RB,111,00-0037085,Tyler Badie,Tyler Badie,DEN,KC,9,3,10,NA,0.0935379549453693,0.0320171200914087,10.1936081898997
RB,112,00-0039299,George Holani,George Holani,SEA,NE,9,4,10,NA,0.09173436495539045,0.03640962189892723,10.42136728006359
RB,113,00-0036187,Reggie Gilliam,Reggie Gilliam,NE,SEA,9,3,10,NA,0.08846996586045586,0.03021400869961866,10.227892131938088
TE,1,00-0039065,Sam LaPorta,Sam LaPorta,DET,NO,47,33,7,NA,0.472593299997528,0.3347447755613582,6.62048420742624
TE,2,00-0037744,Trey McBride,Trey McBride,ARI,LAC,44,25,8,NA,0.44284538629706094,0.24769337941848033,7.520139390290527
TE,3,00-0038129,Cade Otton,Cade Otton,TB,CIN,38,14,6,NA,0.37626387380049986,0.1430439067050683,6.311471411042866
TE,4,00-0033288,George Kittle,George Kittle,SF,LA,36,19,6,NA,0.3563023827184526,0.191481377467852,6.254046211161912
TE,5,00-0039338,Brock Bowers,Brock Bowers,LV,MIA,35,14,6,NA,0.34651506592840936,0.14468067223649947,6.377080600997608
TE,6,00-0038933,Dalton Kincaid,Dalton Kincaid,BUF,HOU,34,15,6,NA,0.34336055179627883,0.15013476517328692,6.138665700373812
TE,7,00-0031610,Darren Waller,Darren Waller,CAR,CHI,34,14,6,NA,0.33943523287570787,0.14413511067784865,6.128817826161028
TE,8,00-0040126,Colston Loveland,Colston Loveland,CHI,CAR,34,16,6,NA,0.33681716956491414,0.1610341484539604,5.8617552058366496
TE,9,00-0040128,Tyler Warren,Tyler Warren,IND,BAL,34,14,6,NA,0.33678585655536586,0.14249826463702156,6.119621918300318
TE,10,00-0038041,Jake Ferguson,Jake Ferguson,DAL,NYG,32,12,6,NA,0.32229786123028537,0.1179198426131303,5.69716861729956
TE,11,00-0036970,Kyle Pitts,Kyle Pitts,ATL,PIT,32,15,6,NA,0.32123689327410304,0.15340584748518923,6.363155795890256
TE,12,00-0030506,Travis Kelce,Travis Kelce,KC,DEN,32,14,6,NA,0.31730669300303305,0.13758631541652147,6.022181849585284
TE,13,00-0034753,Mark Andrews,Mark Andrews,BAL,IND,31,13,6,NA,0.3124474427036737,0.1348565761407613,5.585258395874917
TE,14,00-0039847,Theo Johnson,Theo Johnson,NYG,DAL,31,13,6,NA,0.30907082286718074,0.13267235320501825,5.812674629761358
TE,15,00-0034351,Dallas Goedert,Dallas Goedert,PHI,WAS,31,16,6,NA,0.3067394314979435,0.16157879297761965,5.712427005285408
TE,16,00-0036040,Juwan Johnson,Juwan Johnson,NO,DET,30,9,6,NA,0.29778530061469205,0.09330736429769024,5.963887737981196
TE,17,00-0040663,Harold Fannin Jr.,Harold Fannin Jr.,CLE,JAX,30,14,7,NA,0.29733966986408794,0.13758631541652147,6.550615014948371
TE,18,00-0038935,Brenton Strange,Brenton Strange,JAX,CLE,29,17,6,NA,0.28878809462733224,0.17083274456983044,5.741307279052834
TE,19,00-0040189,Oronde Gadsden II,Oronde Gadsden II,LAC,ARI,29,14,5,NA,0.28870438105410146,0.13540257258412222,5.300711627964029
TE,20,00-0033090,Hunter Henry,Hunter Henry,NE,SEA,29,13,6,NA,0.2878213434549809,0.13376451171525858,5.941405541797573
TE,21,00-0034383,Dalton Schultz,Dalton Schultz,HOU,BUF,28,12,6,NA,0.2827322693111151,0.121745953015763,5.767093229890327
TE,22,00-0034829,Mike Gesicki,Mike Gesicki,CIN,TB,27,9,5,NA,0.26669142591763395,0.08947733785259043,5.0466807433932175
TE,23,00-0038996,Tucker Kraft,Tucker Kraft,GB,MIN,26,12,5,NA,0.2643074925508416,0.11846648324138728,5.4621102453494155
TE,24,00-0033885,David Njoku,David Njoku,LAC,ARI,26,11,5,NA,0.2593784911089859,0.10588986136857516,5.037283126699334
TE,25,00-0035229,T.J. Hockenson,T.J. Hockenson,MIN,GB,25,10,5,NA,0.25341162837498243,0.1020608579316334,5.231221763246214
TE,26,00-0039793,AJ Barner,AJ Barner,SEA,NE,24,9,5,NA,0.24255625689540916,0.08947733785259043,5.195552983865845
TE,27,00-0041510,Max Klare,Max Klare,LA,SF,24,7,5,NA,0.24062005011401252,0.07415831568147607,4.926816286781288
TE,28,00-0033110,Tyler Higbee,Tyler Higbee,LA,SF,23,6,5,NA,0.23281529920902708,0.0637682412873649,4.853644826767723
TE,29,00-0040737,Terrance Ferguson,Terrance Ferguson,LA,SF,23,7,5,NA,0.23277270882297155,0.07087655549962064,4.853187649097378
TE,30,00-0036244,Colby Parkinson,Colby Parkinson,LA,SF,23,7,5,NA,0.23160047246985568,0.07251737163271205,4.84328044177356
TE,31,00-0041558,Sam Roush,Sam Roush,CHI,CAR,23,8,5,NA,0.23012309991407676,0.07525234172431017,4.914999848403477
TE,32,00-0040736,Mason Taylor,Mason Taylor,NYJ,TEN,22,10,5,NA,0.22219194348577664,0.09549588065908256,5.489791478003568
TE,33,00-0037838,Isaiah Likely,Isaiah Likely,NYG,DAL,22,8,5,NA,0.22200062758562736,0.07798759619888458,4.986967623470895
TE,34,00-0033881,Evan Engram,Evan Engram,DEN,KC,22,9,5,NA,0.2216733645597754,0.08783587713568977,5.4049848618554925
TE,35,00-0040390,Jackson Meeks,Jackson Meeks,DET,NO,22,8,5,NA,0.21962009316513456,0.07853467528005519,4.545303883374931
TE,36,00-0036754,Brock Wright,Brock Wright,DET,NO,22,8,5,NA,0.21943573539289005,0.07908176254510006,4.545617623405045
