position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,kickoff_et,run_ts,as_of,run_mode
QB,00-0040676,Cam Ward,TEN,CLE,2025_14_TEN_CLE,2025,14,NA,NA,20,25,3.3409236006739977,-2.9770680607116695,-16.39149715331035,10.437361031887011,-19.54017334912817,13.586037227704832,0.2245,0.099,0.25236989587520875,0.09226421195549721,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0033077,Dak Prescott,DAL,DET,2025_14_DAL_DET,2025,14,NA,NA,20,25,1.886399401180602,0.6239104304509773,-12.790518662147704,14.038339523049657,-15.939194857965525,17.187015718867478,0.2805,0.1325,0.2522790031767339,0.12445272381297297,platt_vol_vegas,platt,2025-12-05T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0033106,Jared Goff,DET,DAL,2025_14_DAL_DET,2025,14,NA,NA,20,25,1.3782894885940156,2.826092871096192,-10.58833622150249,16.240521963694874,-13.73701241732031,19.389198159512695,0.294,0.1395,0.2488266305792473,0.13121595977655293,platt_vol_vegas,platt,2025-12-05T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0033119,Jacoby Brissett,ARI,LA,2025_14_LA_ARI,2025,14,NA,NA,20,25,2.062966285722367,-1.0234479686728408,-14.437877061271521,12.39098112392584,-17.586553257089342,15.539657319743661,0.258,0.107,0.2452828558650627,0.09992253203134395,platt_vol_vegas,platt,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0034869,Sam Darnold,SEA,ATL,2025_14_SEA_ATL,2025,14,NA,NA,20,25,2.0914887196573555,1.7226126336127856,-11.691816458985896,15.137041726211466,-14.840492654803716,18.28571792202929,0.255,0.109,0.24440827758808362,0.10184003676174716,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0036442,Joe Burrow,CIN,BUF,2025_14_CIN_BUF,2025,14,NA,NA,20,25,1.7683364704690234,0.7678971752675611,-12.646531917331119,14.182326267866243,-15.79520811314894,17.33100246368406,0.2575,0.1195,0.23972976184364794,0.11192533928183732,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0036264,Jordan Love,GB,CHI,2025_14_CHI_GB,2025,14,NA,Full Participation in Practice,20,25,1.6681479746882013,2.3790244588292206,-11.03540463376946,15.793453551427902,-14.18408082958728,18.942129747245723,0.2555,0.0995,0.23702864943841848,0.09274229721929776,platt_vol_vegas,platt,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0039923,J.J. McCarthy,MIN,WAS,2025_14_WAS_MIN,2025,14,NA,Full Participation in Practice,20,25,3.2928477271424446,-1.464086112293746,-14.878515204892427,11.950342980304935,-18.027191400710247,15.099019176122756,0.192,0.077,0.2340976864602417,0.07130784147978501,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0026498,Matthew Stafford,LA,ARI,2025_14_LA_ARI,2025,14,NA,NA,20,25,1.2569610358903043,1.4404864126635677,-11.973942679935114,14.854915505262248,-15.122618875752934,18.00359170108007,0.2355,0.089,0.22076283652959358,0.08271883789802945,platt_vol_vegas,platt,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0036212,Tua Tagovailoa,MIA,NYJ,2025_14_MIA_NYJ,2025,14,NA,NA,20,25,1.2496740889103353,2.506283545826439,-10.908145546772243,15.920712638425119,-14.056821742590063,19.06938883424294,0.205,0.0755,0.20634111687722675,0.06988501674435874,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0023459,Aaron Rodgers,PIT,BAL,2025_14_PIT_BAL,2025,14,NA,Full Participation in Practice,20,25,1.2506204323250438,0.7262840662254589,-12.688145026373222,14.14071315882414,-15.836821222191043,17.289389354641962,0.1935,0.0835,0.2007578406265975,0.07748267210242156,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
QB,00-0040668,Shedeur Sanders,CLE,TEN,2025_14_TEN_CLE,2025,14,NA,NA,20,25,1.7739811366850298,-3.031172852329853,-16.445601944928534,10.383256240268828,-19.594278140746354,13.531932436086649,0.137,0.041,0.17829711489254838,0.037417268611225046,platt_vol_vegas,platt,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
