player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,wt_tgt_per_snap,baseline_snap_share,baseline_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0030506,KC,LAC,2025_15_LAC_KC,0.2238132693352885,0.16567906043557126,0.179312101108136,8.768568009164692,0.1539309766848712,0.1539309766848712,FALSE,r2_3,0.21578099838969403,0.23955507325013564,Travis Kelce,0.06988229265041729,72.27909218529074,67.23529411764706,0.8856918573395508,0.11457515328716532,0.845625,0.1425531914893617,13,FALSE,0.2825252198985045,1.074576247819963,2025,15,4.5,24.5,NA,NA
00-0031610,MIA,PIT,2025_15_MIA_PIT,0.7811958144126745,0.12268451510125913,0.2540470576462685,11.847521098024147,NA,0.1954090143933528,TRUE,udfa,0.06053811659192825,0.04607508532423208,Darren Waller,0.5857868000193217,59.994480780476636,68.29411764705883,0.45296660998582694,0.09299260738023311,0.16875,0.03792235801581596,13,FALSE,-0.036110651921220156,-0.04118500433246625,2025,15,-3.5,19,NA,Full Participation in Practice
00-0033090,NE,BUF,2025_15_BUF_NE,0.24284266332263216,0.18947455423556436,0.17954382365846364,8.381368800146955,0.24947066992792583,0.24947066992792583,FALSE,r2_3,0.17509025270758122,0.19178852643419572,Hunter Henry,-0.006628006605293668,65.37955377742125,65.88235294117646,0.8160540192557564,0.1215558366151524,0.80625,0.11616766467065869,13,FALSE,-0.08749602140578953,0.3816126311151112,2025,15,-1.5,23.5,NA,NA
00-0033288,SF,TEN,2025_15_TEN_SF,0.7708687048682957,0.2144142013087935,0.2379410246526067,8.080187425017728,0.7228183802573963,0.7228183802573963,FALSE,r4_5,0.18467583497053044,0.19767729182110205,George Kittle,0.04805032461089942,64.31308889229686,64.29411764705883,0.8827280617343662,0.11943247777970423,0.866,0.11633663366336634,13,FALSE,0.21287911543770638,0.4579438170107196,2025,15,12.5,28.5,NA,NA
00-0033881,DEN,GB,2025_15_GB_DEN,-0.26504268878995907,0.12077389177495297,0.08006166699918246,3.6480147943170858,-0.013190499619957292,-0.013190499619957292,FALSE,r1,0.23508771929824562,0.15056461731493098,Evan Engram,-0.2518521891700018,68.27529529931023,65.52941176470588,0.4434083834837988,0.15708081016065162,0.72,0.18457300275482094,13,FALSE,-0.11315604520966291,-0.03754392854498919,2025,15,-1.5,20,NA,NA
00-0034351,PHI,LV,2025_15_LV_PHI,0.27565150612624434,0.1627330561985998,0.11769410625872723,7.164403646223926,0.3724276393520261,0.3724276393520261,FALSE,r2_3,0.16507936507936508,0.15576748410535876,Dallas Goedert,-0.09677613322578177,67.18335774148481,68.58823529411765,0.9040634263651852,0.09504944904181623,0.65,0.11659192825112108,13,FALSE,0.05872542489469536,0.09969225329077677,2025,15,12.5,25.5,NA,NA
00-0034383,HOU,ARI,2025_15_ARI_HOU,0.03201987287469507,0.1719702524944368,0.1409832626408679,7.088385238509694,0.03912830963026654,0.03912830963026654,FALSE,r4_5,0.1362179487179487,0.1470019342359768,Dalton Schultz,-0.007108436755571469,72.22870128972784,66.47058823529412,0.7449961660383464,0.1280573248520196,0.7817647058823529,0.09826589595375723,13,FALSE,0.16638922142696053,0.3802736093488932,2025,15,7.5,25,NA,NA
00-0034613,CIN,BAL,2025_15_BAL_CIN,0.7642000116461327,0.03948045581732401,0.04028241514983765,8.122615711209717,0.2241388023897695,0.2241388023897695,FALSE,udfa,0.061696658097686374,0.03811746402178141,Tanner Hudson,0.5400612092563633,70.30678097209044,68.17647058823529,0.16303380121709324,0.18342661819281392,0.1572727272727273,0.20168067226890757,13,FALSE,-0.3993081399869758,0.13792666876830775,2025,15,-1.5,25,NA,NA
00-0034753,BAL,CIN,2025_15_BAL_CIN,-0.4687976316922335,0.15038180028486262,0.13819521316707464,6.514755162927923,0.7260719536317718,0.7260719536317718,FALSE,r2_3,0.13717693836978131,0.17563671311869294,Mark Andrews,-1.1948695853240052,67.5099640871548,66.05882352941177,0.6594225800960933,0.11079525263194984,0.6111764705882353,0.10117302052785923,13,FALSE,0.716033224272999,0.1881074212583731,2025,15,1.5,26.5,NA,Full Participation in Practice
00-0035229,MIN,DAL,2025_15_MIN_DAL,0.25222373116155217,0.14032232837814748,0.11717495588896801,4.75645608246079,0.1525449808235952,0.1525449808235952,FALSE,r1,0.16103896103896104,0.1803676725633021,T.J. Hockenson,0.09967875033795698,56.68127729064463,66.41176470588235,0.7250992364096593,0.10933854798035472,0.615,0.14657210401891252,13,FALSE,0.530499689803556,-0.13149584697154024,2025,15,-5.5,21,NA,Full Participation in Practice
