player_id,posteam,defteam,game_id,rolling_pass_epa_per_db,wt_dropbacks,wt_carries,wt_carry_share,wt_rush_epa_pg,wt_rush_epa_per_carry,prior_pass_epa_per_db,baseline_pass_epa_per_db,is_cold_start,draft_tier,prior_rush_epa_pg,prior_carries_pg,prior_rush_epa_per_carry,player_name,form_residual,wt_team_total_plays,wt_team_pass_rate,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,def_rush_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0023459,PIT,BUF,2025_13_BUF_PIT,-0.09827901033560124,30.9192812038134,0.6052114914363621,0.0258796985081615,0.18183759847142686,0.30045298386497515,-0.0020169089078976637,-0.0020169089078976637,FALSE,r1,0.36349027993977634,1,NA,Aaron Rodgers,-0.09626210142770358,64.84623538670769,0.5539446799394829,0.8840542585623739,11,FALSE,-0.4171917630801254,0.36991863495919175,0.1237861029368306,2025,13,NA,NA,NA,Full Participation in Practice
00-0026498,LA,CAR,2025_13_LA_CAR,0.19838637144759386,33.60780510329788,0.14075442253796464,0.005630176901518585,-0.04925086020943949,-0.3499063071794808,0.059371459546464556,0.059371459546464556,FALSE,r1,0.4114693689493789,0.9375,NA,Matthew Stafford,0.1390149119011293,62.92825183145399,0.5435488545212377,0.9943698230984814,12,FALSE,0.03192319057376611,-1.836279456051138e-4,0.044461032399402856,2025,13,NA,NA,NA,NA
00-0028118,NYJ,ATL,2025_13_ATL_NYJ,-0.002775869203199741,27.74443965010003,4.534538893029459,0.20003175736122036,0.36549150046147316,-0.017835492039413772,NA,0.012565964804939295,TRUE,r6_udfa,NA,NA,NA,Tyrod Taylor,-0.015341834008139037,59.77364121871108,0.5335308683636673,0.7578135174361589,11,FALSE,-0.10501166929412746,0.28056733590566024,0.008807994831937513,2025,13,NA,NA,NA,NA
00-0029604,ATL,NYJ,2025_13_ATL_NYJ,-0.24744952493866834,20.184011297218845,0.8072804299219394,0.03451807209126662,0.15433616854136595,0.19118036659985627,0.03395829004548604,0.03395829004548604,FALSE,r4_5,-0.6873216743470371,0.8571428571428571,NA,Kirk Cousins,-0.2814078149841544,60.08593298403555,0.5284286228153233,0.686227199623426,11,FALSE,0.013866821093822892,0.3652836945370477,-0.07225454265365569,2025,13,NA,NA,NA,NA
00-0030565,LV,LAC,2025_13_LV_LAC,-0.30688521944141117,40.68545673016156,3.190432454021952,0.19357475727825868,-0.05619608786792299,-0.06409294531367393,0.00548243767773081,0.00548243767773081,FALSE,r2_3,0.07301853229771094,2.3529411764705883,0.031032876226527152,Geno Smith,-0.312367657119142,64.25482952774018,0.6660866804763721,0.974449906552451,11,FALSE,-0.004812045248943409,-0.28405563422927127,-0.09880717929101537,2025,13,NA,NA,NA,NA
00-0032268,WAS,DEN,2025_13_DEN_WAS,-0.0945684242321892,26.39186121564391,4.166567517328664,0.16918889744106597,1.3408548148546542,0.5298468864499367,NA,0.04459384335006605,TRUE,r1,NA,NA,NA,Marcus Mariota,-0.13916226758225525,63.69808099686374,0.5221661410794372,0.7149934190680187,11,FALSE,-0.4546985123457159,0.779549711103378,-0.046637326018626864,2025,13,NA,NA,NA,NA
00-0033077,DAL,KC,2025_13_KC_DAL,0.05244528813677574,35.70476810009084,3.0040109137299646,0.11161284186952994,1.1135309956536328,0.35902600149559877,-0.0628091833448867,-0.0628091833448867,FALSE,r4_5,0.5641240569748334,1.375,NA,Dak Prescott,0.11525447148166243,69.7786851955152,0.5605460945389001,0.9801287874064051,11,FALSE,-0.21947748012796872,0.462516449628335,-0.29676798345160876,2025,13,NA,NA,NA,NA
00-0033106,DET,GB,2025_13_GB_DET,0.006337083484913103,38.561923957794406,0.28150884507592927,0.00879715140862279,0.04801839887457814,0.17057509813457727,0.27645722122929606,0.27645722122929606,FALSE,r1,0.5150057795899189,1.1764705882352942,0.437754912651431,Jared Goff,-0.2701201377443829,66.64276409254761,0.5889495865300682,0.9746739447336534,11,FALSE,-0.24336654521891898,0.300336049910531,-0.12958673171949467,2025,13,NA,NA,NA,NA
00-0033119,ARI,TB,2025_13_ARI_TB,-0.026957709421440452,49.73742334183265,3.3878840070713414,0.15344747486025875,0.5046966211310024,0.13983278186186882,-0.20728104425603378,-0.20728104425603378,FALSE,r2_3,0.6140750468392591,1.7142857142857142,NA,Jacoby Brissett,0.1803233348345933,78.34082318105905,0.6664566438388448,0.9868145424272095,11,FALSE,-0.2714015472260042,0.19169723662092414,-0.07960007667421215,2025,13,NA,NA,NA,NA
00-0033873,KC,DAL,2025_13_KC_DAL,0.17886983308199245,43.35018478852541,2.5623739216456203,0.08436494193204686,1.252717184755388,0.340246169709037,0.10875626608443364,0.10875626608443364,FALSE,r1,2.1447646380144674,2.375,0.90305879495346,Patrick Mahomes,0.0701135669975588,77.36573971866305,0.5995879369245454,0.9718491154924072,11,FALSE,-0.277007949299939,0.4738143698461498,0.1370590392369733,2025,13,NA,NA,NA,Full Participation in Practice
