position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
WR,1,00-0039067,Rashee Rice,Rashee Rice,KC,DEN,28,43,9,20,0.27710843373493976,flex
RB,2,00-0036158,J.K. Dobbins,J.K. Dobbins,DEN,KC,19,41,15,20,0.18784595058080547,flex
WR,3,00-0036613,Jaylen Waddle,Jaylen Waddle,DEN,KC,18,36,8,20,0.1782477341389728,flex
WR,4,00-0034348,Courtland Sutton,Courtland Sutton,DEN,KC,18,31,7,20,0.1778975741239892,flex
RB,5,00-0038134,Kenneth Walker III,Kenneth Walker III,KC,DEN,16,37,14,20,0.1569224264683561,flex
TE,6,00-0030506,Travis Kelce,Travis Kelce,KC,DEN,15,32,6,17,0.15013476517328692,flex
WR,7,00-0038104,Tyquan Thornton,Tyquan Thornton,KC,DEN,14,27,7,20,0.14439140811455847,flex
TE,8,00-0033881,Evan Engram,Evan Engram,DEN,KC,14,33,6,17,0.1430439067050683,flex
RB,9,00-0040730,RJ Harvey,RJ Harvey,DEN,KC,11,29,12,20,0.10771402970553784,flex
RB,10,00-0040078,Brashard Smith,Brashard Smith,KC,DEN,9,25,11,20,0.08722764075106901,flex
WR,11,00-0038976,Marvin Mims Jr.,Marvin Mims Jr.,DEN,KC,9,21,7,20,0.08568075117370892,flex
WR,12,00-0039868,Troy Franklin,Troy Franklin,DEN,KC,7,18,6,20,0.0681265206812652,flex
WR,13,00-0039894,Xavier Worthy,Xavier Worthy,KC,DEN,7,19,6,20,0.06790123456790123,flex
RB,14,00-0037085,Tyler Badie,Tyler Badie,DEN,KC,7,22,10,20,0.06752535844422865,flex
WR,15,00-0040890,Cyrus Allen,Cyrus Allen,KC,DEN,6,14,5,20,0.05660377358490566,flex
TE,16,00-0039824,Jared Wiley,Jared Wiley,KC,DEN,6,17,5,17,0.05611790252579439,flex
RB,17,00-0041013,Emmett Johnson,Emmett Johnson,KC,DEN,6,14,11,20,0.05512134127696699,flex
TE,18,00-0041133,Dallen Bentley,Dallen Bentley,DEN,KC,5,15,4,17,0.0517493467846333,flex
RB,19,00-0041496,Jonah Coleman,Jonah Coleman,DEN,KC,5,13,11,20,0.05042556935751405,flex
TE,20,00-0036637,Noah Gray,Noah Gray,KC,DEN,5,18,5,17,0.05011184657662508,flex
TE,21,00-0036422,Adam Trautman,Adam Trautman,DEN,KC,5,16,5,17,0.04956610774783282,flex
WR,22,00-0040646,Jalen Royals,Jalen Royals,KC,DEN,4,15,5,20,0.04385964912280701,flex
TE,23,00-0040081,Jake Briningstool,Jake Briningstool,KC,DEN,4,17,4,17,0.04193151520405128,flex
TE,24,00-0038783,Nate Adkins,Nate Adkins,DEN,KC,4,15,4,17,0.03594219152108819,flex
WR,25,00-0038519,Nikko Remigio,Nikko Remigio,KC,DEN,3,13,5,20,0.0332425068119891,flex
WR,26,00-0040134,Pat Bryant,Pat Bryant,DEN,KC,3,13,5,20,0.0332425068119891,flex
WR,27,00-0035406,Lil'Jordan Humphrey,Lil'Jordan Humphrey,DEN,KC,3,12,5,20,0.0332425068119891,flex
QB,1,00-0033873,Patrick Mahomes,Patrick Mahomes,KC,DEN,23,37,38,NA,0.23074808019597076,qb
QB,2,00-0039732,Bo Nix,Bo Nix,DEN,KC,13,26,37,NA,0.13121595977655293,qb
QB,3,00-0036945,Justin Fields,Justin Fields,KC,DEN,13,25,38,NA,0.12621595977655292,qb
QB,4,00-0035264,Jarrett Stidham,Jarrett Stidham,DEN,KC,6,19,34,NA,0.0637291176666275,qb
QB,5,00-0036879,Sam Ehlinger,Sam Ehlinger,DEN,KC,6,18,33,NA,0.06089342964528525,qb
QB,6,00-0040906,Garrett Nussmeier,Garrett Nussmeier,KC,DEN,4,19,34,NA,0.04208806317547994,qb
