component,stratum,nominal,empirical,sharpness,delta
efficiency,low_opp_3_5,0.5,0.43816087613293053,0.8382036543914394,-0.06183912386706947
efficiency,low_opp_3_5,0.8,0.7345166163141994,1.6786112565464297,-0.06548338368580064
efficiency,low_opp_3_5,0.9,0.857345166163142,2.2905085092465582,-0.042654833836857975
volume,low_opp_3_5,0.5,0.49924471299093653,3.2554019049446916,-7.552870090634656e-4
volume,low_opp_3_5,0.8,0.8443164652567976,6.096145852727733,0.044316465256797555
volume,low_opp_3_5,0.9,0.9476019637462235,8.115098092331772,0.0476019637462235
combined,low_opp_3_5,0.5,0.4967900302114804,4.371777388006576,-0.0032099697885196177
combined,low_opp_3_5,0.8,0.8048527190332326,8.299831474521687,0.004852719033232589
combined,low_opp_3_5,0.9,0.9096487915407855,10.831912540762373,0.009648791540785462
