listed,position,n,skill_start,skill_boom
listed,QB,381,0.006025856743631097,-0.0018288011954298578
listed,RB,204,-0.017427113483407197,-0.006654977286927738
listed,TE,95,0.0018276735124057308,-0.0019922060302508815
listed,WR,360,-0.007948431036072096,-0.004246514352734931
not_listed,QB,1734,0.004115897126853285,4.916977331043404e-4
not_listed,RB,944,-0.006455831505521814,-0.0028121320409935924
not_listed,TE,374,-2.1891760895401124e-4,0.0051027823740134315
not_listed,WR,1194,-0.002197086212108096,-0.004605515778772926
