exante_tier,n,pred_start,emp_start,d_start_pp,pred_boom,emp_boom,d_boom_pp
statue,3632,0.309078331497797,0.304240088105727,-0.5,0.149972879955947,0.140143171806167,-1.0
mover,725,0.410795862068966,0.422068965517241,+1.1,0.217388965517241,0.208275862068966,-0.9
scrambler,188,0.529598404255319,0.574468085106383,+4.5,0.307468085106383,0.329787234042553,+2.2
NA,1684,0.222434085510689,0.195961995249406,-2.6,0.0941941805225653,0.080166270783848,-1.4
