position,state,n,mean_resid,median_resid,mean_abs,mean_pred,mean_obs
RB,above_new_out,613,2.5495630591030842,1.3382219230499022,5.049749252362539,11.071970382985008,13.62153344208809
RB,return+above_out,318,1.2610055142444625,0.19486574296913073,4.117998357406858,10.198113982610883,11.459119496855347
RB,return_week,1805,-1.2377352177682002,-2.12041331700331,4.101940923533815,12.832195051563215,11.59445983379502
RB,above_long_out,472,1.230643291929381,-0.09113682260476974,4.367302739411863,11.3435092504435,12.574152542372882
RB,steady,8413,-0.4120590208210648,-1.1063435206943169,4.451715213867788,15.303655359820233,14.891596338999172
WR,return_week,2832,-0.25706796788225555,-0.7612094172537991,1.9315137003551937,6.032844804040447,5.77577683615819
WR,above_long_out,785,0.12117034425063286,-0.41497605878847743,1.818863098626735,5.481377426450004,5.602547770700635
WR,steady,11631,-0.07355047757360013,-0.5622206000710115,2.266446809773829,7.0204166111820605,6.946866133608482
WR,above_new_out,1323,0.05600887791006492,-0.4318100920548833,1.8046737391292322,5.603855067668166,5.659863945578229
WR,return+above_out,652,0.04402702763727844,-0.5726154170944904,1.7094168900273274,5.049531254571311,5.093558282208588
