position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol
QB,1,00-0036389,Jalen Hurts,Jalen Hurts,PHI,LV,45,25,36,NA,0.4515426625567666,0.2546969920156969,6.93390120192036
QB,2,00-0034857,Josh Allen,Josh Allen,BUF,NE,42,24,36,NA,0.4162896685658182,0.24034092195122267,5.434985499375528
QB,3,00-0034796,Lamar Jackson,Lamar Jackson,BAL,CIN,38,20,34,NA,0.38408812543574056,0.19650211688018135,5.216094959489634
QB,4,00-0039732,Bo Nix,Bo Nix,DEN,GB,34,17,38,NA,0.33925216476807735,0.17300867587814164,4.43322297927373
QB,5,00-0040691,Jaxson Dart,Jaxson Dart,NYG,WAS,33,13,33,NA,0.33426312338032704,0.1259009697076538,5.32859997758589
QB,6,00-0036355,Justin Herbert,Justin Herbert,LAC,KC,33,16,35,NA,0.33090381842710465,0.1603311578339019,4.158664629411894
QB,7,00-0039851,Drake Maye,Drake Maye,NE,BUF,31,15,37,NA,0.3081073194476347,0.1506036041350335,3.5252468185164023
QB,8,00-0036971,Trevor Lawrence,Trevor Lawrence,JAX,NYJ,30,14,34,NA,0.300934070265999,0.14332243221860283,3.48049574546877
QB,9,00-0032268,Marcus Mariota,Marcus Mariota,WAS,NYG,30,10,33,NA,0.30008663931713186,0.09561239155966084,4.62843034939848
QB,10,00-0034855,Baker Mayfield,Baker Mayfield,TB,ATL,30,14,34,NA,0.2981243740343731,0.13653827441728247,3.0118187522395976
QB,11,00-0037834,Brock Purdy,Brock Purdy,SF,TEN,29,15,35,NA,0.29106848359845283,0.15157537733178733,2.732476979241321
QB,12,00-0040743,Tyler Shough,Tyler Shough,NO,CAR,28,10,34,NA,0.2835928160795035,0.09656968664145436,4.457330484157064
QB,13,00-0040676,Cam Ward,Cam Ward,TEN,SF,28,11,36,NA,0.2758329718668924,0.11192533928183732,3.09523449954326
QB,14,00-0033873,Patrick Mahomes,Patrick Mahomes,KC,LAC,27,11,36,NA,0.2673519462236089,0.1090407280950304,2.6955190643510822
QB,15,00-0039163,C.J. Stroud,C.J. Stroud,HOU,ARI,26,12,35,NA,0.259839630948115,0.1215579270647872,2.374737851306567
QB,16,00-0039150,Bryce Young,Bryce Young,CAR,NO,26,9,34,NA,0.2573366851064655,0.09322045827467096,2.80384766230152
QB,17,00-0039923,J.J. McCarthy,J.J. McCarthy,MIN,DAL,25,9,33,NA,0.2507187795565509,0.0922642119554972,2.8416371666542237
QB,18,00-0034869,Sam Darnold,Sam Darnold,SEA,IND,25,10,35,NA,0.24947701692007992,0.09896421186059404,2.153038976368353
QB,19,00-0033106,Jared Goff,Jared Goff,DET,LA,24,12,36,NA,0.24431662632525297,0.12397010021562813,1.3804781114521651
QB,20,00-0033077,Dak Prescott,Dak Prescott,DAL,MIN,24,11,38,NA,0.24371718444397236,0.11240634360740982,1.7752746574787024
QB,21,00-0036442,Joe Burrow,Joe Burrow,CIN,BAL,24,11,35,NA,0.24151647760783632,0.11240634360740982,1.6410442429142071
QB,22,00-0039918,Caleb Williams,Caleb Williams,CHI,CLE,23,7,35,NA,0.2316580108349075,0.07320620366646062,3.091460467241062
QB,23,00-0026498,Matthew Stafford,Matthew Stafford,LA,DET,23,12,34,NA,0.2280054791471867,0.1152937674272438,1.2569610358903045
QB,24,00-0033119,Jacoby Brissett,Jacoby Brissett,ARI,HOU,22,7,39,NA,0.2179786240858844,0.07130784147978501,2.12371749179619
QB,25,00-0036264,Jordan Love,Jordan Love,GB,DEN,22,9,31,NA,0.2167990363819208,0.08653319677419186,1.5647796404581285
QB,26,00-0029604,Kirk Cousins,Kirk Cousins,ATL,TB,20,7,33,NA,0.2000121329544121,0.07463090827948649,1.0640881325022706
QB,27,00-0040668,Shedeur Sanders,Shedeur Sanders,CLE,CHI,20,5,34,NA,0.19988807992669155,0.0486489788369163,2.5030070908838344
QB,28,00-0036212,Tua Tagovailoa,Tua Tagovailoa,MIA,PIT,20,7,30,NA,0.19958514626155044,0.06798920093605865,1.2231006617164508
QB,29,00-0023459,Aaron Rodgers,Aaron Rodgers,PIT,MIA,20,6,33,NA,0.1952930845633327,0.06278349281304554,1.3173362299348084
QB,30,00-0040398,Brady Cook,Brady Cook,NYJ,JAX,17,3,35,NA,0.16895143238856927,0.03043835898019097,1.760277361433143
QB,31,00-0022942,Philip Rivers,Philip Rivers,IND,SEA,15,2,32,NA,0.15133616072202735,0.01935412227883388,2.6773442332924096
QB,32,00-0038102,Kenny Pickett,Kenny Pickett,LV,PHI,14,2,30,NA,0.13619840553758952,0.01158473409204586,1.9419335051999695
RB,1,00-0034844,Saquon Barkley,Saquon Barkley,PHI,LV,67,46,24,NA,0.665939741384924,0.4621474359831233,23.780697974339137
RB,2,00-0036223,Jonathan Taylor,Jonathan Taylor,IND,SEA,62,39,24,NA,0.6160284509011577,0.39036734451945704,23.80970277931266
RB,3,00-0040122,Ashton Jeanty,Ashton Jeanty,LV,PHI,60,37,23,NA,0.5963269961968468,0.3737885568234201,23.39726751898601
RB,4,00-0038120,Breece Hall,Breece Hall,NYJ,JAX,55,33,22,NA,0.549169387440064,0.3284844442278531,21.744528855630406
RB,5,00-0036997,Javonte Williams,Javonte Williams,DAL,MIN,52,31,22,NA,0.5153667386071493,0.31355641290603264,21.87739991208369
RB,6,00-0037248,James Cook,James Cook,BUF,NE,49,30,20,NA,0.4918883596322972,0.29703830971271683,20.263653876969496
RB,7,00-0038542,Bijan Robinson,Bijan Robinson,ATL,TB,49,28,19,NA,0.48602277540966776,0.27838848274993716,19.374380953364707
RB,8,00-0033280,Christian McCaffrey,Christian McCaffrey,SF,TEN,47,28,20,NA,0.4733189040347766,0.27535060413326945,20.332763850086753
RB,9,00-0040583,Woody Marks,Woody Marks,HOU,ARI,47,26,20,NA,0.47283041981152085,0.26214052028729584,19.621015704783467
RB,10,00-0035700,Josh Jacobs,Josh Jacobs (Q),GB,DEN,47,26,19,Questionable,0.4679460626202961,0.25754989255324195,19.106455331157388
RB,11,00-0033923,Kareem Hunt,Kareem Hunt,KC,LAC,47,26,20,NA,0.4650158599071182,0.26417779691571275,19.75932936171729
RB,12,00-0039040,De'Von Achane,De'Von Achane,MIA,PIT,46,28,18,NA,0.4615976652118042,0.27535060413326945,18.327743599327913
RB,13,00-0038597,Chase Brown,Chase Brown,CIN,BAL,46,25,19,NA,0.4596445871084032,0.2529497614260499,19.029001839456313
RB,14,00-0039139,Jahmyr Gibbs,Jahmyr Gibbs,DET,LA,45,24,19,NA,0.4532979291303611,0.2437202273960582,18.60248636917587
RB,15,00-0040734,TreVeyon Henderson,TreVeyon Henderson,NE,BUF,45,26,18,NA,0.4513453612580306,0.2560175806504145,18.165797675845383
RB,16,00-0040784,Quinshon Judkins,Quinshon Judkins,CLE,CHI,45,27,19,NA,0.445488323191715,0.27078642059024216,19.100013005357784
RB,17,00-0040202,Devin Neal,Devin Neal,NO,CAR,44,25,19,NA,0.44060817928532897,0.25090215904453117,18.829842562248263
RB,18,00-0036973,Travis Etienne,Travis Etienne,JAX,NYJ,44,25,19,NA,0.4376803880864735,0.24577466549853977,19.157825283322833
RB,19,00-0032764,Derrick Henry,Derrick Henry,BAL,CIN,43,24,18,NA,0.42548340858541994,0.2437202273960582,18.01382974471034
RB,20,00-0036139,Rico Dowdle,Rico Dowdle,CAR,NO,42,23,18,NA,0.4230443892454672,0.2266933688902661,18.056856702871357
RB,21,00-0040666,Omarion Hampton,Omarion Hampton,LAC,KC,42,23,18,NA,0.42255659906740656,0.22979972419501185,17.99274830114068
RB,22,00-0039391,Kimani Vidal,Kimani Vidal,LAC,KC,40,22,18,NA,0.4001223450619279,0.21838590623529391,18.212522514597342
RB,23,00-0039361,Bucky Irving,Bucky Irving,TB,ATL,40,23,17,NA,0.3996347159163276,0.22824714714226085,17.252445714816172
RB,24,00-0035261,Tony Pollard,Tony Pollard,TEN,SF,37,20,18,NA,0.366478973532662,0.1958782633902671,17.67015892149246
RB,25,00-0036275,D'Andre Swift,D'Andre Swift,CHI,CLE,34,18,16,NA,0.33917179268528874,0.18319245525395564,16.070417495376212
