position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
WR,312,00-0040237,Tez Johnson,Tez Johnson,TB,MIN,3,10,5,20,0.0332425068119891,flex
WR,313,00-0039589,Kameron Johnson,Kameron Johnson,TB,MIN,3,10,5,20,0.0332425068119891,flex
WR,314,00-0040154,Tai Felton,Tai Felton,MIN,TB,3,10,5,20,0.0332425068119891,flex
WR,315,00-0041040,Antonio Williams,Antonio Williams,WAS,SEA,3,10,5,20,0.0332425068119891,flex
WR,316,00-0037093,Dareke Young,Dareke Young,LV,NO,3,10,4,20,0.0332425068119891,flex
WR,317,00-0040948,J. Michael Sturdivant,J. Michael Sturdivant,GB,ATL,3,9,5,20,0.0332425068119891,flex
WR,318,00-0039868,Troy Franklin,Troy Franklin,DEN,LA,3,9,5,20,0.0332425068119891,flex
WR,319,00-0036646,Simi Fehoko,Simi Fehoko,ARI,SF,3,9,5,20,0.0332425068119891,flex
WR,320,00-0038640,Jalen Brooks,Jalen Brooks,ARI,SF,3,9,5,20,0.0332425068119891,flex
WR,321,00-0041132,Deion Burks,Deion Burks,IND,HOU,3,9,5,20,0.0332425068119891,flex
WR,322,00-0036626,Dyami Brown,Dyami Brown,WAS,SEA,3,9,5,20,0.0332425068119891,flex
WR,323,00-0040718,Travis Hunter,Travis Hunter,JAX,NE,3,9,5,20,0.0332425068119891,flex
WR,324,00-0041397,Kaden Wetjen,Kaden Wetjen,PIT,CIN,3,9,5,20,0.0332425068119891,flex
WR,325,00-0041044,Zachariah Branch,Zachariah Branch,ATL,GB,3,9,4,20,0.0332425068119891,flex
WR,326,00-0040218,Jimmy Horn Jr.,Jimmy Horn Jr.,CAR,CLE,3,9,4,20,0.0332425068119891,flex
WR,327,00-0037742,Treylon Burks,Treylon Burks,WAS,SEA,3,9,5,20,0.0332425068119891,flex
WR,328,00-0040782,Isaiah Bond,Isaiah Bond,CLE,CAR,3,9,4,20,0.0332425068119891,flex
WR,329,00-0040506,Myles Price,Myles Price,MIN,TB,3,9,4,20,0.0332425068119891,flex
RB,330,00-0036919,Kenny Gainwell,Kenny Gainwell,TB,MIN,3,12,10,20,0.03317787728531388,flex
RB,331,00-0038454,Keaton Mitchell,Keaton Mitchell,LAC,BUF,3,9,9,20,0.0324635076245836,flex
RB,332,00-0038488,Brady Russell,Brady Russell,SEA,WAS,3,9,8,20,0.0324635076245836,flex
TE,333,00-0034981,Foster Moreau,Foster Moreau,HOU,IND,3,12,4,17,0.0315929722364222,flex
RB,334,00-0039794,Braelon Allen,Braelon Allen,NYJ,DET,3,10,10,20,0.03156901681037977,flex
TE,335,00-0037805,Jeremy Ruckert,Jeremy Ruckert,NYJ,DET,3,11,4,17,0.03050670342925691,flex
TE,336,00-0038710,Blake Whiteheart,Blake Whiteheart,CLE,CAR,3,11,4,17,0.03050670342925691,flex
TE,337,00-0036429,Charlie Woerner,Charlie Woerner,ATL,GB,3,10,4,17,0.03050670342925691,flex
