position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
QB,62,00-0040906,Garrett Nussmeier,Garrett Nussmeier,KC,MIA,4,14,32,NA,0.03662037598801674,qb
QB,63,00-0040981,Joe Fagnano,Joe Fagnano,BAL,DAL,4,14,32,NA,0.03662037598801674,qb
QB,64,00-0041092,Taylen Green,Taylen Green,CLE,CAR,4,14,32,NA,0.03662037598801674,qb
QB,65,00-0041561,Carson Beck,Carson Beck,ARI,SF,4,14,31,NA,0.03662037598801674,qb
QB,66,00-0041565,Drew Allar,Drew Allar,PIT,CIN,4,14,32,NA,0.03662037598801674,qb
QB,67,00-0041568,Ty Simpson,Ty Simpson,LA,DEN,4,14,32,NA,0.03662037598801674,qb
QB,68,00-0026158,Joe Flacco,Joe Flacco,CIN,PIT,4,14,35,NA,0.03648478341234495,qb
QB,69,00-0035289,Gardner Minshew,Gardner Minshew,ARI,SF,4,14,31,NA,0.03601875841779032,qb
QB,70,00-0041562,Fernando Mendoza,Fernando Mendoza,LV,NO,4,14,32,NA,0.03601875841779032,qb
QB,71,00-0038579,Aidan O'Connell,Aidan O'Connell,LV,NO,3,14,33,NA,0.03462157084051211,qb
QB,72,00-0041194,Jack Strand,Jack Strand,ATL,GB,3,13,34,NA,0.0336908668266799,qb
QB,73,00-0039164,Anthony Richardson,Anthony Richardson,IND,HOU,3,14,33,NA,0.03276078089977872,qb
QB,74,00-0041123,Behren Morton,Behren Morton,NE,JAX,3,14,33,NA,0.03090251704072326,qb
QB,75,00-0033869,Mitchell Trubisky,Mitchell Trubisky,TEN,NYG,3,11,32,NA,0.03090251704072326,qb
QB,76,00-0040014,Kyle McCord,Kyle McCord,MIA,KC,3,13,32,NA,0.02951054563355397,qb
QB,77,00-0041056,Cade Klubnik,Cade Klubnik,NYJ,DET,3,14,32,NA,0.02812011314917865,qb
QB,78,00-0028986,Case Keenum,Case Keenum,CHI,PHI,3,12,32,NA,0.02812011314917865,qb
QB,79,00-0041251,Jalon Daniels,Jalon Daniels,TB,MIN,3,14,32,NA,0.02765698759418315,qb
QB,80,00-0041149,Haynes King,Haynes King,CAR,CLE,3,14,32,NA,0.02765698759418315,qb
QB,81,00-0040398,Brady Cook,Brady Cook,MIA,KC,2,13,34,NA,0.02442028035599047,qb
QB,82,00-0036825,Feleipe Franks,Feleipe Franks,CAR,CLE,2,15,32,NA,0.02349724869982543,qb
QB,83,00-0038102,Kenny Pickett,Kenny Pickett,CAR,CLE,2,13,31,NA,0.02165366372155467,qb
QB,84,00-0032950,Carson Wentz,Carson Wentz,MIN,TB,2,14,34,NA,0.02019840659003927,qb
QB,85,00-0041117,Athan Kaliakmanis,Athan Kaliakmanis,WAS,SEA,2,9,33,NA,0.01843594662668954,qb
QB,86,00-0040691,Jaxson Dart,Jaxson Dart,NYG,TEN,2,14,33,NA,0.01836855268469199,qb
QB,87,00-0034771,Mason Rudolph,Mason Rudolph,PIT,CIN,2,6,32,NA,0,qb
QB,88,00-0033662,Cooper Rush,Cooper Rush,ATL,GB,2,5,34,NA,0,qb
