bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",7157,0.056812367543914596,0.05253597876205114,-0.004276388781863455,platt_vol,20+,WR
"[0.1,0.2)",4383,0.14558039298602932,0.15514487793748574,0.009564484951456426,platt_vol,20+,WR
"[0.2,0.3)",2195,0.24401074336036932,0.2419134396355353,-0.002097303724834021,platt_vol,20+,WR
"[0.3,0.4)",750,0.3407280400905006,0.3253333333333333,-0.015394706757167309,platt_vol,20+,WR
"[0.4,0.5)",221,0.43710572715985546,0.43891402714932126,0.0018082999894658003,platt_vol,20+,WR
"[0.5,0.6)",28,0.5400293856784614,0.42857142857142855,-0.11145795710703282,platt_vol,20+,WR
"[0.6,0.7)",2,0.607420663755541,0,-0.607420663755541,platt_vol,20+,WR
"[0,0.1)",7161,0.05544025316023614,0.052925569054601315,-0.0025146841056348235,platt_vegas,20+,WR
"[0.1,0.2)",4464,0.14708405054528834,0.15367383512544802,0.0065897845801596855,platt_vegas,20+,WR
"[0.2,0.3)",2094,0.24214525429265674,0.24307545367717287,9.301993845161338e-4,platt_vegas,20+,WR
"[0.3,0.4)",722,0.33998353647620894,0.32132963988919666,-0.018653896587012275,platt_vegas,20+,WR
"[0.4,0.5)",245,0.43873743621760797,0.4530612244897959,0.014323788272187943,platt_vegas,20+,WR
"[0.5,0.6)",49,0.5349961284007668,0.46938775510204084,-0.06560837329872599,platt_vegas,20+,WR
"[0.6,0.7)",1,0.653986091213053,0,-0.653986091213053,platt_vegas,20+,WR
"[0,0.1)",7454,0.057044024526538055,0.05486986852696539,-0.0021741559995726648,platt_vol_vegas,20+,WR
"[0.1,0.2)",4268,0.14363313172225983,0.16143392689784442,0.017800795175584583,platt_vol_vegas,20+,WR
"[0.2,0.3)",1871,0.24335621110461195,0.23516835916622128,-0.008187851938390667,platt_vol_vegas,20+,WR
"[0.3,0.4)",811,0.34245889127442725,0.3094944512946979,-0.032964439979729365,platt_vol_vegas,20+,WR
"[0.4,0.5)",269,0.4410731623183977,0.44981412639405205,0.008740964075654334,platt_vol_vegas,20+,WR
"[0.5,0.6)",54,0.5362082591884293,0.48148148148148145,-0.05472677770694784,platt_vol_vegas,20+,WR
"[0.6,0.7)",9,0.6301737030623428,0.4444444444444444,-0.18572925861789835,platt_vol_vegas,20+,WR
"[0,0.1)",7443,0.05937922170328536,0.05441354292623942,-0.004965678777045943,star_platt,20+,WR
"[0.1,0.2)",3977,0.14131137299208604,0.15111893386975106,0.009807560877665017,star_platt,20+,WR
"[0.2,0.3)",2042,0.24508377897453035,0.24485798237022527,-2.2579660430507853e-4,star_platt,20+,WR
"[0.3,0.4)",962,0.3387518012184511,0.3097713097713098,-0.02898049144714132,star_platt,20+,WR
"[0.4,0.5)",282,0.4377701714755524,0.4397163120567376,0.0019461405811851962,star_platt,20+,WR
