position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,team_spread,implied_total,pred_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,med_vol,med_tot,pred_pass_eff,lo_50_pass_eff,hi_50_pass_eff,lo_80_pass_eff,hi_80_pass_eff,lo_90_pass_eff,hi_90_pass_eff,pred_db,lo_50_db,hi_50_db,lo_80_db,hi_80_db,lo_90_db,hi_90_db,pred_rush,lo_50_rush,hi_50_rush,lo_80_rush,hi_80_rush,lo_90_rush,hi_90_rush,pred_carry,lo_50_carry,hi_50_carry,lo_80_carry,hi_80_carry,lo_90_carry,hi_90_carry
WR,00-0036900,Ja'Marr Chase,CIN,BUF,2025_14_CIN_BUF,2025,14,NA,NA,NA,NA,0.187735279921337,10.8556240832952,9.03855100551686,12.0064824413187,8.06690542710525,14.0185966744416,7.36019832312203,15.2762816902397,2.03798362599823,-1.27143224273876,6.05435968989283,-4.74688001505994,9.12366042555292,-6.88022860492639,11.0400043822688,0.5985,0.3745,0.562190637656857,0.384615384615385,strat_platt,strat_iso,10.2195269617562,2.52648930910016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0036912,DeVonta Smith,PHI,LAC,2025_14_PHI_LAC,2025,14,NA,NA,NA,NA,0.122556658003929,8.07436954867497,6.25729647089662,9.22522790669849,5.28565089248502,11.2373421398214,4.57894378850179,12.4950271556194,0.989567747374299,-1.88730902275314,4.48100534742543,-4.90851740470174,7.14914991951436,-6.76303833655223,8.81502862177427,0.374,0.173,0.374907717030415,0.20042194092827,strat_platt,strat_iso,7.43827242713592,1.41422596729379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0036963,Amon-Ra St. Brown,DET,DAL,2025_14_DAL_DET,2025,14,Questionable,Did Not Participate In Practice,NA,NA,0.106888473004139,7.51285559672523,5.69578251894688,8.66371395474875,4.72413694053528,10.6758281878716,4.01742983655205,11.9335132036697,0.803037662634559,-1.97736636583219,4.17739393299105,-4.897262012122,6.75606535673754,-6.68959372522648,8.36608073966798,0.304,0.119,0.303207652668174,0.144880174291939,strat_platt,strat_iso,6.87675847518618,1.21345545933892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0037239,Chris Olave,NO,TB,2025_14_NO_TB,2025,14,Questionable,Limited Participation in Practice,NA,NA,0.135667112184294,7.68789629704477,5.87082321926642,8.83875465506829,4.89917764085482,10.8508688881912,4.1924705368716,12.1085539039892,1.04299468939239,-1.76787840651163,4.4543288549419,-4.71977173962888,7.06125865865918,-6.53174472618766,8.68891740089111,0.3355,0.131,0.335450721420333,0.173913043478261,strat_platt,strat_iso,7.05179917550572,1.457910050982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0037240,Jameson Williams,DET,DAL,2025_14_DAL_DET,2025,14,NA,NA,NA,NA,0.190243517459301,7.67081213979323,5.85373906201488,8.82167049781675,4.88209348360328,10.8337847309396,4.17538637962006,12.0914697467377,1.45932228324377,-1.34859320223386,4.86706703114557,-4.29738054294174,7.47125381427627,-6.10744696523577,9.09719992833099,0.353,0.1495,0.353380559554431,0.20042194092827,strat_platt,strat_iso,7.03471501825418,1.87380106945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0037247,George Pickens,DAL,DET,2025_14_DAL_DET,2025,14,NA,Full Participation in Practice,NA,NA,0.178683072093239,9.00745810905566,7.19038503127731,10.1583164670792,6.21873945286571,12.1704307002021,5.51203234888249,13.4281157160001,1.60948028667723,-1.42019438974283,5.28635660999196,-4.60186648012306,8.09621281482598,-6.55488551884589,9.85057037738532,0.476,0.2495,0.45229664585323,0.264880952380952,strat_platt,strat_iso,8.37136098751661,2.05669313513257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0037261,Khalil Shakir,BUF,CIN,2025_14_CIN_BUF,2025,14,NA,NA,NA,NA,0.0533904888239134,6.53717854954333,4.72010547176498,7.68803690756685,3.74845989335338,9.70015114068974,3.04175278937015,10.9578361564878,0.349023158289319,-2.25424387482092,3.50840227968702,-4.98811564247914,5.92278890764934,-6.66625954291649,7.43023168440811,0.2165,0.0705,0.213984880673689,0.073385518590998,strat_platt,strat_iso,5.90108142800428,0.73329361287911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0037291,Jalen Nailor,MIN,WAS,2025_14_WAS_MIN,2025,14,NA,NA,NA,NA,0.0819490236668241,4.97592388947082,3.15885081169247,6.12678224749434,2.18720523328087,8.13889648061723,1.48049812929765,9.39658149641529,0.40777210458256,-1.88011598562532,3.18440076862753,-4.28278639086142,5.30629081717648,-5.75762757873545,6.63111087280318,0.119,0.03,0.102042706965379,0.0240518038852914,strat_platt,strat_iso,4.33982676793177,0.745489205937455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0037545,Rashid Shaheed,SEA,ATL,2025_14_SEA_ATL,2025,14,NA,NA,NA,NA,0.0522545870335472,5.39572314330996,3.57865006553161,6.54658150133348,2.60700448712001,8.55869573445637,1.90029738313679,9.81638075025443,0.281951284601015,-2.09533007099548,3.16706947840619,-4.5918785614823,5.37186685142054,-6.12434532565876,6.74845079852938,0.133,0.045,0.129667469351004,0.0660907127429806,strat_platt,strat_iso,4.75962602177091,0.632863801674408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WR,00-0037614,John Metchie III,NYJ,MIA,2025_14_MIA_NYJ,2025,14,NA,NA,NA,NA,0.111418166884002,6.22473508150368,4.40766200372533,7.3755934395272,3.43601642531373,9.38770767265008,2.7293093213305,10.6453926884481,0.693548572119681,-1.85007983573648,3.78054901508749,-4.52132093517266,6.13962410662572,-6.1610199915246,7.61253265631072,0.2065,0.072,0.203833834678397,0.073385518590998,strat_platt,strat_iso,5.58863795996463,1.06901571865616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
