gsis_id,pfr_id,nfl_name,pos,draft_round,draft_pick,draft_team,model_verdict,week,fp_ppr,carries,targets,attempts,receptions,offense_pct,p_start,p_boom,opportunities,fp_per_opp
00-0041037,BostDe00,Denzel Boston,WR,2,39,CLE,Baseline,1,13.9,0,4,0,2,0.92,0.1565,0.0435,4,3.475
00-0041037,BostDe00,Denzel Boston,WR,2,39,CLE,Baseline,2,20.5,0,7,0,5,0.93,0.1835,0.07,7,2.9285714285714284
00-0041489,BernGe00,Germie Bernard,WR,2,47,PIT,Baseline,2,7.5,0,8,0,4,0.79,0.1005,0.0205,8,0.9375
00-0041040,WillAn04,Antonio Williams,WR,3,71,WAS,Baseline,1,16.4,0,4,0,4,0.37,0.224,0.0755,4,4.1
00-0041040,WillAn04,Antonio Williams,WR,3,71,WAS,Baseline,2,5.4,0,3,1,3,0.49,0.144,0.044,3,1.8
00-0041042,FielMa00,Malachi Fields,WR,3,74,NYG,Baseline,1,4.5,0,4,0,2,0.72,0.237,0.0825,4,1.125
00-0041042,FielMa00,Malachi Fields,WR,3,74,NYG,Baseline,2,5,0,6,0,2,0.81,0.304,0.1245,6,0.8333333333333334
00-0041523,DougCa00,Caleb Douglas,WR,3,75,MIA,Baseline,1,14.4,0,7,0,5,0.91,0.2215,0.0815,7,2.0571428571428574
00-0041523,DougCa00,Caleb Douglas,WR,3,75,MIA,Baseline,2,3.9000000000000004,0,3,0,2,0.86,0.208,0.069,3,1.3
00-0041044,BranZa00,Zachariah Branch,WR,3,79,ATL,Baseline,1,0,0,0,0,0,0.3,0.1105,0.0335,0,NA
00-0041044,BranZa00,Zachariah Branch,WR,3,79,ATL,Baseline,2,3.4000000000000004,0,2,0,2,0.2,0.11,0.0285,2,1.7000000000000002
00-0040870,LaneJa01,Ja'Kobi Lane,WR,3,80,BAL,Baseline,1,2.1,0,3,0,1,0.4,0.2705,0.099,3,0.7000000000000001
00-0041048,HursTe00,Ted Hurst III,WR,3,84,TB,Baseline,1,6.6,0,3,0,3,0.75,0.1565,0.0455,3,2.1999999999999997
00-0041048,HursTe00,Ted Hurst III,WR,3,84,TB,Baseline,2,4.7,0,7,0,2,0.74,0.162,0.0495,7,0.6714285714285715
00-0041051,ThomZa05,Zavion Thomas,WR,3,89,CHI,Baseline,2,0,0,0,0,0,0.03,0.136,0.0385,0,NA
00-0041525,BellCh00,Chris Bell,WR,3,94,MIA,Baseline,1,3.5,0,2,0,1,0.52,0.2155,0.071,2,1.75
00-0041525,BellCh00,Chris Bell,WR,3,94,MIA,Baseline,2,0,0,1,0,0,0.41,0.085,0.026,1,0
00-0041550,ThomBr07,Brenen Thompson,WR,4,105,LAC,Baseline,2,2.3,0,3,0,1,0.18,0.151,0.041,3,0.7666666666666666
00-0041397,WetjKa00,Kaden Wetjen,WR,4,121,PIT,Baseline,1,0,0,0,0,0,0,0.1475,0.046,0,NA
00-0041397,WetjKa00,Kaden Wetjen,WR,4,121,PIT,Baseline,2,0,0,0,0,0,0,0.09,0.028,0,NA
00-0041067,LancBr00,Bryce Lance,WR,4,136,NO,Baseline,1,7.2,0,4,0,3,0.69,0.131,0.0395,4,1.8
00-0041067,LancBr00,Bryce Lance,WR,4,136,NO,Baseline,2,1.8,0,1,0,1,0.79,0.1215,0.031,1,1.8
00-0041069,YounCo01,Colbie Young,WR,4,140,CIN,Baseline,2,1.7000000000000002,0,1,0,1,0.17,0.115,0.0265,1,1.7000000000000002
00-0040890,AlleCy00,Cyrus Allen,WR,5,176,KC,Baseline,1,0,0,1,0,0,0.01,0.1455,0.0495,1,0
00-0041529,ColeKe03,Kevin Coleman Jr.,WR,5,177,MIA,Baseline,1,0,0,2,0,0,0.29,0.1175,0.033,2,0
00-0041099,BrowBa02,Barion Brown,WR,6,190,NO,Baseline,1,0.30000000000000004,1,0,0,0,0.08,0.2305,0.077,1,0.30000000000000004
00-0041099,BrowBa02,Barion Brown,WR,6,190,NO,Baseline,2,0,0,0,0,0,0.03,0.1575,0.0505,0,NA
00-0041100,CameJo01,Josh Cameron,WR,6,191,JAX,Baseline,1,10,0,2,0,2,0.33,0.1465,0.0425,2,5
00-0041100,CameJo01,Josh Cameron,WR,6,191,JAX,Baseline,2,0,0,0,0,0,0.17,0.111,0.023,0,NA
00-0040894,BensMa00,Malik Benson,WR,6,195,LV,Baseline,1,0.8,1,2,0,1,0.1,0.1545,0.0425,3,0.26666666666666666
00-0040894,BensMa00,Malik Benson,WR,6,195,LV,Baseline,2,0,0,1,0,0,0.13,0.0855,0.0205,1,0
00-0041132,BurkDe02,Deion Burks,WR,7,254,IND,Baseline,2,1.4000000000000001,2,0,0,0,0.05,0.0925,0.0245,2,0.7000000000000001
00-0040948,MichJ00,J. Michael Sturdivant,WR,NA,NA,GB,Baseline,2,0,0,0,0,0,0.15,0.136,0.038,0,NA
