player_id,player_name,games,cpg,bias_tot,bias_rush,t_tot
00-0010346,Peyton Manning,21,0.38095238095238093,-4.660207404405075,0.025407244554643816,-1.6464893597870554
00-0019596,Tom Brady,137,1,2.5693953934218645,0.06898144685561249,2.7568768400286947
00-0020531,Drew Brees,94,0.7446808510638296,3.3075458598436343,0.30530545110015983,2.5741582678617587
00-0021206,Josh McCown,36,1.9444444444444444,-3.506261402489793,-0.012855381939764512,-1.6594187910286384
00-0021429,Carson Palmer,43,0.6511627906976744,-0.18781649226918606,0.11437962949791253,-0.12898561694903973
00-0022803,Eli Manning,78,0.5,-1.7043867341007284,0.07084730639257122,-1.1690353237494306
00-0022924,Ben Roethlisberger,101,0.7227722772277229,-0.009206695477166807,0.31955969074314766,-0.007765635201689406
00-0022942,Philip Rivers,110,0.6272727272727275,-0.08650239542652757,-0.04026536889132926,-0.08028565394346988
00-0023436,Alex Smith,74,3.0270270270270263,-1.2375614828908752,0.2833001291964476,-1.0047975413450636
00-0023459,Aaron Rodgers,162,1.938271604938271,0.8022580182780047,0.40277422810669883,0.9361802584406067
00-0023682,Ryan Fitzpatrick,68,3,0.8057044465069846,0.29260689851504196,0.5242942275940328
00-0024226,Jay Cutler,41,1.4390243902439022,-3.0393742758013373,-0.37335234516260113,-1.675777890374063
00-0026143,Matt Ryan,135,1.5703703703703704,-0.5313155308073313,-0.06220253758572189,-0.5017133724044563
00-0026158,Joe Flacco,101,1.0396039603960396,-2.206073410198867,0.25934995874423045,-1.830742997326296
00-0026498,Matthew Stafford,172,1.2558139534883728,0.38076753419171333,0.05383040772337352,0.44637374597479845
00-0026625,Brian Hoyer,34,0.9411764705882352,-4.792289475781604,0.6156343901618667,-2.610309364192606
00-0027854,Sam Bradford,34,0.7352941176470589,1.6990740062532883,-0.26581599784774385,0.8421018316057357
00-0027939,Cam Newton,92,7.3478260869565215,-1.7641516588918484,0.19068755316630137,-1.5689148557709223
00-0027948,Blaine Gabbert,24,3.666666666666667,-3.9667372903991565,1.0909392866420504,-1.948210433798678
00-0027973,Andy Dalton,116,2.077586206896551,-0.12068351827032336,-0.16072001463736033,-0.1094311776524482
00-0027974,Colin Kaepernick,29,5.310344827586207,-1.7904759041138452,0.08524124139674384,-0.8671163595205034
00-0028118,Tyrod Taylor,62,5.403225806451614,0.4734186672654559,0.8852422136139957,0.3957326776979309
00-0028986,Case Keenum,60,1.3833333333333335,0.14446571382462908,0.4568253319543825,0.09866597033504289
00-0029263,Russell Wilson,166,4.096385542168674,0.02924903027791663,0.2122095574978437,0.03298637177894225
00-0029567,Nick Foles,35,1.0571428571428572,-2.497656981147367,0.06465607691501941,-1.2605093410501558
00-0029604,Kirk Cousins,159,1.4339622641509433,-0.4592750382124382,-0.19715859708515332,-0.5084965760999843
00-0029668,Andrew Luck,49,2.836734693877551,0.8932626502571233,-0.16373264921494932,0.5277443266748051
00-0029682,Brock Osweiler,32,1.75,-1.24718940280412,0.19068936694903343,-0.6675276244986809
00-0029701,Ryan Tannehill,117,2.2222222222222223,0.5354052701619031,0.33251825578240535,0.538172912251759
00-0030565,Geno Smith,77,2.6233766233766236,-1.3162173341203436,-0.2925737025549508,-1.1350363128851724
00-0031237,Teddy Bridgewater,67,2.388059701492537,0.542310458927081,0.1391757192773028,0.4553326728714176
00-0031280,Derek Carr,163,1.331288343558282,0.6963098588114682,-0.1895106618516719,0.8039981592754816
00-0031345,Jimmy Garoppolo,65,1.8153846153846154,2.6476034598695626,-0.1353326208644795,1.8992276606128229
00-0031407,Blake Bortles,70,3.3285714285714283,-2.740021378930135,0.6861785885101394,-2.0125193572759454
00-0031503,Jameis Winston,91,2.769230769230769,0.8179072019126287,0.18887555668748074,0.6528058361721928
00-0031800,Taylor Heinicke,32,3,-0.9529480359458034,0.1727752976870957,-0.5003817013554597
00-0032156,Trevor Siemian,35,1.7714285714285714,-2.1481653748617355,-0.023283691683173468,-1.2543350729416545
00-0032268,Marcus Mariota,85,4.1647058823529415,0.5853885846752053,0.4468027731120862,0.5670531620541425
00-0032950,Carson Wentz,99,3.101010101010101,-1.7448368516702781,-0.20588276493238097,-1.6182727660372336
00-0033077,Dak Prescott,137,2.7591240875912417,1.7707563470741978,0.34546354251512573,1.691829423070162
00-0033106,Jared Goff,151,1.2119205298013243,0.6523244187410147,-0.3961979675882089,0.640728077104453
00-0033119,Jacoby Brissett,66,3.2272727272727275,0.06361091304509622,0.45096419303329127,0.06131393138136167
00-0033319,Nick Mullens,22,1,3.4830672114434433,-0.07780629311994494,1.3149915088695046
