cell,bin,n,pred,emp,delta,method,threshold,position
exante_mid,"[0.3,0.4)",72,0.31822222222222224,0.2916666666666667,-0.026555555555555554,raw,20+,WR
exante_high,"[0.1,0.2)",7,0.18214285714285713,0.42857142857142855,0.2464285714285714,raw,20+,WR
exante_high,"[0.2,0.3)",458,0.26585589519650654,0.2903930131004367,0.02453711790393015,raw,20+,WR
exante_high,"[0.3,0.4)",478,0.33896966527196654,0.34518828451882844,0.006218619246861901,raw,20+,WR
exante_high,"[0.4,0.5)",82,0.4335487804878049,0.36585365853658536,-0.06769512195121952,raw,20+,WR
exante_high,"[0.5,0.6)",7,0.5182142857142857,0.5714285714285714,0.05321428571428566,raw,20+,WR
exante_low,"[0,0.1)",2166,0.03845156377456843,0.030009233610341645,-0.008442330164226786,platt,20+,WR
exante_mid,"[0,0.1)",5029,0.06847927609144766,0.061045933585205804,-0.0074333425062418565,platt,20+,WR
exante_mid,"[0.1,0.2)",4377,0.1432917211852538,0.15741375371258853,0.014122032527334738,platt,20+,WR
exante_mid,"[0.2,0.3)",1919,0.2400535718947403,0.25273579989577905,0.012682228001038742,platt,20+,WR
exante_mid,"[0.3,0.4)",213,0.3201143297760775,0.27699530516431925,-0.04311902461175826,platt,20+,WR
exante_high,"[0.1,0.2)",3,0.18392214907368512,0.6666666666666666,0.48274451759298154,platt,20+,WR
exante_high,"[0.2,0.3)",319,0.27101968685511785,0.2476489028213166,-0.023370784033801245,platt,20+,WR
exante_high,"[0.3,0.4)",591,0.34324548575856273,0.350253807106599,0.0070083213480362505,platt,20+,WR
exante_high,"[0.4,0.5)",115,0.43291583490353563,0.391304347826087,-0.04161148707744866,platt,20+,WR
exante_high,"[0.5,0.6)",4,0.5153420160754336,0.5,-0.015342016075433618,platt,20+,WR
exante_low,"[0,0.1)",2166,0.030722067195581845,0.030009233610341645,-7.128335852401996e-4,iso,20+,WR
exante_mid,"[0,0.1)",4976,0.06146532448846803,0.06229903536977492,8.3371088130689e-4,iso,20+,WR
exante_mid,"[0.1,0.2)",4640,0.15753024579005734,0.1566810344827586,-8.492113072987306e-4,iso,20+,WR
exante_mid,"[0.2,0.3)",1863,0.2548192223264725,0.26301663982823403,0.008197417501761506,iso,20+,WR
exante_mid,"[0.3,0.4)",59,0.31234833541918305,0.22033898305084745,-0.0920093523683356,iso,20+,WR
exante_high,"[0.1,0.2)",4,0.18819134232640425,0.5,0.3118086576735958,iso,20+,WR
exante_high,"[0.2,0.3)",600,0.28564286581444154,0.2916666666666667,0.006023800852225147,iso,20+,WR
exante_high,"[0.3,0.4)",287,0.3423625220136647,0.3588850174216028,0.016522495407938098,iso,20+,WR
exante_high,"[0.4,0.5)",126,0.41393367564104233,0.38095238095238093,-0.0329812946886614,iso,20+,WR
exante_high,"[0.5,0.6)",11,0.5435292777398041,0.5454545454545454,0.00192526771474133,iso,20+,WR
exante_high,"[0.6,0.7)",4,0.6195609945609946,0.25,-0.36956099456099456,iso,20+,WR
exante_low,"[0,0.1)",2166,0.0266445356675463,0.030009233610341645,0.003364697942795345,strat_platt,20+,WR
exante_mid,"[0,0.1)",4753,0.07013779034924557,0.06017252261729434,-0.009965267731951229,strat_platt,20+,WR
exante_mid,"[0.1,0.2)",4565,0.14303506569845362,0.1529025191675794,0.009867453469125792,strat_platt,20+,WR
exante_mid,"[0.2,0.3)",1987,0.24005315890224058,0.24609964771011575,0.006046488807875172,strat_platt,20+,WR
exante_mid,"[0.3,0.4)",233,0.32158825578423,0.2875536480686695,-0.034034607715560494,strat_platt,20+,WR
