player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,alpha_fold,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,it_c,p_start_sim,p_boom_sim,p_start_norm,p_boom_norm,position,med_eff,med_vol,med_tot,fantasy_points_ppr,hit_start,hit_boom
00-0029892,2024,2,5,-1.028783267736435,-5.143916338682175,0.05238104573138318,-0.1344148054824495,0.23917689694521588,-0.31914256932670537,0.42390466078947175,-0.43583434727421727,0.5405964387369836,8.68872225327251,5.257476594847738,12.119967911697284,2.419935951015745,14.957508555529277,0.11669887724946192,17.26074562929556,0.5524410187423384,0.4551243576959541,-1.4396103160085152,2.349859031400423,-3.2703244810335925,4.180573196425501,-4.431449971668343,5.341698687060251,3.5,0.1355,0.0355,0.12376075459418137,0.02320462912144997,RB,NA,NA,NA,4.9,FALSE,FALSE
00-0029892,2024,6,5,0.3386484910385511,1.6932424551927556,-0.01720998202248139,-0.20400583323631408,0.1695858691913513,-0.38873359708057,0.35431363303560715,-0.5054253750280818,0.47100541098311904,7.648488406143938,4.217242747719165,11.079734064568711,1.3797021038871726,13.917274708400704,-0.9235349698791104,16.220511782166987,0.5524410187423384,-0.13163034796889456,-1.8974813347130128,1.6342206387752236,-3.603666617339132,3.3404059214013433,-4.685810002281973,4.422549306344183,2.75,0.079,0.014,0.07849727299647705,0.011791223815909427,RB,NA,NA,NA,10.6,FALSE,FALSE
00-0029892,2025,5,5,-0.46651957561261953,-2.3325978780630976,-0.05889253329848854,-0.2456883845123212,0.12790331791534415,-0.4304161483565771,0.3126310817596,-0.547107926304089,0.4293228597071119,7.396374818737434,3.9651291603126615,10.827620477162206,1.1275885164806685,13.6651611209942,-1.1756485572856148,15.968398194760482,0.5524410187423384,-0.4355912503005965,-2.1690452982468003,1.2978627976456074,-3.8439282905924377,2.972745789991245,-4.906218282878856,4.035035782277663,0,0.058,0.0115,0.06591695457700689,0.009166421036488992,RB,NA,NA,NA,5,FALSE,FALSE
00-0030513,2023,15,5,-0.450156855257228,-2.25078427628614,-0.01880688747861416,-0.20560273869244688,0.16798896373521852,-0.3903305025367027,0.3527167275794744,-0.5070222804842146,0.4694085055269863,10.575526582176172,7.144280923751399,14.006772240600943,4.306740279919406,16.844312884432938,2.0035032061531233,19.14754995819922,0.5524410187423384,-0.1988927384580803,-2.3109081443995994,1.9131226674834387,-4.351561421118704,3.953775944202543,-5.645840223573606,5.248054746657445,2.25,0.1795,0.066,0.16174904988673572,0.03597054706577915,RB,NA,NA,NA,7.1,FALSE,FALSE
00-0030578,2023,15,8,-0.9458156705550208,-7.566525364440167,-0.09372138552183767,-0.28051723673567036,0.093074465691995,-0.46524500057992624,0.2778022295362509,-0.5819367785274381,0.3944940074837628,8.555438567247789,5.124192908823016,11.986684225672562,2.286652264991023,14.824224869504556,-0.01658480877526003,17.127461943270838,0.5524410187423384,-0.8018275562694286,-2.680450032713952,1.0767949201750944,-4.4955964097195125,2.8919412971806553,-5.646848073053642,4.043192960514784,-3.75,0.0775,0.0195,0.08262412983945489,0.013054670721317631,RB,NA,NA,NA,7,FALSE,FALSE
00-0030578,2023,16,9,0.00506210761928728,0.04555896857358554,-0.07644584904184899,-0.26324170025568167,0.1103500021719837,-0.44796946409993754,0.2950777660162396,-0.5646612420474495,0.4117695439637515,8.77803439240062,5.346788733975847,12.209280050825392,2.5092480901438545,15.046820694657386,0.2060110163775715,17.350057768423667,0.5524410187423384,-0.6710442920456164,-2.5765137592858465,1.234425175194613,-4.417600003767366,3.0755114196761326,-5.585303957647687,4.243215373556454,-0.25,0.098,0.027,0.09150561614104459,0.01516793781489884,RB,NA,NA,NA,5.300000000000001,FALSE,FALSE
00-0030578,2023,18,5,-0.36657560649327936,-1.8328780324663967,-0.13030543194057734,-0.31710128315441,0.05649041927325535,-0.5018290469986659,0.24121818311751125,-0.6185208249461778,0.35790996106502315,8.319383301276112,4.888137642851339,11.750628959700885,2.050596999019346,14.588169603532878,-0.25264007474693706,16.89140667729916,0.5524410187423384,-1.08406083455201,-2.9338691365071012,0.7657474674030817,-4.721174930805549,2.5530532617015274,-5.854768780116638,3.6866471110126176,-3.25,0.071,0.0155,0.07054552454594314,0.010397394214129496,RB,NA,NA,NA,2,FALSE,FALSE
00-0030578,2024,3,9,-0.37920883720249143,-3.412879534822423,-0.14123708560913015,-0.32803293682296286,0.04555876560470254,-0.5127607006672187,0.2302865294489584,-0.6294524786147306,0.3469783073964703,8.105862519024868,4.674616860600095,11.53710817744964,1.8370762167681016,14.374648821281632,-0.4661608569981812,16.677885895047915,0.5524410187423384,-1.1448483985353546,-2.9682763807213224,0.6785795836506128,-4.730093210390857,2.440396413320147,-5.847520753062748,3.5578239559920384,-2.5,0.0665,0.0145,0.06483039644473632,0.00918370915499957,RB,NA,NA,NA,7.800000000000001,FALSE,FALSE
00-0030578,2024,4,8,0.1191945289974683,0.9535562319797464,-0.1377457719374297,-0.3245416231512624,0.04905007927640298,-0.5092693869955183,0.23377784312065888,-0.6259611649430301,0.35046962106817076,8.449808855581049,5.018563197156276,11.881054514005822,2.181022553324283,14.718595157837814,-0.1222145204420002,17.021832231604098,0.5524410187423384,-1.1639254435357411,-3.0296987614812414,0.7018478744097594,-4.832430135584668,2.5045792485131875,-5.975807617022262,3.647956729950779,-3,0.066,0.014,0.07147771270208196,0.010634892202273141,RB,NA,NA,NA,8.2,FALSE,FALSE
00-0030578,2024,13,6,0.44952769255420816,2.697166155325249,-0.09910776087985008,-0.28590361209368276,0.0876880903339826,-0.47063137593793863,0.2724158541782385,-0.5873231538854505,0.3891076321257504,8.07389599958077,4.642650341155997,11.505141658005543,1.8051096973240048,14.342682301837536,-0.4981273764422785,16.645919375603818,0.5524410187423384,-0.8001857540952292,-2.6196376620927806,1.0192661539023224,-4.37761276371514,2.777241255524682,-5.492603700799508,3.89223219260905,0.25,0.064,0.016,0.07185145551258497,0.010576651351921642,RB,NA,NA,NA,8.3,FALSE,FALSE
00-0030578,2024,14,5,-1.373682476358954,-6.868412381794769,-0.097243689537252,-0.2840395407510847,0.08955216167658069,-0.46876730459534055,0.2742799255208366,-0.5854590825428525,0.3909717034683485,8.65541089598024,5.224165237555466,12.086656554405012,2.386624593723474,14.924197198237003,0.08338751995719029,17.227434272003286,0.5524410187423384,-0.8416840899860506,-2.7324022998332356,1.0490341198611342,-4.559235711854272,2.8758675318821703,-5.7178998454285175,4.034531665456416,0.5,0.0815,0.0175,0.08395766788485906,0.013393241244197131,RB,NA,NA,NA,-0.8999999999999999,FALSE,FALSE
00-0031376,2023,14,7,0.6660783122143974,4.662548185500782,-0.00797658383831318,-0.19477243505214584,0.1788192673755195,-0.37950019889640174,0.3635470312197754,-0.4961919768439136,0.4802388091672873,11.39858679079357,7.967341132368796,14.829832449218342,5.129800488536803,17.667373093050337,2.8265634147705203,19.97061016681662,0.5524410187423384,-0.09092178317505416,-2.2922180120706153,2.110374445720507,-4.419135434115935,4.237291867765826,-5.768127036624317,5.586283470274208,2.5,0.1995,0.068,0.19679304146081922,0.048889568015000835,RB,NA,NA,NA,12.7,FALSE,FALSE
00-0031376,2023,15,7,0.08848496993745078,0.6193947895621554,-0.05482339363145022,-0.2416192448452829,0.13197245758238246,-0.4263470086895388,0.31670022142663834,-0.5430387866370507,0.43339199937415024,9.646952246777824,6.215706588353051,13.078197905202597,3.378165944521058,15.91573854903459,1.0749288707547748,18.218975622800873,0.5524410187423384,-0.5288786603689037,-2.536344326869352,1.4785870061315451,-4.4759804577047895,3.4182231369669824,-5.706189409542084,4.648432088804276,1.25,0.118,0.027,0.11959056233430951,0.022728509114261646,RB,NA,NA,NA,16.16,TRUE,FALSE
00-0031687,2023,14,22,0.1235981338170611,2.7191589439753443,-0.03592772332699565,-0.2227235745408283,0.15086812788683704,-0.40745133838508424,0.3355958917310929,-0.5241431163325961,0.4522876696786048,17.02907822251977,13.597832564095,20.460323880944543,10.760291920263006,23.297864524776536,8.457054846496723,25.60110159854282,0.5524410187423384,-0.6118160108924573,-3.359654033097385,2.1360220113124706,-6.014646344295089,4.791014322510176,-7.698568012060575,6.474935990275659,5,0.407,0.198,0.41991771059246047,0.1721749258846395,RB,NA,NA,NA,23,TRUE,TRUE
00-0031687,2023,15,17,-0.1357139709066627,-2.307137505413266,-0.00549560361779932,-0.192291454831632,0.18130024759603336,-0.3770192186758879,0.3660280114402893,-0.4937109966233998,0.48271978938780113,17.187385081075384,13.75613942265061,20.618630739500155,10.918598778818618,23.456171383332148,8.615361705052335,25.75940845709843,0.5524410187423384,-0.09445505563206806,-2.856375756338232,2.667465645074095,-5.524974911476413,5.336064800212277,-7.217526683082362,7.028616571818226,4.25,0.435,0.2135,0.4578098328484781,0.19823381279775606,RB,NA,NA,NA,18.3,TRUE,FALSE
00-0031687,2023,16,12,0.05311680039449129,0.6374016047338955,-0.00231747605032891,-0.1891133272641616,0.18447837516350377,-0.37384109110841746,0.36920613900775967,-0.49053286905592935,0.4858979169552716,17.13800245365788,13.706756795233106,20.56924811208265,10.869216151401114,23.406788755914647,8.56597907763483,25.71002582968093,0.5524410187423384,-0.03971691023683037,-2.7972508795722235,2.717817059098563,-5.461611525028768,5.382177704555107,-7.151475033372394,7.072041212898734,4.25,0.4555,0.2315,0.4587057179102054,0.1987322443048978,RB,NA,NA,NA,12,FALSE,FALSE
00-0031687,2024,1,9,-0.31047133609082667,-2.79424202481744,-0.02251715777776321,-0.2093130089915959,0.16427869343606946,-0.39404077283585176,0.34900645728032537,-0.5107325507833637,0.46569823522783726,14.903202575169834,11.47195691674506,18.334448233594607,8.634416272913068,21.1719888774266,6.331179199146785,23.475225951192883,0.5524410187423384,-0.33557776377906623,-2.888269784622598,2.217114257064466,-5.354709812538431,4.683554284980299,-6.919042706360624,6.2478871788024914,3.75,0.352,0.1395,0.33579079296593706,0.11731843806674706,RB,NA,NA,NA,3.9000000000000004,FALSE,FALSE
00-0031687,2024,5,21,0.15109169649769597,3.1729256264516152,-0.09291073356161908,-0.27970658477545174,0.0938851176522136,-0.46443434861970767,0.27861288149646946,-0.5811261265672195,0.3953046594439814,10.198384400391198,6.767138741966425,13.629630058815971,3.929598098134433,16.467170702647962,1.6263610243681494,18.770407776414245,0.5524410187423384,-0.9475393757837188,-3.017607997672893,1.1225292461054557,-5.017731815144949,3.122653063577512,-6.286304918068792,4.391226166501354,-5.25,0.1055,0.025,0.12211404157222495,0.023785911159448135,RB,NA,NA,NA,11.8,FALSE,FALSE
