player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,report_status,practice_status
00-0030279,LAC,PHI,2025_14_PHI_LAC,0.33243550567654734,0.17895043048665238,0.24316785104795513,9.742957503975804,0.17293365768740235,0.17293365768740235,FALSE,r2_3,Keenan Allen,0.159501847989145,65.07349409569905,0.5294952989731724,12,FALSE,-0.48400078380983236,-0.03858148040930057,2025,14,NA,NA
00-0031381,LA,ARI,2025_14_LA_ARI,0.5782707946467996,0.21631694598051793,0.38748838990957263,13.069057413605856,0.1460001742183268,0.1460001742183268,FALSE,r2_3,Davante Adams,0.43227062042847286,59.255112651062305,0.715158051909313,12,FALSE,-0.30079105028830194,-0.1705428771571498,2025,14,NA,Full Participation in Practice
00-0031610,MIA,NYJ,2025_14_MIA_NYJ,1.2265510832456807,0.11763431815681452,0.2001626677523944,11.545100615855333,NA,0.20495743879264655,TRUE,r6_udfa,Darren Waller,1.0215936444530342,59.32123037306554,0.4549398784254973,12,FALSE,0.027436299803473802,0.07202271902148559,2025,14,NA,Full Participation in Practice
00-0032211,LV,DEN,2025_14_DEN_LV,0.8456715423897967,0.08036767905158057,0.15561905784351238,6.966557742833019,0.16626606225787213,0.16626606225787213,FALSE,r2_3,Tyler Lockett,0.6794054801319246,63.10230020846639,0.5425797253366724,12,FALSE,-0.3110866825149168,0.7627268418230388,2025,14,NA,NA
00-0033375,JAX,IND,2025_14_IND_JAX,0.5889301879794453,0.07807364795130065,0.10550281831276143,13.255422738510333,0.4388562819144895,0.4388562819144895,FALSE,udfa,Tim Patrick,0.1500739060649558,68.43825636479765,0.3946900726514667,12,FALSE,-0.3007581345415267,0.19939290592946518,2025,14,NA,NA
00-0033908,SEA,ATL,2025_14_SEA_ATL,0.6495923303907147,0.13051616693037635,0.15358705459355915,9.446502572305386,0.03868146633528411,0.03868146633528411,FALSE,r2_3,Cooper Kupp,0.6109108640554306,63.9118761807338,0.7325387061601231,12,FALSE,-0.4410064721049118,0.6733277354056086,2025,14,NA,Limited Participation in Practice
00-0033921,TB,NO,2025_14_NO_TB,0.22344072048393798,0.15217730907899726,0.2078625792424787,8.932836464911937,0.5727654483245225,0.5727654483245225,FALSE,r2_3,Chris Godwin Jr.,-0.3493247278405845,66.96571174338241,0.6338261483544503,12,FALSE,-0.29581829920402314,0.4445988015086012,2025,14,NA,Limited Participation in Practice
00-0034348,DEN,LV,2025_14_DEN_LV,0.3903542506947981,0.16061185246519136,0.25419237853485793,11.992136305903514,0.2751327633640827,0.2751327633640827,FALSE,r2_3,Courtland Sutton,0.11522148733071541,64.94155020130405,0.8693383172026068,12,FALSE,-0.5131413773632186,0.5294431174058009,2025,14,NA,NA
00-0034775,HOU,KC,2025_14_HOU_KC,-0.3798568317015498,0.13339768551825754,0.09122499978276255,5.371102911395321,0.17915800930165632,0.17915800930165632,FALSE,r2_3,Christian Kirk,-0.5590148410032061,71.98446697821467,0.45485035752745706,12,FALSE,-0.3578814095825479,0.15159962260909296,2025,14,NA,NA
00-0034827,CHI,GB,2025_14_CHI_GB,-0.05098890495522623,0.13674688572969068,0.2097957268949812,14.14945689355133,0.11614729012056697,0.11614729012056697,FALSE,r1,DJ Moore,-0.1671361950757932,76.4447513486276,0.8019637467327063,12,FALSE,-0.4031119853913208,0.6519371788643358,2025,14,NA,NA
00-0034960,JAX,IND,2025_14_IND_JAX,0.5891752511982549,0.18596979759939025,0.2287376462466602,9.014229755699402,0.24924081404035767,0.24924081404035767,FALSE,udfa,Jakobi Meyers,0.3399344371578972,68.43825636479765,0.7653566426966822,12,FALSE,-0.3007581345415267,0.19939290592946518,2025,14,NA,NA
