position,arm,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,floor,verdict
RB,ae_wide,1560,119,spearman,0.16267652933830543,0.14444275319355496,-0.01823377614475047,-0.07280232652592149,0.03581729694106143,0.02,0.174,NEUTRAL
RB,ae_wide,1560,119,concordance,0.5537336265417344,0.5482837747394589,-0.005449851802275529,-0.023916513024448107,0.012869976703187345,0.01,0.174,NEUTRAL
