position,comparison,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,verdict
WR,ae_vs_lagusage_pff,1406,116,spearman,0.10616457081721935,0.12961138589335136,0.023446815076132013,-0.016402700508228257,0.06059460942738065,0.02,NEUTRAL
WR,ae_vs_lagusage_pff,1406,116,concordance,0.5362801879576002,0.5431100426182931,0.006829854660692858,-0.007588310121154524,0.02046998907936039,0.01,NEUTRAL
