component,stratum,nominal,empirical,sharpness,delta
efficiency,low_opp_5_8,0.5,0.3827484421121679,0.360222781859493,-0.11725155788783209
efficiency,low_opp_5_8,0.8,0.6693998032141686,0.726414807971969,-0.13060019678583146
efficiency,low_opp_5_8,0.9,0.7999344047228599,0.9922115095177023,-0.1000655952771401
volume,low_opp_5_8,0.5,0.3765168907838636,7.210400833412594,-0.12348310921613642
volume,low_opp_5_8,0.8,0.7973105936372581,13.403841697809096,-0.002689406362741953
volume,low_opp_5_8,0.9,0.9081666120039357,17.826649358036452,0.008166612003935647
combined,low_opp_5_8,0.5,0.5044276812069531,3.145461154039477,0.004427681206953138
combined,low_opp_5_8,0.8,0.7933748770088553,6.232590970171325,-0.006625122991144705
combined,low_opp_5_8,0.9,0.8894719580190227,8.431794886419064,-0.010528041980977343
