fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse,vol_num_leaves,vol_lr,vol_min_node,vol_rounds,vol_inner_rmse
177,31,0.02,50,52,0.6707,7,0.02,100,178,2.1819
178,31,0.02,50,45,0.6673,7,0.02,20,150,2.1904
179,7,0.05,100,101,0.6668,7,0.02,50,169,2.1903
180,7,0.02,100,83,0.6665,7,0.05,10,67,2.212
181,15,0.05,50,39,0.6683,7,0.05,10,67,2.2195
182,31,0.02,50,47,0.6669,7,0.02,50,152,2.2487
183,31,0.05,50,21,0.6695,7,0.02,50,182,2.2693
184,7,0.05,100,30,0.6742,7,0.02,50,190,2.2615
185,63,0.05,100,33,0.6706,7,0.05,20,64,2.2797
186,63,0.05,100,33,0.6695,7,0.02,100,220,2.2932
187,63,0.05,20,9,0.6543,7,0.02,100,186,2.2774
188,15,0.05,20,30,0.6539,7,0.05,10,66,2.285
189,7,0.05,20,60,0.6537,7,0.02,100,205,2.2705
190,7,0.05,50,35,0.6553,7,0.05,20,62,2.2708
191,7,0.05,50,35,0.6544,7,0.05,20,62,2.2624
192,15,0.05,20,89,0.6613,7,0.02,100,196,2.2717
193,63,0.02,20,54,0.6628,7,0.02,50,224,2.2722
194,15,0.05,20,40,0.6629,7,0.02,100,257,2.2737
195,31,0.05,10,57,0.6631,7,0.02,50,221,2.2574
196,15,0.02,20,114,0.6657,7,0.02,50,221,2.2491
197,7,0.05,20,59,0.6612,7,0.02,50,226,2.2582
198,63,0.02,10,40,0.6748,7,0.05,100,119,2.2645
199,7,0.05,20,92,0.676,7,0.02,50,270,2.2375
200,7,0.02,10,174,0.6778,7,0.02,50,221,2.2352
201,7,0.02,10,174,0.677,7,0.02,50,221,2.2307
202,7,0.05,20,65,0.6756,7,0.02,100,180,2.241
203,7,0.05,100,30,0.6771,7,0.02,100,178,2.2296
204,7,0.05,50,55,0.6848,15,0.05,100,65,2.2396
