cell,bin,n,pred,emp,delta,method,threshold,position
exante_high,"[0.8,0.9)",27,0.8294736011658533,0.8148148148148148,-0.014658786351038566,iso,15+,RB
exante_high,"[0.9,1]",8,0.9982789908341779,0.75,-0.24827899083417793,iso,15+,RB
exante_low,"[0,0.1)",5358,0.015143746013587025,0.012504665920119448,-0.0026390800934675777,strat_platt,15+,RB
exante_low,"[0.1,0.2)",966,0.1207609223174478,0.11387163561076605,-0.006889286706681749,strat_platt,15+,RB
exante_mid,"[0,0.1)",104,0.08981347221817709,0.0673076923076923,-0.02250577991048479,strat_platt,15+,RB
exante_mid,"[0.1,0.2)",2162,0.16193671329761342,0.14708603145235893,-0.014850681845254482,strat_platt,15+,RB
exante_mid,"[0.2,0.3)",892,0.23005623335422046,0.25,0.019943766645779543,strat_platt,15+,RB
exante_mid,"[0.3,0.4)",68,0.33440801420142313,0.29411764705882354,-0.04029036714259959,strat_platt,15+,RB
exante_mid,"[0.4,0.5)",11,0.44559283864540217,0.5454545454545454,0.09986170680914325,strat_platt,15+,RB
exante_high,"[0.1,0.2)",33,0.18237505326280884,0.18181818181818182,-5.568714446270162e-4,strat_platt,15+,RB
exante_high,"[0.2,0.3)",1016,0.25944234107937286,0.25,-0.009442341079372862,strat_platt,15+,RB
exante_high,"[0.3,0.4)",1672,0.3471219778119196,0.34210526315789475,-0.0050167146540248675,strat_platt,15+,RB
exante_high,"[0.4,0.5)",1154,0.44768345293589595,0.464471403812825,0.016787950876929025,strat_platt,15+,RB
exante_high,"[0.5,0.6)",605,0.5413894068191905,0.547107438016529,0.005718031197338491,strat_platt,15+,RB
exante_high,"[0.6,0.7)",276,0.6454761287060138,0.5978260869565217,-0.047650041749492056,strat_platt,15+,RB
exante_high,"[0.7,0.8)",111,0.7462897763588937,0.7387387387387387,-0.007551037620154966,strat_platt,15+,RB
exante_high,"[0.8,0.9)",57,0.836318510554259,0.8070175438596491,-0.02930096669460991,strat_platt,15+,RB
exante_high,"[0.9,1]",9,0.9309967709893995,0.7777777777777778,-0.1532189932116217,strat_platt,15+,RB
exante_low,"[0,0.1)",5205,0.010924824132290461,0.010182516810758886,-7.42307321531575e-4,strat_iso,15+,RB
exante_low,"[0.1,0.2)",1057,0.11994487988047463,0.10406811731315042,-0.015876762567324204,strat_iso,15+,RB
exante_low,"[0.2,0.3)",37,0.25739538298724246,0.2702702702702703,0.012874887283027825,strat_iso,15+,RB
exante_low,"[0.3,0.4)",18,0.3358283395115628,0.2222222222222222,-0.11360611728934061,strat_iso,15+,RB
exante_low,"[0.4,0.5)",5,0.4123809523809524,0,-0.4123809523809524,strat_iso,15+,RB
exante_low,"[0.5,0.6)",2,0.5,0,-0.5,strat_iso,15+,RB
exante_mid,"[0,0.1)",151,0.058540945315060565,0.0728476821192053,0.01430673680414473,strat_iso,15+,RB
exante_mid,"[0.1,0.2)",2039,0.1595269373996321,0.1476213830308975,-0.011905554368734611,strat_iso,15+,RB
exante_mid,"[0.2,0.3)",970,0.23353195389024756,0.2422680412371134,0.008736087346865845,strat_iso,15+,RB
exante_mid,"[0.3,0.4)",34,0.3582234699564416,0.3235294117647059,-0.03469405819173571,strat_iso,15+,RB
exante_mid,"[0.4,0.5)",11,0.41660695081788773,0.09090909090909091,-0.32569785990879685,strat_iso,15+,RB
exante_mid,"[0.5,0.6)",16,0.5254832858872341,0.4375,-0.08798328588723414,strat_iso,15+,RB
exante_mid,"[0.6,0.7)",13,0.6407975508654242,0.5384615384615384,-0.10233601240388579,strat_iso,15+,RB
exante_mid,"[0.9,1]",3,1,0.3333333333333333,-0.6666666666666667,strat_iso,15+,RB
exante_high,"[0,0.1)",3,0.07975357975357976,0.3333333333333333,0.25357975357975354,strat_iso,15+,RB
exante_high,"[0.1,0.2)",77,0.17683774182896767,0.16883116883116883,-0.008006572997798833,strat_iso,15+,RB
exante_high,"[0.2,0.3)",1400,0.26265340266222703,0.2692857142857143,0.006632311623487264,strat_iso,15+,RB
exante_high,"[0.3,0.4)",1306,0.3570151412416956,0.35911179173047475,0.0020966504887791615,strat_iso,15+,RB
exante_high,"[0.4,0.5)",613,0.45348844370364577,0.43882544861337686,-0.014662995090268915,strat_iso,15+,RB
exante_high,"[0.5,0.6)",1134,0.5435987196638954,0.5308641975308642,-0.012734522133031168,strat_iso,15+,RB
exante_high,"[0.6,0.7)",210,0.6353076045496496,0.6095238095238096,-0.02578379502584005,strat_iso,15+,RB
exante_high,"[0.7,0.8)",155,0.7484918734800426,0.7225806451612903,-0.025911228318752366,strat_iso,15+,RB
exante_high,"[0.8,0.9)",27,0.8294736011658533,0.8148148148148148,-0.014658786351038566,strat_iso,15+,RB
