position,threshold,cohort,n,mae_old,mae_new,median_old,median_new,mae_delta,pct_improve,wilcox_p
WR,p75,role_change,225,2.3613936255697836,2.3085812483020844,2.198912078539788,1.9516433682174021,-0.05281237726769916,2.2364919044344416,0.4872991278454254
WR,p75,stable,648,2.4703536409962097,2.2085063307204518,2.0860495458758876,1.825401208260149,-0.2618473102757579,10.599588088536336,4.4770025565480704e-10
WR,p75,overall,873,2.4422711627935225,2.2342988352518005,2.1101473677355624,1.8388390906177534,-0.207972327541722,8.515529754027753,9.52419675703279e-9
WR,p90,role_change,87,2.5057071435197136,2.5438809454739375,2.7203205642701764,2.2051880929200767,0.03817380195422393,-1.5234742037970965,0.7206150469754127
WR,p90,stable,786,2.43524962294215,2.200032113127976,2.079037140293603,1.8149219932596794,-0.235217509814174,9.65886649147678,5.32564334326454e-10
WR,p90,overall,873,2.4422711627935225,2.2342988352518005,2.1101473677355624,1.8388390906177534,-0.207972327541722,8.515529754027753,9.52419675703279e-9
RB,p75,role_change,152,5.431815325999342,5.6083875892800945,5.370581893015187,5.441378601865033,0.17657226328075293,-3.2507044640415366,0.47030402877028527
RB,p75,stable,411,5.285358700150208,4.61541216340455,4.804815181254629,4.191613406462643,-0.6699465367456572,12.67551692804913,5.989914934250692e-12
RB,p75,overall,563,5.324899387768446,4.8834978911720155,4.9510155608868995,4.560972237969686,-0.4414014965964306,8.289386605319743,6.931929396302195e-8
RB,p90,role_change,57,5.830718357954844,6.431715810996404,5.61405989291212,5.919940513823221,0.6009974530415603,-10.307434112670183,0.0700623377906316
RB,p90,stable,506,5.2679197804549585,4.709093896251086,4.868293008370168,4.415985442248222,-0.5588258842038725,10.608094038888536,1.4753549162551734e-10
RB,p90,overall,563,5.324899387768446,4.8834978911720155,4.9510155608868995,4.560972237969686,-0.4414014965964306,8.289386605319743,6.931929396302195e-8
