stratum,n,pred_start,emp_start,d_start_pp,pred_boom,emp_boom,d_boom_pp
exante_low,2111,0.111945997157745,0.112742775935576,+0.1,0.0304561819043108,0.0416864045476078,+1.1
exante_mid,3581,0.203200363027087,0.170622731080704,-3.3,0.0719111979893884,0.0698129014241832,-0.2
exante_high,5929,0.42546854444257,0.38961038961039,-3.6,0.205235031202564,0.21622533310845,+1.1
