position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom
QB,00-0039910,Jayden Daniels,WAS,MIN,2025_14_WAS_MIN,2025,14,NA,Full Participation in Practice,20,25,8.502885471653649,2.8909305800292415,-10.55850391039034,16.340365070448826,-13.939066643692236,19.72092780375072,0.497,0.263,0.5024401385731369,0.25221943792018925,platt_vol_vegas,platt
QB,00-0036389,Jalen Hurts,PHI,LAC,2025_14_PHI_LAC,2025,14,NA,NA,20,25,7.320973351440192,2.091455724571235,-11.357978765848348,15.540890214990817,-14.738541499150243,18.92145294829271,0.409,0.196,0.43117285048563797,0.18621000823369782,platt_vol_vegas,platt
QB,00-0034857,Josh Allen,BUF,CIN,2025_14_CIN_BUF,2025,14,NA,NA,20,25,4.967942908897233,5.213975952592804,-8.235458537826778,18.66341044301239,-11.616021271128673,22.04397317631428,0.4485,0.2405,0.39383862658241386,0.22996634102848015,platt_vol_vegas,platt
QB,00-0034796,Lamar Jackson,BAL,PIT,2025_14_PIT_BAL,2025,14,NA,Full Participation in Practice,20,25,5.284114191871157,2.8270421154433545,-10.622392374976227,16.276476605862936,-14.002955108278123,19.657039339164832,0.374,0.1875,0.36637060008957584,0.17789384986801898,platt_vol_vegas,platt
QB,00-0039732,Bo Nix,DEN,LV,2025_14_DEN_LV,2025,14,NA,NA,20,25,4.261693784778409,3.9766056513316332,-9.47282883908795,17.426040141751216,-12.853391572389844,20.80660287505311,0.4115,0.2345,0.3605407552724268,0.22404625002416118,platt_vol_vegas,platt
QB,00-0033873,Patrick Mahomes,KC,HOU,2025_14_HOU_KC,2025,14,NA,Full Participation in Practice,20,25,2.3937597169339386,2.7163194204704952,-10.733115069949086,16.16575391089008,-14.113677803250983,19.546316644191972,0.3425,0.1775,0.2895095158031996,0.16812856487970754,platt_vol_vegas,platt
QB,00-0036971,Trevor Lawrence,JAX,IND,2025_14_IND_JAX,2025,14,NA,NA,20,25,3.6986156525977707,1.4152219457052322,-12.03421254471435,14.864656436124815,-15.414775278016245,18.24521916942671,0.284,0.1245,0.2890556222241271,0.11673836984294837,platt_vol_vegas,platt
QB,00-0034855,Baker Mayfield,TB,NO,2025_14_NO_TB,2025,14,NA,Full Participation in Practice,20,25,2.9584885782302828,2.0827324589410154,-11.366702031478567,15.532166949360597,-14.747264764780462,18.912729682662494,0.299,0.127,0.28130965223689847,0.1191473433906277,platt_vol_vegas,platt
QB,00-0030565,Geno Smith,LV,DEN,2025_14_DEN_LV,2025,14,NA,Full Participation in Practice,20,25,2.929464223326222,0.08899242121766271,-13.36044206920192,13.538426911637245,-16.741004802503817,16.91898964493914,0.289,0.1285,0.27609619518303763,0.12059350171680891,platt_vol_vegas,platt
QB,00-0039918,Caleb Williams,CHI,GB,2025_14_CHI_GB,2025,14,NA,NA,20,25,3.048783840077248,0.49697281015318795,-12.952461680266394,13.946407300572771,-16.33302441356829,17.326970033874666,0.2765,0.117,0.2725541934205894,0.10952132725270648,platt_vol_vegas,platt
