fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
86,7,0.02,50,333,7.3318,7,0.02,50,194,5.1375
87,15,0.02,10,198,7.2958,7,0.05,50,67,5.1291
88,15,0.05,20,89,7.3547,7,0.02,50,169,5.2187
89,7,0.05,50,115,7.3961,7,0.05,10,88,5.2172
90,15,0.05,20,90,7.4024,7,0.05,20,90,5.1981
91,31,0.02,10,131,7.3958,7,0.05,20,90,5.2548
92,31,0.05,50,50,7.2948,7,0.02,50,220,5.2194
93,15,0.02,20,175,7.1569,7,0.02,50,188,5.242
94,31,0.05,20,54,7.1618,7,0.02,50,189,5.2386
95,15,0.05,10,63,7.0865,7,0.02,50,205,5.2102
96,15,0.05,10,63,7.1085,7,0.02,50,205,5.1775
97,15,0.02,10,137,7.1853,7,0.05,50,80,5.214
98,15,0.05,50,62,7.2221,7,0.02,50,202,5.2343
99,15,0.05,20,100,7.1893,7,0.02,50,184,5.2475
100,15,0.02,50,179,7.27,7,0.02,50,206,5.3114
101,15,0.02,50,179,7.307,7,0.02,50,203,5.3071
102,15,0.05,50,58,7.4006,15,0.02,20,160,5.2643
103,15,0.02,50,175,7.2897,15,0.05,20,60,5.2459
104,7,0.05,20,108,7.2941,7,0.05,50,88,5.2381
105,15,0.02,50,236,7.2932,7,0.05,50,105,5.2458
106,15,0.02,50,170,7.3245,7,0.05,50,105,5.2822
107,15,0.05,100,80,7.2506,15,0.05,20,65,5.3296
108,31,0.05,50,46,7.2255,15,0.05,50,57,5.38
109,15,0.02,100,135,7.1768,15,0.05,50,60,5.4103
110,15,0.05,100,80,7.2125,15,0.05,50,48,5.4219
111,15,0.05,50,82,7.1599,15,0.05,50,48,5.4312
112,63,0.02,100,138,7.1472,15,0.02,50,160,5.4187
113,15,0.05,50,56,7.1489,15,0.05,50,61,5.4547
114,15,0.05,50,90,7.1958,15,0.02,50,146,5.4088
115,15,0.02,50,188,7.2979,15,0.05,50,53,5.4782
116,15,0.02,50,188,7.246,15,0.05,50,53,5.5079
117,63,0.02,100,134,7.3109,31,0.02,50,135,5.489
118,31,0.02,50,164,7.3118,15,0.02,50,136,5.5483
119,7,0.05,100,133,7.3104,31,0.02,100,145,5.5596
120,15,0.02,100,157,7.3308,15,0.05,50,83,5.6099
121,15,0.02,100,157,7.3247,15,0.05,50,86,5.5914
122,63,0.05,50,38,7.2887,15,0.05,50,49,5.6018
123,15,0.05,100,101,7.2248,15,0.02,50,235,5.5695
124,15,0.02,50,147,7.2363,15,0.02,50,149,5.5084
125,31,0.05,100,54,7.1742,15,0.02,50,140,5.5367
126,31,0.05,100,54,7.2223,31,0.02,20,134,5.5474
127,63,0.02,50,100,7.2279,15,0.02,50,185,5.5921
128,15,0.05,100,63,7.2107,15,0.05,50,71,5.6236
129,31,0.05,100,62,7.1981,15,0.05,50,79,5.6406
130,63,0.02,100,141,7.1947,15,0.02,20,130,5.685
131,63,0.02,100,141,7.2116,15,0.02,10,162,5.6919
132,31,0.05,100,75,7.2119,15,0.02,20,139,5.6871
133,15,0.02,10,190,7.1805,15,0.02,10,140,5.6713
134,15,0.05,100,80,7.1986,15,0.05,20,79,5.6746
135,63,0.05,100,44,7.1482,15,0.02,10,235,5.6405
136,63,0.05,100,44,7.126,15,0.02,10,234,5.6166
137,7,0.05,100,146,7.2141,7,0.05,10,148,5.618
138,7,0.05,100,107,7.1934,15,0.05,20,107,5.6042
139,7,0.02,20,300,7.2148,15,0.05,20,69,5.6146
140,15,0.05,10,97,7.2002,15,0.05,50,75,5.5995
141,15,0.05,10,97,7.2433,15,0.05,50,75,5.5908
142,63,0.02,20,155,7.2755,31,0.02,10,182,5.587
143,15,0.05,50,70,7.1829,15,0.05,10,93,5.6231
144,15,0.02,10,217,7.1666,15,0.05,10,79,5.5588
145,15,0.02,10,185,7.1983,31,0.05,10,69,5.538
146,15,0.02,10,185,7.1598,15,0.02,20,234,5.5184
147,7,0.02,10,284,7.1331,15,0.05,20,78,5.5097
148,7,0.05,50,90,7.1262,15,0.05,20,100,5.4522
149,15,0.02,50,184,7.1075,15,0.02,20,187,5.4702
150,31,0.05,10,51,7.0351,31,0.02,10,147,5.447
151,31,0.05,10,52,7.0042,31,0.02,10,147,5.4496
152,7,0.05,100,119,6.9928,7,0.02,20,355,5.4474
153,15,0.02,100,172,6.9967,15,0.02,20,196,5.4749
154,15,0.05,100,64,7.0665,7,0.05,10,113,5.4476
155,15,0.02,100,198,7.0839,15,0.05,10,90,5.4671
156,15,0.02,100,198,7.0935,15,0.05,10,90,5.4674
157,15,0.05,20,80,7.0582,7,0.05,50,153,5.4258
158,31,0.05,50,49,7.0245,15,0.05,10,102,5.4021
159,15,0.05,50,74,6.9627,15,0.05,10,116,5.3762
160,15,0.05,50,84,6.9332,7,0.02,50,322,5.3475
161,15,0.05,50,84,6.9208,7,0.02,50,379,5.3469
162,15,0.05,10,71,6.9064,7,0.02,20,365,5.3517
163,15,0.02,20,204,6.9045,7,0.02,20,357,5.3031
164,15,0.02,100,179,6.8835,7,0.02,20,446,5.2867
165,15,0.02,100,175,6.8426,7,0.05,20,193,5.2624
166,15,0.02,100,178,6.8573,7,0.05,20,193,5.2854
167,15,0.02,100,198,6.8389,15,0.02,50,235,5.2794
168,15,0.05,20,66,6.8573,15,0.02,10,260,5.2384
169,15,0.02,20,236,6.8552,7,0.02,20,358,5.2644
170,15,0.02,20,255,6.8465,15,0.02,10,326,5.2746
171,15,0.02,20,255,6.8541,15,0.02,10,325,5.2547
172,7,0.05,50,143,6.8319,31,0.05,20,89,5.2506
173,15,0.05,100,84,6.8068,15,0.02,50,298,5.2244
174,15,0.05,50,83,6.7879,7,0.02,50,403,5.2379
175,15,0.02,50,267,6.7734,15,0.02,10,375,5.2299
176,15,0.02,50,267,6.7883,15,0.02,10,375,5.2358
177,7,0.02,100,333,6.7397,7,0.02,50,459,5.2243
178,15,0.02,100,236,6.6984,7,0.02,20,424,5.238
179,15,0.02,20,265,6.67,7,0.02,20,484,5.1929
180,15,0.02,50,255,6.6682,7,0.02,20,485,5.1866
181,15,0.02,50,255,6.7091,7,0.02,20,485,5.1901
182,31,0.02,100,199,6.6806,15,0.05,10,137,5.1986
183,7,0.02,50,488,6.7049,31,0.05,10,123,5.2101
184,7,0.05,100,151,6.6889,15,0.02,20,371,5.2147
185,7,0.02,50,402,6.7022,7,0.02,50,445,5.1916
186,7,0.02,50,402,6.687,7,0.02,50,445,5.2092
187,15,0.02,50,295,6.6845,7,0.05,50,278,5.2581
188,7,0.05,100,230,6.6875,15,0.02,50,270,5.2643
189,15,0.02,10,275,6.7122,15,0.05,10,152,5.2478
190,15,0.02,50,284,6.7393,7,0.05,20,224,5.2383
191,15,0.02,50,284,6.7632,31,0.02,10,258,5.2291
192,31,0.02,50,264,6.7212,15,0.02,10,276,5.1953
193,15,0.02,50,258,6.7136,15,0.05,20,99,5.2139
194,7,0.05,50,184,6.6852,7,0.02,50,410,5.2022
195,7,0.05,100,191,6.7114,7,0.05,20,187,5.1911
196,7,0.05,100,191,6.6926,7,0.05,20,187,5.1922
197,15,0.05,50,114,6.7467,7,0.02,10,500,5.1971
198,7,0.05,100,154,6.7667,7,0.05,20,215,5.2074
199,15,0.02,100,260,6.8392,7,0.05,10,247,5.2118
200,15,0.05,50,127,6.8168,7,0.05,20,239,5.2026
201,15,0.05,50,127,6.8187,7,0.05,20,239,5.2004
202,63,0.02,10,178,6.8482,7,0.05,10,215,5.1904
203,15,0.05,100,114,6.888,15,0.05,10,117,5.1822
204,31,0.02,20,208,6.9117,7,0.02,10,405,5.2177
