axis,position,bucket,n,mean_tot_resid,se,mean_vol_resid
cohort,QB,rookie_all,642,-1.0310187131206392,0.4321220085132047,-0.7099329356262529
cohort,QB,veteran,5587,-0.26535365040801795,0.13961426061057688,-0.5449018081817643
cohort,RB,rookie_all,1891,0.26357289920900445,0.08540256482253715,-0.10443920735119795
cohort,RB,veteran,9730,0.2997827203860665,0.03944437051805212,-0.29936671456315256
cohort,TE,rookie_all,673,0.016677907073776362,0.136982799284201,-0.11575047680520899
cohort,TE,veteran,5924,0.07381921224144221,0.046688090048765264,-0.04636760996855078
cohort,WR,rookie_all,2217,0.21683349609634656,0.0879873865976422,-0.15952725531964532
cohort,WR,veteran,15006,0.16293470163456764,0.03539243037692303,-0.06876489916874383
tier,QB,day2,95,-1.8564057088462917,1.1207046539863461,-0.31600212342131634
tier,QB,day3_udfa,130,-2.6524654604931865,0.9707336433991928,-1.8785750925968774
tier,QB,r1,417,-0.33749391275524715,0.5326540680577987,-0.435352472204881
tier,RB,day2,580,0.5166552478779175,0.16817778784254184,0.22713550609106825
tier,RB,day3_udfa,1102,0.1682330816289879,0.10076610921875255,-0.5291009885939274
tier,RB,r1,209,0.06393996497555342,0.31060048277769714,1.2145270564429362
tier,TE,day2,265,0.0883595438897691,0.20647028239788434,-0.2000134347390831
tier,TE,day3_udfa,261,-0.14216047927094574,0.20778850886634906,-0.2006995845757857
tier,TE,r1,147,0.1694750844869361,0.34554299563506524,0.18698014211041758
tier,WR,day2,828,0.36751166675136715,0.13635539303369903,-0.2888771518618629
tier,WR,day3_udfa,804,0.056858556297900056,0.13792946781720908,-0.15084799760584244
tier,WR,r1,585,0.22342892566146372,0.194925812320937,0.01162418251806184
phase,QB,w1_4,104,-1.3360715461270045,1.0981363190769147,-0.2791058936847247
phase,QB,w5plus,538,-0.9720493922420844,0.47034875627324507,-0.7932154864848385
phase,RB,w1_4,381,0.3100155428490968,0.18496036616338477,-0.5772078137822307
phase,RB,w5plus,1510,0.25185458978723263,0.09625967669440186,0.014848765529745562
phase,TE,w1_4,113,-0.03193137359427418,0.2862952186812209,-0.6190542823317016
phase,TE,w5plus,560,0.026486565494293894,0.1542542652767235,-0.014190958904327694
phase,WR,w1_4,415,-0.057592079947317985,0.1969104250498917,-0.39110555806476727
phase,WR,w5plus,1802,0.2800336148855366,0.09825963339839348,-0.10619484930453667
