content_tier,content_rank,position,player_id,player_name,player_disp,posteam,defteam,model_rank,ecr_rank,rank_gap,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol,content_score
leverage,1,WR,00-0040667,Matthew Golden,Matthew Golden,GB,ATL,7,22,15,48,31,8,NA,0.4799806390369072,0.30948979591836734,7.657450732299554,0.47148979591836737
leverage,2,TE,00-0034753,Mark Andrews,Mark Andrews,BAL,DAL,4,14,10,54,30,6,NA,0.5357441144532014,0.30194281143574714,6.409066855279979,0.40194281143574717
leverage,3,RB,00-0040715,Cam Skattebo,Cam Skattebo,NYG,TEN,11,20,9,49,25,18,NA,0.4890049481566253,0.24908669911432577,17.891649410610032,0.34908669911432577
leverage,4,RB,00-0039040,De'Von Achane,De'Von Achane,MIA,KC,4,12,8,66,39,24,NA,0.6626558037397924,0.3947965394186693,24.055181617789355,0.47479653941866934
leverage,5,RB,00-0037228,Jaylen Warren,Jaylen Warren,PIT,CIN,14,22,8,40,22,17,NA,0.4037451791239768,0.21770966095315863,17.0065768194251,0.31770966095315867
leverage,6,RB,00-0037840,Kyren Williams,Kyren Williams,LA,DEN,8,15,7,58,34,17,NA,0.583408616617257,0.33625208665069944,16.818315073542077,0.40625208665069945
leverage,7,RB,00-0036275,D'Andre Swift,D'Andre Swift,CHI,PHI,10,17,7,50,26,18,NA,0.4971327303469708,0.25555624866847293,17.916627486884188,0.33355624866847294
leverage,8,WR,00-0035640,DK Metcalf,DK Metcalf,PIT,CIN,20,27,7,39,22,9,NA,0.38924440836414714,0.22264875239923224,8.789353966953087,0.3106487523992323
leverage,9,RB,00-0036223,Jonathan Taylor,Jonathan Taylor,IND,HOU,1,7,6,74,49,26,NA,0.7439745775142412,0.4926300045635692,25.650289926076,0.5526300045635693
leverage,10,TE,00-0033288,George Kittle,George Kittle,SF,ARI,2,8,6,56,39,7,NA,0.5567254049392862,0.39265772470844007,6.715100853499497,0.45265772470844007
leverage,11,WR,00-0040124,Tetairoa McMillan,Tetairoa McMillan,CAR,CLE,12,18,6,43,22,8,NA,0.4335833911731746,0.22448979591836735,8.338430882624264,0.30648979591836734
leverage,12,TE,00-0033090,Hunter Henry,Hunter Henry,NE,JAX,13,18,5,35,19,6,NA,0.34702042702128977,0.1855096134964065,6.333590635551697,0.2455096134964065
leverage,13,RB,00-0037248,James Cook,James Cook,BUF,LAC,5,9,4,66,40,21,NA,0.6563931382609587,0.40261806080308904,21.07148676253814,0.442618060803089
leverage,14,RB,00-0040719,Bhayshul Tuten,Bhayshul Tuten,JAX,NE,20,24,4,32,19,16,NA,0.31821298782207164,0.18922145938290796,15.900917637332755,0.23322145938290798
leverage,15,TE,00-0040128,Tyler Warren,Tyler Warren,IND,HOU,6,9,3,47,29,7,NA,0.4746977205532709,0.28624320738997955,6.772825983814506,0.3302432073899796
leverage,16,TE,00-0040663,Harold Fannin Jr.,Harold Fannin Jr.,CLE,CAR,10,13,3,38,19,7,NA,0.37610817043431555,0.1947367414234626,6.732096849018495,0.24073674142346257
caution,1,WR,00-0031408,Mike Evans,Mike Evans,SF,ARI,37,16,-21,30,14,7,NA,0.30182848985032046,0.14439140811455847,6.73749736963518,0.14439140811455847
caution,2,WR,00-0038606,Parker Washington,Parker Washington,JAX,NE,27,9,-18,36,18,7,NA,0.3553712092530783,0.1782477341389728,7.396167601993896,0.1902477341389728
caution,3,WR,00-0039337,Malik Nabers,Malik Nabers,NYG,TEN,30,14,-16,35,18,8,NA,0.3470411650211117,0.1778975741239892,8.044241354109216,0.18789757412398922
caution,4,TE,00-0038996,Tucker Kraft,Tucker Kraft,GB,ATL,22,7,-15,26,13,5,NA,0.2626416099391112,0.12939532908455895,5.474868952894236,0.12939532908455895
caution,5,WR,00-0036613,Jaylen Waddle,Jaylen Waddle,DEN,LA,29,15,-14,35,18,8,NA,0.3506850911187548,0.1778975741239892,7.893012767706258,0.18789757412398922
caution,6,WR,00-0039491,Jalen Coker,Jalen Coker,CAR,CLE,34,21,-13,33,18,7,NA,0.33403367428615366,0.1778975741239892,7.06520008018141,0.18389757412398922
caution,7,WR,00-0036410,Tee Higgins,Tee Higgins,CIN,PIT,32,20,-12,34,18,7,NA,0.3423572513588433,0.1778975741239892,7.1514779072356465,0.18589757412398922
caution,8,RB,00-0038134,Kenneth Walker III,Kenneth Walker III,KC,MIA,13,2,-11,43,17,20,NA,0.428453413645761,0.17197076268070677,20.39025954687248,0.19397076268070676
caution,9,WR,00-0035719,Deebo Samuel Sr.,Deebo Samuel Sr.,SF,ARI,35,25,-10,32,18,7,NA,0.32467530305632375,0.1778975741239892,7.140161395168055,0.18189757412398921
caution,10,RB,00-0038542,Bijan Robinson,Bijan Robinson,ATL,GB,12,3,-9,49,25,18,NA,0.485989488704102,0.2496288899873179,17.962895836749848,0.25962888998731787
caution,11,TE,00-0040189,Oronde Gadsden II,Oronde Gadsden II,LAC,BUF,25,16,-9,26,15,4,NA,0.25547715543954336,0.14538724910356465,4.466831356270774,0.14538724910356465
caution,12,WR,00-0039890,Adonai Mitchell,Adonai Mitchell,NYJ,DET,38,29,-9,30,14,7,NA,0.29560570360590827,0.14439140811455847,7.3277380149084355,0.14439140811455847
caution,13,TE,00-0038041,Jake Ferguson,Jake Ferguson,DAL,BAL,24,15,-9,26,8,5,NA,0.25867876763905306,0.08017595960863448,5.179804542817966,0.08017595960863448
caution,14,TE,00-0036040,Juwan Johnson,Juwan Johnson,NO,LV,19,11,-8,28,11,6,NA,0.2828596811967576,0.10807762304453104,5.654280515813436,0.10807762304453104
caution,15,WR,00-0036900,Ja'Marr Chase,Ja'Marr Chase,CIN,PIT,10,3,-7,46,29,9,NA,0.4573647784864006,0.2911392405063291,9.25995981856194,0.3071392405063291
caution,16,RB,00-0038120,Breece Hall,Breece Hall,NYJ,DET,18,11,-7,35,14,19,NA,0.34786859564807193,0.14105323330837896,18.67095011271153,0.15105323330837897
caution,17,TE,00-0037838,Isaiah Likely,Isaiah Likely,NYG,TEN,17,10,-7,30,13,6,NA,0.2990521735216924,0.13431055578647547,6.118160479794108,0.13431055578647547
caution,18,WR,00-0037740,Garrett Wilson,Garrett Wilson,NYJ,DET,13,7,-6,43,28,10,NA,0.4301211537152748,0.27710843373493976,9.582587574725274,0.2991084337349398
caution,19,TE,00-0039338,Brock Bowers,Brock Bowers,LV,NO,9,3,-6,42,23,6,NA,0.4151865552438962,0.23077171364173055,6.344872571585721,0.25477171364173057
caution,20,TE,00-0034383,Dalton Schultz,Dalton Schultz,HOU,IND,12,6,-6,35,14,6,NA,0.3486807426933369,0.14249826463702156,6.320764960793342,0.15249826463702157
caution,21,RB,00-0033280,Christian McCaffrey,Christian McCaffrey,SF,ARI,9,4,-5,51,27,16,NA,0.5098036440146371,0.2698338139798299,15.826537389177082,0.2758338139798299
