position,threshold,n,pearson_r,mean_diff_pp,mad_pp,max_abs_pp,n_over_flag,pass_r,pass_mean,pass_rows
QB,boom,28,0.9734658432359794,-0.030746146926998542,1.0618031407561699,4.047729691777261,0,TRUE,TRUE,TRUE
QB,start,28,0.9841931330129141,-0.037854150255480626,1.2130103821406903,6.049959162755264,0,TRUE,TRUE,TRUE
RB,boom,51,0.9867166574392001,0.045098039215686184,1.2529411764705878,4.699999999999998,0,TRUE,TRUE,TRUE
RB,start,51,0.9899519336780571,0.009803921568627662,1.8137254901960786,7.900000000000001,0,TRUE,TRUE,TRUE
TE,boom,30,0.9691964558121273,-0.026666666666666852,1.7499999999999998,4.749999999999998,0,TRUE,TRUE,TRUE
TE,start,30,0.9571603003294942,-0.38333333333333364,3.0633333333333335,7.800000000000002,0,TRUE,TRUE,TRUE
WR,boom,77,0.9067963711344599,0.4762916414192975,2.287711736526421,13.148148148148147,2,FALSE,TRUE,FALSE
WR,start,77,0.9433714013395368,-0.46038961038961035,2.6175324675324676,14.750000000000002,1,FALSE,TRUE,FALSE
