position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,team_spread,implied_total,pred_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,med_vol,med_tot,pred_pass_eff,lo_50_pass_eff,hi_50_pass_eff,lo_80_pass_eff,hi_80_pass_eff,lo_90_pass_eff,hi_90_pass_eff,pred_db,lo_50_db,hi_50_db,lo_80_db,hi_80_db,lo_90_db,hi_90_db,pred_rush,lo_50_rush,hi_50_rush,lo_80_rush,hi_80_rush,lo_90_rush,hi_90_rush,pred_carry,lo_50_carry,hi_50_carry,lo_80_carry,hi_80_carry,lo_90_carry,hi_90_carry
RB,00-0032764,Derrick Henry,BAL,PIT,2025_14_PIT_BAL,2025,14,NA,NA,NA,NA,-0.04388069142987,18.8648242135544,15.4335785551296,22.2960698719791,12.5960379112976,25.1336105158111,10.2928008375313,27.4368475895774,-0.827801530193718,-3.73552801725298,2.07992495686554,-6.54500637945045,4.88940331906302,-8.32691040578958,6.67130734540214,0.4775,0.249,0.4775,0.249,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033293,Aaron Jones,MIN,WAS,2025_14_WAS_MIN,2025,14,NA,Limited Participation in Practice,NA,NA,-0.0410599921506065,16.6260632935462,13.1948176351214,20.057308951971,10.3572769912894,22.894849595803,8.05403991752316,25.1980866695693,-0.682666028328494,-3.39438573256307,2.02905367590608,-6.01448011465076,4.64914805799377,-7.67626786559071,6.31093580893372,0.3725,0.169,0.3725,0.169,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033526,Samaje Perine,CIN,BUF,2025_14_CIN_BUF,2025,14,NA,NA,NA,NA,-0.0630903154715085,10.6767418825845,7.24549622415975,14.1079875410093,4.40795558032776,16.9455281848413,2.10471850656147,19.2487652586076,-0.673599013580125,-2.79675737275197,1.44955934559172,-4.8481770974609,3.50097907030066,-6.14928449033337,4.80208646317312,0.1515,0.042,0.1515,0.042,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033923,Kareem Hunt,KC,HOU,2025_14_HOU_KC,2025,14,NA,NA,NA,NA,-0.0765179456877681,19.2446605544768,15.813414896052,22.6759062129016,12.9758742522201,25.5134468567336,10.6726371784538,27.8166839304999,-1.47256189108699,-4.41248726480161,1.46736348262763,-7.25307655704965,4.30795277487567,-9.05471260633873,6.10958882416475,0.461,0.2345,0.461,0.2345,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0034844,Saquon Barkley,PHI,LAC,2025_14_PHI_LAC,2025,14,NA,NA,NA,NA,-0.058083105393255,22.146112367365,18.7148667089402,25.5773580257898,15.8773260651082,28.4148986696218,13.5740889913419,30.718135743388,-1.28631497868453,-4.46339505951121,1.89076510214215,-7.53312592373648,4.96049596636743,-9.48009439316513,6.90746443579607,0.5715,0.319,0.5715,0.319,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035261,Tony Pollard,TEN,CLE,2025_14_TEN_CLE,2025,14,NA,Full Participation in Practice,NA,NA,-0.140240030850029,17.2679431146532,13.8366974562285,20.699188773078,10.9991568123965,23.53672941691,8.6959197386302,25.8399664906763,-2.42165687511551,-5.19072157580714,0.347407825576111,-7.86622334488374,3.02290959465271,-9.56315308064654,4.71983933041551,0.3335,0.135,0.3335,0.135,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035537,Ty Johnson,BUF,CIN,2025_14_CIN_BUF,2025,14,NA,NA,NA,NA,0.018697166334098,8.91115679556616,5.47991113714139,12.3424024539909,2.6423704933094,15.1799430978229,0.339133419543113,17.4831801715892,0.166613380835929,-1.75476630441985,2.0879930660917,-3.61122518228056,3.94445194395241,-4.78867918716052,5.12190594883238,0.113,0.023,0.113,0.023,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035685,David Montgomery,DET,DAL,2025_14_DAL_DET,2025,14,NA,NA,NA,NA,-0.0713647494627158,12.0358147692434,8.60456911081858,15.4670604276681,5.76702846698659,18.3046010715001,3.4637913932203,20.6078381452664,-0.858932905586706,-3.12738506237823,1.40951925120482,-5.31918930481628,3.60132349364287,-6.70933519705684,4.99146938588343,0.194,0.065,0.194,0.065,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035700,Josh Jacobs,GB,CHI,2025_14_CHI_GB,2025,14,NA,Full Participation in Practice,NA,NA,-0.0630866468542092,17.5159655879188,14.0847199294941,20.9472112463436,11.2471792856621,23.7847518901756,8.94394221189579,26.0879889639419,-1.10502353535552,-3.89599009188369,1.68594302117265,-6.5926536828643,4.38260661215327,-8.30300524673684,6.0929581760258,0.3965,0.1785,0.3965,0.1785,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0036223,Jonathan Taylor,IND,JAX,2025_14_IND_JAX,2025,14,NA,NA,NA,NA,-0.0738967930074635,25.2572448297994,21.8259991713746,28.6884904882242,18.9884585275426,31.5260311320562,16.6852214537764,33.8292682058225,-1.86642939312651,-5.28280944162986,1.54995065537683,-8.58375465295905,4.85089586670602,-10.6773701945259,6.94451140827284,0.679,0.415,0.679,0.415,raw,raw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
