position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,team_spread,implied_total,pred_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,star_bucket,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,med_vol,med_tot,pred_pass_eff,lo_50_pass_eff,hi_50_pass_eff,lo_80_pass_eff,hi_80_pass_eff,lo_90_pass_eff,hi_90_pass_eff,pred_db,lo_50_db,hi_50_db,lo_80_db,hi_80_db,lo_90_db,hi_90_db,pred_rush,lo_50_rush,hi_50_rush,lo_80_rush,hi_80_rush,lo_90_rush,hi_90_rush,pred_carry,lo_50_carry,hi_50_carry,lo_80_carry,hi_80_carry,lo_90_carry,hi_90_carry
RB,00-0038611,Chris Rodriguez Jr.,WAS,MIN,2025_14_WAS_MIN,2025,14,NA,NA,-1.5,20,-0.080243673813808,12.5899030860496,9.15865742762479,16.0211487444743,6.3211167837928,18.8586893883063,4.01787971002651,21.1619264620726,-1.01026007658442,-3.33582318234113,1.31530302917229,-5.58280867242277,3.56228851925394,-7.00795312122015,4.98743296805132,0.1955,0.067,b3,0.155773542171766,0.0634802838739001,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0038794,Jaleel McLaughlin,DEN,LV,2025_14_DEN_LV,2025,14,NA,NA,7.5,24,-0.0732915104664045,9.9694332187172,6.53818756029243,13.400678877142,3.70064691646044,16.238219520974,1.39740984269415,18.5414565947403,-0.730674819093732,-2.77493971870362,1.31359008051615,-4.75013168659131,3.28878204840385,-6.00289183158096,4.5415421933935,0.127,0.0345,b3,0.109145148295302,0.0376988764506992,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0038951,Sean Tucker,TB,NO,2025_14_NO_TB,2025,14,NA,NA,7.5,25,-0.0178028262569418,11.159367507832,7.72812184940725,14.5906131662568,4.89058120557526,17.4281538100888,2.58734413180898,19.7313908838551,-0.198668280879295,-2.37432172106265,1.97698515930406,-4.47646278936425,4.07912622760566,-5.80974005675336,5.41240349499477,0.1855,0.062,b3,0.149086964757668,0.0597171679293652,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039032,Tyjae Spears,TEN,CLE,2025_14_TEN_CLE,2025,14,NA,NA,-3.5,15,-0.0900266459140571,10.8527297808092,7.42148412238443,14.283975439234,4.58394347855244,17.121516083066,2.28070640478616,19.4247531568323,-0.977034861177853,-3.1194560514408,1.16538632908509,-5.18948774236663,3.23541802001092,-6.50239972429955,4.54833000194384,0.1085,0.0295,b3,0.0960516765224234,0.033351286162395,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039040,De'Von Achane,MIA,NYJ,2025_14_MIA_NYJ,2025,14,NA,NA,2.5,22,-0.0564178376278593,20.6868723786555,17.2556267202307,24.1181180370803,14.4180860763987,26.9556586809123,12.1148490026324,29.2588957546785,-1.16710860688723,-4.22677753319667,1.8925603194222,-7.18306440619207,4.84884719241761,-9.05808133206856,6.7238641182941,0.4955,0.2695,b1,0.59431799294188,0.355956630601773,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039139,Jahmyr Gibbs,DET,DAL,2025_14_DAL_DET,2025,14,NA,NA,3.5,28.5,-0.0176395757930668,19.0342743968776,15.6030287384528,22.4655200553024,12.7654880946208,25.3030606991344,10.4622510208546,27.6062977729007,-0.335756525889753,-3.2578828866567,2.58636983487719,-6.0812745704063,5.4097615186268,-7.87200308317931,7.20049003139981,0.529,0.2735,b1,0.619845401399982,0.359606762385696,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039165,Zach Charbonnet,SEA,ATL,2025_14_SEA_ATL,2025,14,NA,NA,7.5,25.5,0.0294807317854647,12.6481539076958,9.21690824927107,16.0793995661206,6.37936760543908,18.9169402099526,4.0761305316728,21.2201772837189,0.372876832934058,-1.95862433613867,2.70437800200678,-4.21134725044985,4.95710091631796,-5.64013064499352,6.38588431086163,0.2635,0.098,b2,0.245367062913922,0.088718616166256,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039361,Bucky Irving,TB,NO,2025_14_NO_TB,2025,14,NA,Full Participation in Practice,7.5,25,-0.033942729666915,18.7630004677562,15.3317548093314,22.1942461261809,12.4942141654994,25.0317867700129,10.1909770917331,27.3350238437792,-0.636867452617248,-3.53591310678185,2.26217820154735,-6.33700394962634,5.06326904439184,-8.11358821457944,6.83985330934495,0.471,0.2445,b1,0.57530507642125,0.332730758758583,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039391,Kimani Vidal,LAC,PHI,2025_14_PHI_LAC,2025,14,NA,NA,-2.5,19,-0.106294832376201,18.2220626373382,14.7908169789134,21.653308295763,11.9532763350814,24.490848939595,9.65003926131516,26.7940860133613,-1.93691109358449,-4.78948186087057,0.915659673701588,-7.54566814008025,3.67184595291127,-9.29377180741833,5.41994962024934,0.373,0.159,b3,0.273785182864578,0.126633149071988,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039738,Blake Corum,LA,ARI,2025_14_LA_ARI,2025,14,NA,NA,7.5,27.5,0.00879260910061571,11.4928840960527,8.06163843762788,14.9241297544774,5.22409779379589,17.7616703983094,2.9208607200296,20.0649074720757,0.101052437295274,-2.11028558168585,2.3123904562764,-4.24690549538183,4.44901036997238,-5.60205087688722,5.80415575147777,0.2185,0.084,b3,0.171064524704451,0.0759018509022687,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0039874,Jaylen Wright,MIA,NYJ,2025_14_MIA_NYJ,2025,14,NA,NA,2.5,22,-0.072988984995826,8.36629519414019,4.93504953571541,11.797540852565,2.09750889188342,14.635081496397,-0.205728181882861,16.9383185701632,-0.610647394395749,-2.46621085879085,1.24491606999935,-4.25907735641476,3.03778256762326,-5.39619806671836,4.17490327792686,0.0815,0.02,b3,0.0762752099714429,0.0246101145801613,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0040122,Ashton Jeanty,LV,DEN,2025_14_DEN_LV,2025,14,NA,NA,-7.5,16.5,-0.113587449364734,24.3346184362079,20.9033727777831,27.7658640946327,18.0658321339512,30.6034047384647,15.7625950601849,32.906641812231,-2.7641072394329,-6.11097026247669,0.582755783610903,-9.34474733412626,3.81653285526047,-11.3957616653947,5.86754718652888,0.5845,0.323,b1,0.661183998217328,0.403483033002674,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
