position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,p_start_recal,pred_vol
RB,1,00-0036425,DeeJay Dallas,DeeJay Dallas,MIN,TB,18,12,9,0.1821251054469719,9.394900289240503
RB,2,00-0036893,Najee Harris,Najee Harris,NYG,TEN,18,12,10,0.1785379549453693,9.975379517618222
RB,3,00-0035537,Ty Johnson,Ty Johnson,BUF,LAC,12,5,10,0.12368972792363882,9.98776136016058
RB,4,00-0041013,Emmett Johnson,Emmett Johnson,KC,MIA,11,4,9,0.11333111802696196,8.767737789752603
RB,5,00-0034975,Justice Hill,Justice Hill,BAL,DAL,11,3,8,0.10844485425448548,8.456804321953804
RB,6,00-0041081,Max Bredeson,Max Bredeson,MIN,TB,10,4,10,0.10493140230102012,9.915159386891958
RB,7,00-0040177,Jordan James,Jordan James,SF,ARI,10,4,9,0.10387332240302244,9.047428948547957
RB,8,00-0039364,Sione Vaki,Sione Vaki,DET,NYJ,10,3,8,0.09962111234266507,8.319121751622422
RB,9,00-0039796,Rasheen Ali,Rasheen Ali,BAL,DAL,10,3,8,0.09819628428531586,8.32141248676258
RB,10,00-0035125,Alec Ingold,Alec Ingold,LAC,BUF,10,3,9,0.09748241246899356,9.402884240328191
RB,11,00-0038454,Keaton Mitchell,Keaton Mitchell,LAC,BUF,9,3,9,0.09209563714725072,9.402402374549878
RB,12,00-0039603,British Brooks,British Brooks,HOU,IND,9,3,9,0.09209563714725072,9.174134606459855
RB,13,00-0040208,Tahj Brooks,Tahj Brooks,CIN,PIT,9,3,10,0.09209563714725072,9.659297355956877
RB,14,00-0038488,Brady Russell,Brady Russell,SEA,WAS,9,3,8,0.09101097357077824,7.998556071609066
RB,15,00-0036842,Kene Nwangwu,Kene Nwangwu,NYJ,DET,9,3,9,0.08883385629631631,9.437940715352344
RB,16,00-0040179,DJ Giddens,DJ Giddens,IND,HOU,9,3,9,0.08883385629631631,9.497427537113946
RB,17,00-0039471,Frank Gore Jr.,Frank Gore Jr.,BUF,LAC,9,3,8,0.08554772146900073,8.084785248771997
RB,18,00-0038489,Ben VanSumeren,Ben VanSumeren,KC,MIA,9,3,8,0.08554772146900073,7.872093550703671
RB,19,00-0040078,Brashard Smith,Brashard Smith,KC,MIA,9,3,8,0.08518101173531521,8.328544882570407
RB,20,00-0029892,Kyle Juszczyk,Kyle Juszczyk,SF,ARI,8,2,7,0.08481397545353578,7.312093980014138
RB,21,00-0036265,AJ Dillon,AJ Dillon,CAR,CLE,8,3,9,0.08334250897667267,8.872931759070665
RB,22,00-0038794,Jaleel McLaughlin,Jaleel McLaughlin,CLE,CAR,8,3,9,0.08334250897667267,8.764013550306418
RB,23,00-0033526,Samaje Perine,Samaje Perine,CIN,PIT,8,2,8,0.0811250270265028,8.493503085120398
RB,24,00-0039798,Isaiah Davis,Isaiah Davis,NYJ,DET,8,2,9,0.0803830282729018,8.746100671717327
RB,25,00-0038896,Jacob Saylors,Jacob Saylors,DET,NYJ,8,2,8,0.07889462226460116,7.872093550703671
RB,26,00-0040886,Nicholas Singleton,Nicholas Singleton,TEN,NYG,8,3,9,0.07852158318829879,8.73809587548069
RB,27,00-0032104,Ameer Abdullah,Ameer Abdullah,JAX,NE,8,2,8,0.07814816235603347,8.219103054694317
RB,28,00-0038738,Hunter Luepke,Hunter Luepke,DAL,BAL,8,2,8,0.07777435632993358,8.05578275041111
