band_start,n,stated,hit_rate,delta_pp
under 10%,37,0.08801757649932954,0,-8.8
10-25%,659,0.15306803914038175,0.024279210925644917,-12.9
25-50%,128,0.3367287854176065,0.2109375,-12.6
50%+,15,0.5491315959431724,0.6666666666666666,11.8
