player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0039894,KC,DEN,2026_01_DEN_KC,roster_cold,NA,NA,NA,NA,0.20312345710416108,0.20312345710416108,FALSE,r1,0.13904761904761906,0.25638240086909286,Xavier Worthy,NA,NA,66.17647058823529,NA,0.7057142857142857,0,TRUE,-0.4174581918582657,0.206524597834003,2026,1,3,22.75,NA,NA
00-0039901,BUF,HOU,2026_01_BUF_HOU,roster_cold,NA,NA,NA,NA,0.1998570550995045,0.1998570550995045,FALSE,r2_3,0.16358839050131926,0.26734279918864096,Keon Coleman,NA,NA,66.3529411764706,NA,0.6523076923076924,0,TRUE,-0.5580719650261475,0.25789880703572854,2026,1,1.5,23,NA,NA
00-0039915,LAC,ARI,2026_01_ARI_LAC,roster_cold,NA,NA,NA,NA,0.06825686324993291,0.06825686324993291,FALSE,r2_3,0.18244406196213425,0.25198747289809686,Ladd McConkey,NA,NA,68.41176470588235,NA,0.775,0,TRUE,-0.1840464797853476,0.3019310345155143,2026,1,10.5,28.5,NA,NA
00-0039919,CHI,CAR,2026_01_CHI_CAR,roster_cold,NA,NA,NA,NA,0.2295903415693454,0.2295903415693454,FALSE,r1,0.21462264150943397,0.36008052919183203,Rome Odunze,NA,NA,69.3529411764706,NA,0.8808333333333334,0,TRUE,-0.21347679484713694,0.3770474251028468,2026,1,2.5,25,NA,NA
00-0039920,CLE,JAX,2026_01_CLE_JAX,roster_cold,NA,NA,NA,NA,-0.23027252612934848,-0.23027252612934848,FALSE,r2_3,0.05982905982905983,-0.004985754985754986,Malachi Corley,NA,NA,65.70588235294117,NA,0.24923076923076923,0,TRUE,-0.4603925952192231,-0.07585504836003418,2026,1,-7.5,16.5,NA,NA
00-0040024,PHI,WAS,2026_01_WAS_PHI,roster_cold,NA,NA,NA,NA,0.3533735834141474,0.3533735834141474,FALSE,udfa,0.06432748538011696,0.07394843962008141,Darius Cooper,NA,NA,63.411764705882355,NA,0.25846153846153846,0,TRUE,-0.09967817809184196,0.3053970941150707,2026,1,5.5,25,NA,NA
00-0040075,BAL,IND,2026_01_BAL_IND,roster_cold,NA,NA,NA,NA,NA,0.22723257329343122,TRUE,r6_udfa,0.09200350211586167,0.13331696833200582,LaJohntay Wester,NA,NA,60.588235294117645,NA,0.061764705882352944,0,TRUE,-0.25019613380242867,0.37412892425705946,2026,1,3.5,26,NA,NA
00-0040124,CAR,CHI,2026_01_CHI_CAR,roster_cold,NA,NA,NA,NA,0.2072548859689578,0.2072548859689578,FALSE,r1,0.2206148282097649,0.40869565217391307,Tetairoa McMillan,NA,NA,63.11764705882353,NA,0.8717647058823529,0,TRUE,-0.2975137060183501,0.2808296314743651,2026,1,-2.5,22.5,NA,NA
00-0040129,TB,CIN,2026_01_TB_CIN,roster_cold,NA,NA,NA,NA,0.05580580450929605,0.05580580450929605,FALSE,r1,0.21262458471760798,0.34902309058614567,Emeka Egbuka,NA,NA,68,NA,0.7764705882352941,0,TRUE,-0.33898389945199014,0.5578138661035548,2026,1,-3.5,23.5,NA,NA
00-0040131,NE,SEA,2026_01_NE_SEA,roster_cold,NA,NA,NA,NA,0.46845702561641406,0.46845702561641406,FALSE,r2_3,0.0532994923857868,0.11990407673860912,Kyle Williams,NA,NA,64.3529411764706,NA,0.30823529411764705,0,TRUE,-0.39789478904345255,-0.17596596258682215,2026,1,-3.5,20.5,NA,NA
