band_start,n,stated,hit_rate,delta_pp
under 10%,67,0.08269263958411477,0.014925373134328358,-6.8
10-25%,185,0.15634509366933322,0.05945945945945946,-9.7
25-50%,88,0.35492571682757723,0.25,-10.5
50%+,23,0.5796237294411268,0.5217391304347826,-5.8
